ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001746059-21-000637	1	SIN CITY SUPERETTE LLC	Rachel Miller	Chef/Owner
0001811251-21-000004	1	Resteasiest.com, Inc.	/s/ Emily Cisek	Co-Founder & CEO
0001892429-21-000001	1	PlusMedia Solutions, Inc.	/s/ Julie Davitz	President and Principal Executive Officer
0001886737-21-000003	1	The EvStructure Inc.	Andrea D'Alfonso	COO
0001867987-21-000002	1	DATG Group, LLC	/s/ Matt Bennett	Manager and Founder
0001665160-21-002393	1	Kationx Corp.	William J. Cox	CEO & Chairman & Corporate Secretary, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002390	1	Tapville Franchising Inc.	Joseph Tota	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002389	1	Hidden Water Robotics, Inc.	Jeffrey Quinton Irish	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001866215-21-000004	1	Prep to Your Door LLC	Faiez Rana	CEO
0001665160-21-002387	1	RED EYE LOUIE'S INC	Chander Arora	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002384	1	AvaWatz Company	Rajini Anachi	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002383	1	YouSolar	Arnold Leitner	President, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002381	1	YouSolar	Arnold Leitner	President, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002378	1	XRHealth, Inc.	Eran Orr	CEO and Principal Executive Officer
0001746059-21-000635	1	Greenjeans Farms LLC	Julie Beauchemin	Owner and Founder
0001746059-21-000636	1	Cakes & Pipers Bakery, LLC	Sherwin Pilley	CEO
0001885303-21-000008	1	Spirit of Speedway LLC	Will Marotti	Manager
0001665160-21-002379	1	Atlas	Clinton Brown	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001893044-21-000002	1	Undesert Corporation	Nicholas Seet	CEO
0001665160-21-002372	1	Veriglif, Inc.	James Wilson	CEO, Principal Executive Officer and Director
0001665160-21-002370	1	Fanbase Social Media, Inc.	Isaac Hayes III	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002368	1	Geoship S.P.C.	Morgan Bierschenk	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer of Geoship SPC
0001857219-21-000004	1	Responsum Inc.	/s/ Andrew Rosenberg	Founder and CEO
0001746059-21-000633	1	Eiser International, LLC	Charese  Foreman	CEO
0001665160-21-002363	1	Yerbae Brands Co.	Todd Gibson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002360	1	Quri Vodka Inc.	Jonathan E. Tourgee	CEO, Principal Executive Officer and Director
0001665160-21-002358	1	Covira Surgical, Inc.	Peter Farmakis	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002356	1	Excursion Van Rentals, Inc	Austen Price	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000632	1	Mike & Patty's JP, LLC	Michael Gurevich	Owner and CoFounder
0001893044-21-000001	1	Undesert Corporation	NICHOLAS SEET	CEO
0001665160-21-002354	1	SoloQi Corp	Solo Avital	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002353	1	EventCombo, Inc.	Saroosh Gull	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000631	1	Convivio Cafe LLC	Kristin Lacy	Owner and CoFounder
0001746059-21-000630	1	Boheme Retreats, LLC	Keva Niver	Owner and CEO
0001665160-21-002352	1	Eyedaptic, Inc.	Jay Cormier	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000629	1	Barkin' Creek Dog Kitchen LLC	Jeffrey Springer	Owner and CEO
0001746059-21-000628	1	Ra Salon & Spa Group LLC	Monica M Butler	CEO
0001665160-21-002346	1	Alelo Inc.	W. Lewis Johnson	President, CEO, Chief Financial Officer, and Chairman of the Board
0001889280-21-000002	1	VIRTUAL FILM SCHOOL, INC	Frank Chindamo	President
0001665160-21-002344	1	GACW Incorporated	Zoltan Kemeny	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002341	1	Innovative Eyewear, Inc.	Harrison Gross	CEO, Principal Executive Officer, Director
0001665160-21-002337	1	Cubios, Inc.	Maxim Filin	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer
0001665160-21-002334	1	Wireless electrical Grid LAN, WiGL, Inc.	Dr. Ahmad Glover	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002329	1	SoloQi Corp	Solo Avital	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002326	1	ElectroniXiQ, Inc.	Karlos Walkes	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002324	1	JUDOBABY	Dan Mueller	Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002317	1	Phyt.Health, Inc.	Darpan Saini	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Office
0001789922-21-000003	1	Aavrani, Inc.	Rooshy Roychoudhury	CEO, Director
0001665160-21-002321	1	Kemper Snowboards, Inc.	Steven Hunt	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001424	1	Shine Registry INC	Emily Wazlak	Founder and CEO
0001665160-21-002319	1	Rumble Motors, Inc.	Reza Khademi	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002316	1	Taste Labs, Inc.	John Lin	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001780439-21-000020	1	Rockval Inc	Grant Gregory Weiss	Chief Executive Officer
0001652564-21-000013	1	Gourmet Renee, LLC	Paul H Miller	Owner, Managing Member
0001852227-21-000002	1	Poppilu Inc.	Melanie Kahn	Chief Executive Officer
0001665160-21-002314	1	GACW Incorporated	Zoltan Kemeny	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002313	1	ENVEL, INC.	Steve La Roux	CEO
0001665160-21-002311	1	Hitch Hotel Inc.	Geoff Patterson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principle Accounting Officer
0001665160-21-002310	1	Orion Haus Homes & Hotels Inc.	Cindy Diffenderfer	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001877762-21-000004	1	Alchemy Springs Partners, LLC	Anne Nickel Cannady	As the Manager of, Mountain Lion Ventures LLC, the Manager
0001746059-21-000627	1	Tender Fire, LLC	Benjamin Crosky	Owner and Founder
0001816536-21-000006	1	IPD Products, Inc.	/s/ Howard Nelson	PRESIDENT
0001670254-21-001422	1	HLD Film, Inc.	Oliver Mann	Writer / Director, Producer
0001665160-21-002309	1	An Angry Boy Inc.	Andrew Fitzgerald	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-001268	1	FinTron LLC	Wilder Rumpf	Principal Executive Officer
0001213900-21-067277	1	ChoiceTrade Holdings, Inc.	/s/ Neville Golvala	CEO
0001665160-21-002306	1	StartEngine Capital LLC	Travis Matthew Siflinger	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002304	1	TalkGo, Inc.	Chandler Murch	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001886737-21-000001	1	The EvStructure Inc.	Andrea D'Alfonso	COO
0001888739-21-000004	1	Blossoms Events & Catering LLC	Michelle Thimesch	Attorney
0001665160-21-002302	1	CPRWrap, Inc.	Felicia Jackson	CEO, Principal Executive Officer and Director, Principal Financial Officer, and Principal Accounting Officer
0001665160-21-002301	1	Throwdown Inc.	Greg Barrow	CEO, Principal Executive Officer, Director, Principal Financial Officer, and Principal Accounting Officer
0001746059-21-000626	1	Xenia LA LLC	Luis Maskin	Owner and CoFounder
0001746059-21-000625	1	Maison Provence Corp	Laurent Dantonio	President
0001878343-21-000003	1	Alpine X Inc.	John Emery	CEO
0001665160-21-002300	1	Whooshh Innovations, Inc.	Vincent Bryan III	CEO, Principal Executive Officer and Director
0001746059-21-000624	1	Xenia LA LLC	Luis Maskin	Owner and CoFounder
0001665160-21-002299	1	Saucy Brew Works LLC	Brent Zimmerman	CEO, CO-Founder, Principal Executive Officer and Manager,
0001670254-21-001419	1	Next Thing Technologies, Inc	Jason Adams	CEO & President
0001665160-21-002298	1	Signature Athletics, Inc.	Dan Soviero	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002294	1	JelikaLite Corp.	Katya Sverdlov	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-001266	1	ACK Right Endeavors LLC	Jack McDaniel	Principal Executive Officer
0001665160-21-002292	1	Bond Containers, Inc	Tamika Shari Bond	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001417	1	Arolucha, Inc.	Ron Harris	President
0001875369-21-000005	1	Perch Point LLC	Mike Marek	Owner
0001885073-21-000002	1	Pacific Northwest Rural Broadband Alliance, Ltd.	Elvis Nuno	Co-Founder / President / Board Member
0001665160-21-002287	1	Support Groups Central, Inc.	Vincent F. Caimano	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer
0001670254-21-001414	1	Tale Of Nicky Newark LLC	Kate A. McGrath	Producer
0001670254-21-001408	1	The WMarketplace Inc.	Kate ISLER	CEO/Co-Founder
0001665160-21-002284	1	EnAct Systems Inc.	Deep Chakraborty	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001410	1	Whats for Dinner Technologies, LLC	Jodi Frank	CEO/Founder
0001856560-21-000002	1	Onzic, Inc	Kevin Hillman	CEO & Director
0001665160-21-002283	1	Luxury Travel Hackers, Inc.	Gary Kohn	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer.
0001670254-21-001416	1	Fan Owned Club, Inc.	Steve Paris	Founder
0001670254-21-001407	1	DriveMind Inc.	Howard Stark	Howard Stark, Founder / CEO
0001665160-21-002281	1	VLISO Inc.	David Obasiolu	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002279	1	Swabbies Tech, Inc.	Carman Cook	CEO, Principal Executive Officer and Director
0001835500-21-000001	1	AgWiki, Inc.	John LaRose Jr.	Vice Chairman of the Board / President
0001665160-21-002278	1	Espre Technologies, Inc.	John Terry, PhD	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001403	1	NAVISYO INC	Alexander Michaels	Founder
0001665160-21-002277	1	Boomerang Bike Corporation	Kevin Fahrner	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002274	1	Scinovia Corp.	James Bradley Sund, Sr.	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-001263	1	Oneva, Inc.	Anita Darden Gardyne	Principal Executive Officer
0001669191-21-001260	1	PennyFly Publishing LLC	Tyler Prescott	Principal Executive Officer
0001898330-21-000001	1	Artillery Brewing Co	Michael Loveless	Co-Founder
0001670254-21-001402	1	My Divorce Party LLC	Sam Fox	Executive Producer - Divorce Party: The Movie
0001665160-21-002271	1	StartEngine Capital LLC	Lorenzo Holley	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001398	1	Lean Med LLC	Mark Adkins	Co-Founder & CEO
0001747584-21-000030	1	SolSolutions, LLC	Charles Peling	CEO
0001665160-21-002270	1	Ryca International, Inc.	Ryan Schwartz	CEO, Principal Executive Officer and Director
0001670254-21-001401	1	Atom Limbs Inc.	Tyler Hayes	Atom Limbs Co-Founder & CEO
0001746059-21-000623	1	Kava Garden, Inc.	Billy Joseph Darr	President
0001853183-21-000005	1	QwikLeaf, Inc.	Neil Biafore by Sean Fuellhart POA	CEO
0001669191-21-001257	1	CARMEN TV PILOT LLC	Jaco Booyens	Principal Executive Officer
0001669191-21-001254	1	Unlocked Reality Inc.	Akash  Bellippady	Principal Executive Officer
0001665160-21-002268	1	Hyperlight Energy, Inc.	John D.H. King	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer
0001867385-21-000005	1	Pip & Lola's Everything Homemade, LLC	Samantha Story-Camp	President
0001665160-21-002266	1	Online Stores, Inc.	Kevin Hickey	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001396	1	Telebionix Inc	Widy Medina	Chief Executive Officer
0001665160-21-002264	1	Laneaxis, Inc.	Rick Burnett	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001742162-21-000018	1	Consumer Cooperative Group Inc	Tanen Andrews	Founder/CEO
0001746059-21-000622	1	Crafty Cat Brewing Concern, LLC	Aaron Burton	Owner and Founder
0001746059-21-000621	1	Xenia LA LLC	Luis Maskin	Owner and CoFounder
0001746059-21-000620	1	Rancho Relaxo	Stella Adena	Owner and Founder
0001746059-21-000619	1	Krazie Wings & Sauces LLC	Barry Riley	Owner and Founder
0001897710-21-000001	1	Upshur Burger Concepts Parent, LLC	Marc Dosik	Managing Member
0001665160-21-002261	1	HireJoe, Inc.	Paul Wagner	CEO, Principal Executive Officer, Director, Principal Financial Officer, Principal Accounting Officer
0001665160-21-002257	1	Hyperlight Energy Inc.	John D.H. King	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer
0001746059-21-000616	1	Lass Cafe & Cocktails, LLC	Brittney Hitzfelder	Owner and CoFounder
0001746059-21-000618	1	Granite Slates LLC	Sarah Thibodeau	Owner
0001746059-21-000617	1	Blazin' D's Delivery, LLC	Darius Monteiro	Co-Owner
0001665160-21-002263	1	Beanstox Inc.	Connor O Brien	CEO and Director
0001670254-21-001394	1	The Wine RayZyn Company, LLC	Richard Stancil	Chief Operating Officer & Chief Legal Officer
0001746059-21-000615	1	Roast Umber, LLC	Bradley Gakenheimer	CEO and CoFounder
0001665160-21-002255	1	The OLLO Group Inc.	William Howes	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001794222-21-000003	1	New World Savings, Inc.	Scott Armstrong	Chief Executive Officer
0001665160-21-002252	1	Streamlytics, Inc.	Angela Benton	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002250	1	Beanstox Inc.	Connor O Brien	CEO and Director
0001746059-21-000614	1	Lifted Genetics Inc.	David Griffiths	Owner and CEO
0001859717-21-000004	1	O'Hara Dev QOZF LLC	Joanna Bartholomew	Manager
0001885405-21-000005	1	NGHBR Inc.	Brandon McGill	President, CEO, Treasurer, Secretary
0001665160-21-002241	1	Gift of College, Inc.	Wayne Weber	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000613	1	Lass Cafe & Cocktails, LLC	Michelle Chapa	Owner and Founder
0001858449-21-000008	1	Mediloq, Inc.	Daniel Estoque	CEO
0001872382-21-000010	1	Row House Publishing, Inc.	Rebekah Borucki	President
0001665160-21-002234	1	Hello Vacay	Ryan Beachum	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002232	1	NarcX Solutions Inc.	Jordan Erskine	Chief Executive Officer, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002229	1	Luxury Travel Hackers, Inc.	Gary Kohn	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer.
0001897215-21-000001	1	Ventures C & A LLC	Niurka Castaneda	CEO
0001844955-21-000004	1	Polycade Inc.	Tyler Bushnell	Co-Founder & CEO
0001839828-21-000004	1	Backstage Capital, LLC	Arlan Hamilton	Manager
0001665160-21-002227	1	Avimesa Corporation	Joseph Austin	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002226	1	HireJoe, Inc.	Paul Wagner	CEO, Principal Executive Officer, Director, Principal Financial Officer, Principal Accounting Officer
0001665160-21-002224	1	Detonation Space Inc.	Umit Yelken	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002223	1	Smart Eye Technology, Inc.	Dexter Caffey	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001392	1	Boseco, inc.	Serge Adamyan	CFO & Co-Founder
0001746059-21-000612	1	Chewy's Bagels, LLC	Ashley Cricchio	Owner and Founder
0001897390-21-000001	1	Carbonic LLC	/s/ Lyno Sullivan	President
0001665160-21-002222	1	Battle Approved Motors Inc	Chris James	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002221	1	Advanced AI Solutions, Inc.	Yuen Mao	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002218	1	Cadi, Inc.	Tyler Gottstein	CEO, Principal Executive Officer, and Director, Principal Financial Officer, and Principal Accounting Officer
0001665160-21-002217	1	AtomBeam Technologies Inc.	Charles Yeomans	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002215	1	Hacking Labs	Sean Hacking	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-001251	1	Correlate Health, Inc.	Nailah   Malak	Principal Executive Officer
0001665160-21-002214	1	NanoVMs, Inc.	Ian Eyberg	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001879211-21-000004	1	Heglovich LLC	Jeff Heglie	Co-founder
0001896853-21-000003	1	Alghony LLC	Tsamara Amany Alatas	Chief Executive Officer
0001665160-21-002213	1	SapientX Inc.	David Colleen	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001390	1	Why Local, Inc.	David Loveland	Co-founder
0001746059-21-000611	1	Tu Casa Restaurant & Lounge LLC	Alejandro Reyna	Owner and Founder
0001670254-21-001388	1	Island Savoy LLC	Mike Stevens	Owner & Community Grocer
0001805081-21-000003	1	A-Plan Coaching, LLC	Michael Counts	Founder
0001670254-21-001386	1	Lunch Inc.	Cullen Gallagher	Co-founder + CEO
0001665160-21-002210	1	Cadi, Inc.	Tyler Gottstein	CEO and Majority Director of the board, Principal Executive Officer.
0001665160-21-002209	1	AtomBeam Technologies Inc.	Charles Yeomans	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002207	1	Hyperlight Energy Inc.	John D.H. King	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer
0001702607-21-000001	1	Streaming Television Inc	Simon Bray Jr by Sean Fuellhart POA	CEO
0001866542-21-000003	1	Shaman Productions Corp.	Maria Crisler by Sean Fuellhart POA	CEO
0001746059-21-000610	1	Sol Hospitality Group, LLC	Debbie DeVico-O'Neil	Owner Member
0001665160-21-002204	1	Third Eye Design, Inc.	David Werner	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001382	1	GoBeep, Inc.	Bud Aiken	Chief Financial Officer
0001670254-21-001384	1	GrassTB, Co.	Bao Ho	CEO
0001833027-21-000003	1	RedSwan PC, INC	Edward Nwokedi	Founder & CEO
0001746059-21-000608	1	B'More Made with Pride, LLC	Natasha Brown-Wainwright	Owner and CEO
0001746059-21-000609	1	Joy Goddess Delectables, LLC	Joanna Mouming	CEO
0001746059-21-000607	1	Lifted Genetics Inc.	David Griffiths	Owner and CEO
0001665160-21-002202	1	JelikaLite Corp.	Katya Sverdlov	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-001248	1	Tahiti's Breeze, Inc.	Adelinda  Bryant	Principal Executive Officer
0001665160-21-002201	1	BlueSky Energy US Inc.	Lyle Gold	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002199	1	XSurgical Inc.	Gianluca De Novi	CEO, Principal Executive Officer and Director
0001665160-21-002198	1	La Fayette Franchise, Inc.	Nicolas Billaud	Co-CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002196	1	Advanced AI Solutions, Inc.	Yuen Mao	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002192	1	Hailios, Inc.	Lucas Schiff	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer
0001665160-21-002190	1	Transcrypt Solutions	Zain Zaidi	CEO, Principal Executive Officer, Director, Principal Financial Officer, and Principal Accounting Officer
0001746059-21-000606	1	Kato Sake Works, LLC	Shinobu Kato	Owner and Founder
0001665160-21-002187	1	KarbonPay, Inc	Brad Price	CEO, Principal Executive Officer and Director, Principal Financial Officer, and Principal Accounting Officer
0001669191-21-001244	1	Engineurix Corporation	Dr. Jeffrey Arle	Principal Executive Officer
0001665160-21-002185	1	Whipr, Inc.	Luke Tipple	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002184	1	AKA Spirits Inc	Jonathan Davies	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000605	1	Blendily WA LLC	Ivy Chuang	Owner and CEO
0001895196-21-000001	1	Sweet Caroline Tour LLC	Linda Tatone	Managing Member
0001781955-21-000011	1	Dome Audio Inc.	Ben White	Founder and CEO
0001746059-21-000604	1	Milkmen Holdings LLC	Christopher Brown	Owner and CoFounder
0001781955-21-000009	1	Gypsee, Inc.	Andrew Thompson	Founder and CEO
0001896763-21-000001	1	PELOTA LLC	Branden Givand	President
0001670254-21-001377	1	Maison De La Vie, Ltd.	Stephen Gould	Founder, CEO and Master Distiller
0001665160-21-002182	1	Cadi, Inc.	Tyler Gottstein	CEO and Majority Director of the board, Principal Executive Officer.
0001856027-21-000005	1	Huddle Works, Inc.	Michael Saloio	CEO
0001670254-21-001380	1	Apotheka Systems Inc.	Dennis Maliani	CEO
0001675390-21-000001	1	OneName Global, Inc.	Christopher J. Kramer	CEO
0001670254-21-001379	1	Woofy, Inc.	Arjun Rai	Founder + CEO
0001669191-21-001242	1	LiquidVineyards LLC	Luigi Boschin	Principal Executive Officer
0001857848-21-000003	1	Axle Workout Inc.	Andrew Page	Chief Executive Officer
0001669191-21-001240	1	YEP, Inc.	Jimmy Ezzell	Principal Executive Officer
0001746059-21-000603	1	WereDough, LLC	Jessica McGuire	Owner and Founder
0001747584-21-000029	1	CGB Green Liberty Notes LLC	Bryan Garcia	Duly Authorized
0001670254-21-001375	1	TTech Inc.	Edward Nass	Founder + CEO
0001665160-21-002179	1	PyroTree Inc	Christopher Dell'Olio	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-001237	1	Straight Teeth Solutions, Inc.	Bruce  Goldblatt	Principal Executive Officer
0001802152-21-000002	1	BabyQuip, Inc.	Frances Maier	Founder and Chief Executive Officer
0001857547-21-000004	1	Harmony Global Foods, LLC	Christine Gregory	Member/Manager
0001670254-21-001373	1	HUMBLEROOTS APOTHECARY, LLC	Chris Manus	Co-Founder and CEO
0001670254-21-001369	1	CoPeace PBC	Meg Masten	Chief Relationship Officer
0001670254-21-001371	1	NXT Water, Inc	Todd Waks	CEO, NXT Water
0001665160-21-002178	1	T4L INC.	Allen Witters	CEO, Chairman, and Secretary
0001670254-21-001367	1	CoPeace PBC	Craig Jonas	Chief Executive Officer
0001665160-21-002176	1	Ounce Water, Inc.	Meghan Rossi	CEO, Principal Executive Office and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002173	1	Solar Roadways Incorporated	Scott Brusaw	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000602	1	Wicked BOLD LLC	Deric Cahill	Owner and CEO
0001665160-21-002171	1	Everybody Water, Inc.	Megan Hayes	Co-CEO and Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001365	1	Flip Group Limited	Sean Roddy	CFO
0001665160-21-002170	1	GACW Incorporated	Zoltan Kemeny	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-001234	1	The Tutelare Corporation	Rodney Reum	Principal Executive Officer
0001669191-21-001232	1	KMX Technologies, LLC	Zachary Sadow	Principal Executive Officer
0001665160-21-002168	1	BRAKES TO GO, INC.	Randall Huntsinger	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
