ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001746059-21-000638	1	Ibraheem Abdul-Malik	Sole Member	2021-12-29
0001665160-21-002397	1	Arnold Leitner	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-29
0001665160-21-002396	1	Zoltan Kemeny	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-29
0001665160-21-002394	1	William Stuart	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2021-12-29
0001746059-21-000637	1	Rachel Miller	Chef/Owner	2021-12-29
0001811251-21-000004	3	/s/ Robbie Wright	Director	2021-12-29
0001811251-21-000004	2	/s/ Kenneth Myers	CTO	2021-12-29
0001811251-21-000004	1	/s/ Emily Cisek	Co-Founder & CEO	2021-12-29
0001811251-21-000004	4	/s/ William McLucas	Director	2021-12-29
0001892429-21-000001	2	/s/ Sarah Henderson	Principal Financial Officer and Principal Accounting Officer	2021-12-29
0001892429-21-000001	1	/s/ Julie Davitz	President and Director	2021-12-29
0001886737-21-000003	2	Andrea D'Alfonso	COO	2021-12-29
0001886737-21-000003	1	Todd Ritter	Co-Founder	2021-12-29
0001867987-21-000002	1	/s/ Matt Bennett	Manager and Founder	2021-12-29
0001665160-21-002393	1	William J. Cox	CEO & Chairman & Corporate Secretary, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-29
0001665160-21-002390	1	Joseph Tota	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-29
0001665160-21-002389	1	Jeffrey Quinton Irish	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2021-12-29
0001866215-21-000004	1	Faiez Rana	CEO	2021-12-29
0001665160-21-002387	1	Chander Arora	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-29
0001665160-21-002384	1	Rajini Anachi	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-28
0001665160-21-002383	1	Arnold Leitner	President, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-29
0001746059-21-000636	1	Sherwin Pilley	CEO	2021-12-28
0001885303-21-000008	1	Will Marotti	Manager	2021-12-28
0001665160-21-002379	1	Clinton Brown	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2021-12-28
0001746059-21-000635	1	Julie Beauchemin	Owner and Founder	2021-12-28
0001665160-21-002378	5	Eran Orr	CEO and Principal Executive Officer	2021-12-28
0001665160-21-002378	4	Gilad Meiri	Director	2021-12-28
0001665160-21-002378	3	Michael Levy	Director	2021-12-28
0001665160-21-002378	2	Hillel Bachrach	Director	2021-12-28
0001885303-21-000008	2	James Abely	Manager	2021-12-28
0001665160-21-002381	1	Arnold Leitner	President, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-28
0001665160-21-002378	1	Deepa Javeri,	Principal Financial Officer and Principal Accounting Officer	2021-12-28
0001893044-21-000002	1	Nicholas Seet	CEO	2021-12-28
0001665160-21-002372	4	Lukas Pospichal	Director	2021-12-28
0001665160-21-002372	5	Jonathan Ewert	Director	2021-12-28
0001665160-21-002372	6	Leonard Murphy	Director	2021-12-28
0001665160-21-002372	3	Henry Cheang	Chairman, Director	2021-12-28
0001665160-21-002372	2	Glenn Robinson	CFO, Principal Financial Officer and Principal Accounting Officer	2021-12-28
0001665160-21-002372	1	James Wilson	CEO, Principal Executive Officer and Director	2021-12-28
0001665160-21-002370	1	Isaac Hayes III	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-28
0001665160-21-002368	1	Morgan Bierschenk	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer of Geoship SPC	2021-12-28
0001857219-21-000004	1	/s/ Andrew Rosenberg	Founder and CEO	2021-12-27
0001746059-21-000633	1	Charese  Foreman	CEO	2021-12-27
0001665160-21-002363	1	Todd Gibson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-27
0001665160-21-002360	1	Jonathan E. Tourgee	CEO, Principal Executive Officer and Director	2021-12-27
0001665160-21-002358	1	Peter Farmakis	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-27
0001665160-21-002356	1	Austen Price	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-27
0001746059-21-000632	1	Michael Gurevich	Owner and CoFounder	2021-12-27
0001746059-21-000632	2	Anna Zaroda	Owner and CoFounder	2021-12-27
0001893044-21-000001	1	NICHOLAS SEET	CEO	2021-12-27
0001665160-21-002354	1	Solo Avital	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-27
0001665160-21-002353	1	Saroosh Gull	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-27
0001746059-21-000631	1	Kristin Lacy	Owner and CoFounder	2021-12-27
0001746059-21-000631	2	Vivian Lemus	Owner and CoFounder	2021-12-27
0001746059-21-000630	1	Keva Niver	Owner and CEO	2021-12-27
0001665160-21-002352	1	Jay Cormier	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-27
0001746059-21-000629	1	Jeffrey Springer	Owner and CEO	2021-12-27
0001746059-21-000628	1	Monica M Butler	CEO	2021-12-27
0001665160-21-002346	1	W. Lewis Johnson	President, CEO, Chief Financial Officer, and Chairman of the Board	2021-12-27
0001889280-21-000002	1	Frank Chindamo	President, Chief Financial Officer	2021-11-02
0001665160-21-002344	1	Zoltan Kemeny	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-27
0001665160-21-002341	1	Harrison Gross	CEO, Principal Executive Officer, Director	2021-12-27
0001665160-21-002341	2	Konrad Dabrowski	CFO, Principal Financial Officer, Principal Accounting Officer	2021-12-27
0001665160-21-002337	1	Maxim Filin	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer	2021-12-27
0001665160-21-002334	1	Dr. Ahmad Glover	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-27
0001665160-21-002329	1	Solo Avital	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-27
0001665160-21-002326	1	Karlos Walkes	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-27
0001665160-21-002324	1	Dan Mueller	Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-27
0001665160-21-002317	1	Darpan Saini	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Office	2021-12-23
0001665160-21-002319	1	Reza Khademi	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-23
0001652564-21-000013	1	Paul H Miller	Owner, Managing Member	2021-12-23
0001665160-21-002316	1	John Lin	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-23
0001789922-21-000003	1	Rooshy Roychoudhury	CEO, Director	2021-12-23
0001665160-21-002321	1	Steven Hunt	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-23
0001670254-21-001424	3	Emily Wazlak	Founder and CEO	2021-12-23
0001670254-21-001424	2	David Weinberger	Chief Operating Officer	2021-12-23
0001670254-21-001424	1	Emily Wazlak	Founder and CEO	2021-12-23
0001780439-21-000020	1	Grant Gregory Weiss	Chief Executive Officer	2021-12-23
0001789922-21-000003	2	Justin Silver	COO, Director	2021-12-23
0001852227-21-000002	2	Jay Berglind	Director	2021-12-23
0001852227-21-000002	1	Melanie Kahn	Director	2021-12-23
0001852227-21-000002	3	Dirk Lansbergen	Director	2021-12-23
0001665160-21-002314	1	Zoltan Kemeny	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-23
0001665160-21-002313	1	Steve La Roux	CEO	2021-12-23
0001665160-21-002311	1	Geoff Patterson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principle Accounting Officer	2021-12-23
0001665160-21-002310	1	Cindy Diffenderfer	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-23
0001877762-21-000004	1	Anne Nickel Cannady	As the Manager of, Mountain Lion Ventures LLC, the Manager	2021-12-23
0001746059-21-000627	1	Benjamin Crosky	Owner and Founder	2021-12-23
0001816536-21-000006	2	/s/ Alexander Gutsol	Director & Chief Science Officer	2021-12-23
0001816536-21-000006	1	/s/ Howard Nelson	PRESIDENT	2021-12-23
0001670254-21-001422	1	Oliver Mann	Writer / Director, Producer	2021-12-22
0001665160-21-002309	1	Andrew Fitzgerald	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-23
0001669191-21-001268	1	Wilder Rumpf	Principal Executive Officer	2021-12-23
0001669191-21-001268	2	Wilder Rumpf	Principal Financial Officer	2021-12-23
0001669191-21-001268	3	Wilder Rumpf	Principal Accounting Officer	2021-12-23
0001669191-21-001268	4	Steve Forbes	Board Member	2021-12-23
0001669191-21-001268	5	Wilder Rumpf	Board Member	2021-12-23
0001213900-21-067277	1	/s/ Neville Golvala	CEO	2021-12-23
0001665160-21-002306	1	Travis Matthew Siflinger	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-23
0001665160-21-002304	2	Aaron Finch	Director	2021-12-23
0001665160-21-002304	1	Chandler Murch	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-23
0001665160-21-002304	3	Dan Gerrity	Director	2021-12-23
0001886737-21-000001	1	Todd Ritter	Co-Founder	2021-12-23
0001886737-21-000001	2	Andrea D'Alfonso	Co-Founder	2021-12-23
0001888739-21-000004	1	Michelle Thimesch	Attorney	2021-12-23
0001665160-21-002302	1	Felicia Jackson	CEO, Principal Executive Officer and Director, Principal Financial Officer, and Principal Accounting Officer	2021-12-23
0001665160-21-002301	1	Greg Barrow	CEO, Principal Executive Officer, Director, Principal Financial Officer, and Principal Accounting Officer	2021-12-23
0001746059-21-000626	1	Luis Maskin	Owner and CoFounder	2021-12-23
0001746059-21-000625	1	Laurent Dantonio	President	2021-12-23
0001878343-21-000003	1	John Emery	Principal Executive Officer	2021-12-23
0001878343-21-000003	2	James A. Calder	Principal Financial Officer & Principal Accounting Officer	2021-12-23
0001665160-21-002300	1	Vincent Bryan III	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-23
0001746059-21-000624	1	Luis Maskin	Owner and CoFounder	2021-12-23
0001665160-21-002299	1	Brent Zimmerman	CEO, CO-Founder, Principal Executive Officer and Manager,	2021-12-23
0001670254-21-001419	1	Jason Adams	CEO & President	2021-12-22
0001665160-21-002298	1	Dan Soviero	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-22
0001665160-21-002294	1	Katya Sverdlov	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2021-12-22
0001669191-21-001266	4	Zack Johnson	Board Member	2021-12-22
0001669191-21-001266	3	Jack McDaniel	Principal Accounting Officer	2021-12-22
0001669191-21-001266	2	Jack McDaniel	Principal Financial Officer	2021-12-22
0001669191-21-001266	1	Jack McDaniel	Principal Executive Officer	2021-12-22
0001669191-21-001266	5	Jack McDaniel	Board Member	2021-12-22
0001669191-21-001266	6	Jackey  Lee	Board Member	2021-12-22
0001669191-21-001266	7	Kevin Donahue	Board Member	2021-12-22
0001665160-21-002292	1	Tamika Shari Bond	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2021-12-22
0001670254-21-001417	1	Jason Brown	Board Member / Aroluxe Parent Co, LLC Manager	2021-12-21
0001670254-21-001417	2	Ron Harris	President	2021-12-21
0001875369-21-000005	1	Mike Marek	Owner	2021-12-21
0001885073-21-000002	2	Kevin Mesiab	Co-Founder / Board Member	2021-12-22
0001885073-21-000002	1	Elvis Nuno	Co-Founder / President / Board Member	2021-12-22
0001885073-21-000002	3	Jacob Dobie	Board Member	2021-12-22
0001665160-21-002287	1	Vincent F. Caimano	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer	2021-12-22
0001670254-21-001408	2	Kate ISLER	CEO/Co-Founder	2021-12-01
0001670254-21-001408	1	Susan Gates	CMO/Co-Founder	2021-12-01
0001670254-21-001414	2	Kate A. McGrath	Producer	2021-12-20
0001670254-21-001414	1	Janine LaRosa	Producer	2021-12-20
0001670254-21-001407	1	Howard Stark	Howard Stark, Founder / CEO	2021-12-21
0001856560-21-000002	1	Kevin Hillman	CEO and Director	2021-12-21
0001665160-21-002283	1	Gary Kohn	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer.	2021-12-21
0001670254-21-001416	5	Steve Paris	Founder	2021-12-14
0001670254-21-001416	4	David Crouch	Advisor	2021-12-14
0001670254-21-001416	3	Peter Hans	Acting CFO	2021-12-15
0001670254-21-001416	2	Steve Paris	Founder	2021-12-15
0001670254-21-001416	1	Kenneth E Neal	Co-Managing Director	2021-12-15
0001670254-21-001410	1	Jodi Frank	CEO/Founder	2021-12-16
0001665160-21-002284	1	Deep Chakraborty	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2021-12-21
0001665160-21-002281	1	David Obasiolu	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-21
0001665160-21-002279	1	Carman Cook	CEO, Principal Executive Officer and Director	2021-12-21
0001835500-21-000001	1	John LaRose Jr.	Vice Chairman of the Board / President	2021-12-21
0001665160-21-002278	1	John Terry, PhD	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Office	2021-12-21
0001670254-21-001403	4	Alexander Michaels	Founder	2021-12-20
0001670254-21-001403	3	Seth Schlessel	Counsel	2021-12-20
0001670254-21-001403	2	Lucie Nightingale	Secretary	2021-12-20
0001670254-21-001403	1	Patrick Moyal	CFO	2021-12-20
0001665160-21-002277	1	Kevin Fahrner	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-21
0001665160-21-002274	1	James Bradley Sund, Sr.	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-21
0001669191-21-001263	3	Anita Darden Gardyne	Principal Accounting Officer	2021-12-21
0001669191-21-001263	2	Bob Gardyne	Principal Financial Officer	2021-12-21
0001669191-21-001263	1	Anita Darden Gardyne	Principal Executive Officer	2021-12-21
0001669191-21-001263	4	Anita Darden Gardyne	Board Member	2021-12-21
0001669191-21-001260	1	Tyler Prescott	Principal Executive Officer	2021-12-21
0001669191-21-001260	2	Tyler Prescott	Principal Financial Officer	2021-12-21
0001669191-21-001260	3	Tyler Prescott	Principal Accounting Officer	2021-12-21
0001669191-21-001260	4	James Hopkins	Board Member	2021-12-21
0001669191-21-001260	5	Tyler Prescott	Board Member	2021-12-21
0001898330-21-000001	1	Michael Loveless	Co-Founder	2021-12-21
0001670254-21-001402	1	Sam Fox	Executive Producer - Divorce Party: The Movie	2021-12-18
0001670254-21-001402	3	Desiree Staples	Executive Producer - Divorce Party: The Movie	2021-12-16
0001670254-21-001402	2	Desiree Staples	Executive Producer - Divorce Party: The Movie	2021-12-18
0001665160-21-002270	1	Ryan Schwartz	CEO, Principal Executive Officer and Director	2021-12-20
0001747584-21-000030	1	Charles Peling	CEO	2021-12-20
0001665160-21-002270	2	Scott Ryder	Principal Financial Officer and Principal Accounting Officer	2021-12-20
0001670254-21-001401	1	Tyler Hayes	Atom Limbs Co-Founder & CEO	2021-12-07
0001665160-21-002271	1	Lorenzo Holley	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-20
0001670254-21-001398	1	Mark Adkins	Co-Founder & CEO	2021-12-17
0001746059-21-000623	1	Billy Joseph Darr	President	2021-12-20
0001853183-21-000005	1	Neil Biafore by Sean Fuellhart POA	CEO	2021-12-20
0001669191-21-001257	2	Philipa Booyens	Principal Financial Officer	2021-12-20
0001669191-21-001257	6	Dan Funk	Board Member	2021-12-20
0001669191-21-001257	5	Philipa Booyens	Board Member	2021-12-20
0001669191-21-001257	4	Jaco Booyens	Board Member	2021-12-20
0001669191-21-001257	1	Jaco Booyens	Principal Executive Officer	2021-12-20
0001669191-21-001257	3	Dan Funk	Principal Accounting Officer	2021-12-20
0001669191-21-001254	2	Akash  Bellippady	Principal Financial Officer	2021-12-20
0001669191-21-001254	1	Akash  Bellippady	Principal Executive Officer	2021-12-20
0001669191-21-001254	4	Akash  Bellippady	Board Member	2021-12-20
0001669191-21-001254	3	Akash  Bellippady	Principal Accounting Officer	2021-12-20
0001665160-21-002268	1	John D.H. King	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer	2021-12-20
0001867385-21-000005	1	Samantha Story-Camp	President	2021-12-20
0001665160-21-002266	1	Kevin Hickey	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-20
0001670254-21-001396	2	Widy Medina	Chief Executive Officer	2021-11-11
0001670254-21-001396	1	Aghiath	Chbib	2021-11-11
0001665160-21-002264	1	Rick Burnett	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-20
0001665160-21-002264	2	Mason Burnett	COO	2021-12-20
0001742162-21-000018	1	Tanen Andrews	Founder/CEO	2021-12-20
0001746059-21-000622	1	Aaron Burton	Owner and Founder	2021-12-20
0001746059-21-000621	1	Luis Maskin	Owner and CoFounder	2021-12-20
0001746059-21-000620	1	Stella Adena	Owner and Founder	2021-12-20
0001746059-21-000619	1	Barry Riley	Owner and Founder	2021-12-20
0001897710-21-000001	1	Marc Dosik	Managing Member	2021-12-17
0001665160-21-002261	1	Paul Wagner	CEO, Principal Executive Officer, Director, Principal Financial Officer, Principal Accounting Officer	2021-12-17
0001665160-21-002257	1	John D.H. King	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer	2021-12-17
0001746059-21-000616	2	Michelle Chapa	Owner and CoFounder	2021-12-17
0001746059-21-000616	1	Brittney Hitzfelder	Owner and CoFounder	2021-12-17
0001746059-21-000618	1	Sarah Thibodeau	Owner	2021-12-17
0001670254-21-001394	2	Richard Stancil	Chief Operating Officer & Chief Legal Officer	2021-12-10
0001670254-21-001394	1	Christopher U. Cates	Chief Executive Officer	2021-12-10
0001746059-21-000617	1	Darius Monteiro	Co-Owner	2021-12-17
0001665160-21-002263	1	Connor O Brien	CEO and Director	2021-12-17
0001665160-21-002263	2	Louise Anne Poirier	Principal Accounting Officer and Principal Financial Officer	2021-12-17
0001746059-21-000615	1	Bradley Gakenheimer	CEO and Cofounder	2021-12-17
0001665160-21-002255	1	William Howes	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-17
0001794222-21-000003	3	Richard Ingrassia	Director	2021-12-17
0001794222-21-000003	2	Ryan Armstrong	Director	2021-12-17
0001794222-21-000003	1	Scott Armstrong	Director	2021-12-17
0001665160-21-002252	1	Angela Benton	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-17
0001665160-21-002250	1	Connor O Brien	CEO and Director	2021-12-17
0001665160-21-002250	2	Louise Anne Poirier	Principal Accounting Officer and Principal Financial Officer	2021-12-17
0001746059-21-000614	1	David Griffiths	Owner and CEO	2021-12-17
0001859717-21-000004	1	Joanna Bartholomew	Manager	2021-12-17
0001885405-21-000005	1	Brandon McGill	CEO	2021-10-06
0001665160-21-002241	1	Wayne Weber	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-17
0001746059-21-000613	1	Michelle Chapa	Owner and Founder	2021-12-17
0001858449-21-000008	1	Daniel Estoque	CEO	2021-12-17
0001872382-21-000010	1	Rebekah Borucki	President	2021-07-13
0001665160-21-002234	1	Ryan Beachum	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-16
0001665160-21-002232	1	Jordan Erskine	Chief Executive Officer, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-16
0001665160-21-002229	1	Gary Kohn	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer.	2021-12-17
0001897215-21-000001	1	Niurka Castaneda	CEO	2021-12-17
0001844955-21-000004	2	Jake Galler	Co-Founder & COO	2021-12-16
0001839828-21-000004	1	Arlan Hamilton	Manager	2021-12-16
0001665160-21-002227	1	Joseph Austin	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2021-12-16
0001844955-21-000004	1	Tyler Bushnell	Co-Founder & CEO	2021-12-16
0001665160-21-002226	1	Paul Wagner	CEO, Principal Executive Officer, Director, Principal Financial Officer, Principal Accounting Officer	2021-12-16
0001665160-21-002224	1	Umit Yelken	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-16
0001665160-21-002223	1	Dexter Caffey	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2021-12-16
0001670254-21-001392	2	Serge Adamyan	CFO & Co-Founder	2021-12-15
0001670254-21-001392	1	Kostyantyn Yun	CEO & Co-Founder	2021-12-15
0001746059-21-000612	1	Ashley Cricchio	Owner and Founder	2021-12-16
0001897390-21-000001	1	/s/ Lyno Sullivan	President	2021-12-16
0001665160-21-002222	1	Chris James	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-16
0001665160-21-002221	1	Yuen Mao	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-16
0001665160-21-002218	1	Tyler Gottstein	CEO, Principal Executive Officer, and Director, Principal Financial Officer, and Principal Accounting Officer	2021-12-16
0001665160-21-002217	1	Charles Yeomans	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-16
0001665160-21-002215	1	Sean Hacking	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-16
0001669191-21-001251	4	Charon Collier	Board Member	2021-12-16
0001669191-21-001251	6	Nailah   Malak	Board Member	2021-12-16
0001669191-21-001251	5	Anthony Farrar	Board Member	2021-12-16
0001669191-21-001251	3	Anthony Farrar	Principal Accounting Officer	2021-12-16
0001669191-21-001251	2	Anthony Farrar	Principal Financial Officer	2021-12-16
0001669191-21-001251	1	Nailah   Malak	Principal Executive Officer	2021-12-16
0001665160-21-002214	1	Ian Eyberg	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-16
0001879211-21-000004	2	Mischelle (&quot;Shelley&quot;) Elkovich	Co-founder	2021-12-16
0001879211-21-000004	1	Jeffrey (&quot;Jeff&quot;) Heglie	Co-founder	2021-12-16
0001896853-21-000003	1	Tsamara Amany Alatas	Manager	2021-12-16
0001665160-21-002213	1	David Colleen	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-16
0001670254-21-001390	1	Robert Johnson	Co-Founder	2021-12-15
0001670254-21-001390	2	David Loveland	Co-founder	2021-12-15
0001746059-21-000611	1	Alejandro Reyna	Owner and Founder	2021-12-16
0001670254-21-001388	1	Mike Stevens	Owner & Community Grocer	2021-12-16
0001805081-21-000003	2	Sara Ellis Conant	CEO	2021-12-16
0001805081-21-000003	1	Michael Counts	Founder	2021-12-16
0001670254-21-001386	2	Cullen Gallagher	Co-founder + CEO	2021-12-15
0001670254-21-001386	1	Jason Friedberg	Co-founder + COO	2021-12-15
0001665160-21-002210	2	Matt Ahrens	COO, Principal Financial Officer and Principal Accounting Officer	2021-12-16
0001665160-21-002210	1	Tyler Gottstein	CEO and Majority Director of the board, Principal Executive Officer.	2021-12-16
0001665160-21-002209	1	Charles Yeomans	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-16
0001665160-21-002207	1	John D.H. King	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer	2021-12-16
0001702607-21-000001	1	Simon Bray Jr by Sean Fuellhart POA	CEO	2021-12-16
0001866542-21-000003	1	Maria Crisler by Sean Fuellhart POA	CEO	2021-12-16
0001746059-21-000610	1	Debbie DeVico-O'Neil	Owner Member	2021-12-16
0001833027-21-000003	1	Edward Nwokedi	Founder & CEO	2021-12-15
0001833027-21-000003	2	Cyril Chiosa	Board Member & Investor	2021-12-15
0001746059-21-000608	1	Natasha Brown-Wainwright	Owner and CEO	2021-12-15
