ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	ISCOISSUER	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001940275-22-000001	1		Extending the target date until March 31, 2023.	Innovatly, Inc	Corporation		DE	2022-03-17	7852 EISENHOWER STREET		VENTURA	CA	93003	www.innovat-ly.com	JUSTLY MARKETS LLC	N	0001534163	008-69001	000159572
0001875534-22-000007	0		Extending offering deadline	4BIDDENKNOWLEDGE, INC.	Corporation		FL	2017-01-31	2645 EXECUTIVE PARK DRIVE SUITE 419		WESTON	FL	33331	4biddenknowledge.com	truCrowd, Inc	N	0001667145	007-00015	283063
0001957139-22-000004	1		Update to target end date	Roots & Fruits Juicery Inc	Corporation		FL	2012-05-03	2940 UNIVERSITY BLVD W		JACKSONVILLE	FL	33217	rootsandfruitsjuicery.us	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001796106-22-000003	0			Genius Juice, LLC	Limited Liability Company		CA	2014-01-08	21143 HAWTHORNE BOULEVARD	UNIT 295	TORRENCE	CA	90503	https://www.geniusjuice.com	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001722137-22-000009	0		Updating the financial statements to include reviewed financial statements for the fiscal year ending in 2020.	Upshift Inc.	Corporation		DE	2012-10-03	981 MISSION STREET		SAN FRANCISCO	CA	94103	https://upshiftcars.com	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001755802-22-000003	0			One Roq Spirits, LLC	Limited Liability Company		NY	2012-03-12	430 VIRGINIA STREET	SUITE 401	BUFFALO	NY	14201	www.ONEROQclub.com	ANDES CAPITAL GROUP, LLC	N	0001348811	008-67202	000139212
0001746059-22-000438	0			Black Yeti Beverage, Inc	Corporation		CA	2020-02-11	340 S LEMON AVE # 4028		WALNUT	CA	91789	http://www.grislyscosmic.com	MainVest, Inc.	N	0001746059	007-00162	
0001665160-22-003140	0			Grove Biomedical LLC	Limited Liability Company		NY	2020-04-24	282 Katonah Avenue #537		Katonah	NY	10536	onecanopy.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-003138	0	At the close of the offering, the issuer closed on $12,683.93 and 4,019 number of securities.		Conscious Good, Inc	Corporation		DE	2022-08-24	1450 2ND STREET SUITE 112	SUITE 112	SANTA MONICA	CA	90401	www.ConsciousGood.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-003136	0	At the close of the offering, the issuer closed on $98,686,40 and 12,085 number of securities.		MedsByMe, Inc.	Corporation		DE	2017-05-01	212 WARREN ST		NEW YORK	NY	10282	https://milorx.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001899900-22-000008	1		Extend offering expiration date	Cheyenne Legends, Inc.	Corporation		FL	2020-10-09	21932 CANADENSIS CIRCLE		BOCA RATON	FL	33428	https://www.layersandlegends.com	Silicon Prairie Online LLC	N	0001711770	007-00123	289746
0001665160-22-003135	0	At the close of the offering, the issuer closed on $223,673.68 and 60,302 number of securities.		Clearwater Distilling Co LLC	Limited Liability Company		UT	2018-04-23	564 W 700 S	SUITE 401	PLEASANT GROVE	UT	84062	https://www.clearwaterdistilling.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-003133	1		Issuer is extending campaign end date.	Carnot Compression Inc.	Corporation		DE	2014-02-19	5610 SCOTTS VALLEY DRIVE, STE. B513	SUITE B513	SCOTTS VALLEY	CA	95066	https://carnotcompression.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-003132	0	At the close of the offering, the issuer closed on $211,355.17 and 81,819 number of securities.		Avadi Engines Inc	Corporation		DE	2014-09-24	212 N. NACHES AVE		YAKIMA	WA	98901	www.avadiengines.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-003131	0	At the close of the offering, the issuer closed on $121,400 and 145,850 number of securities.		LitonRx, Inc.	Corporation		DE	2022-07-08	2080 N DOBSON ROAD # 3	# 3	CHANDLER	AZ	85226	www.litonrx.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-003130	0	At the close of the offering, the issuer closed on $79,639.31 and 233,586 number of securities.		Rayton Solar Inc.	Corporation		DE	2013-10-17	16600 ASTON ST		IRVINE	CA	92606	rayton.co	StartEngine Capital, LLC	N	0001665160	007-00007	
0001935346-22-000004	1		This Amendment extends the Offering Deadline from December 31, 2022 to January 31, 2023.	Arka Inc	Corporation		DE	2015-12-10	1 BLUXOME ST.	#305	SAN FRANCISCO	CA	94901	https://arka.com/	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001860436-22-000003	0	The Offering closed successfully on 12/23/2022, having received investment commitments of $214,433.16, although a final accounting has not taken place.		Maybe Finance, Inc.	Corporation		DE	2021-03-17	1900 CORPORATE DR #380024		BIRMINGHAM	AL	35238	https://maybe.co	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001760726-22-000005	0	The Offering closed successfully on 12/27/2022, having received investment commitments of $82,497, although a final accounting has not taken place.		Jack Lilly LLC	Limited Liability Company		DE	2015-10-08	2803 PHILADELPHIA PIKE	SUITE B #322	CLAYMONT	DE	19703	https://comradsocks.com	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001665160-22-003129	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $392,660.13 and 4,052,152 number of securities.		BLOCKCHAIN INSTITUTE OF TECHNOLOGY INC.	Corporation		DE	2021-05-14	400 NW 26TH. ST.		MIAMI	FL	33127	https://blockchaininstitute.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001670450-22-000003	0		xCraft has lowered their minimum investment amount to $297.60. Additionally, an individual that was accidentally left in the offering statement as a director, which he is not, was removed.	xCraft Enterprises, Inc.	Corporation		DE	2017-02-28	418 E LAKESIDE AVE SUITE 08	SUITE 08	COEUR D'ALENE	ID	83814	xcraft.io	PicMii Crowdfunding LLC	N	0001817013	007-00246	310171
0001948360-22-000004	0	The Issuer has met its target offering amount of $250,000.		crwdunit, inc.	Corporation		DE	2022-07-29	10815 RANCH ROAD 2222	BUILDING 3B, SUITE 100-527	AUSTIN	TX	78730	crowdpointtech.com	MUNDIAL FINANCIAL GROUP, LLC	N	0001455325	008-68154	000149531
0001948360-22-000005	0		Change the termination date of March 31, 2023	crwdunit, inc.	Corporation		DE	2022-07-29	10815 RANCH ROAD 2222	BUILDING 3B, SUITE 100-527	AUSTIN	TX	78730	crowdpointtech.com	MUNDIAL FINANCIAL GROUP, LLC	N	0001455325	008-68154	000149531
0001683168-22-008664	0			Cadi, Inc.	Corporation		DE	2016-06-27	5939 Darwin Ct.		Carlsbad	CA	92008	www.cadikiosk.com	DEALMAKER SECURITIES LLC	N	0001872856	008-70756	315324
0001821320-22-000002	0			Stojo Products, Inc.	Corporation		DE	2018-03-22	41 FLATBUSH AVENUE	FL 1, PMB 588	BROOKLYN	NY	11217	https://stojo.co		N			
0001821320-22-000001	0			Stojo Products, Inc.	Corporation		DE	2018-03-02	41 FLATBUSH AVENUE	FL 1, PMB 588	BROOKLYN	NY	11217	https://stojo.co/		N			
0001665160-22-003128	1		Issuer is extending campaign end date.	Sofabet Co.	Corporation		DE	2019-04-15	8 THE GREEN, STE A	STE A	DOVER	DE	19901	https://www.betsparket.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-003127	0		Correction to perks	iMetabolic Biopharma Corporation	Corporation		NV	2017-11-17	2155 E Conference Dr STE 115		Tempe	AZ	85284	https://imbiopharma.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001746059-22-000437	0			Coche Payaso LLC	Limited Liability Company		NY	2018-06-11	716 MARCY AVE		BROOKLYN	NY	11216	http://barfreda.com	MainVest, Inc.	N	0001746059	007-00162	
0001876413-22-000006	0		Changed Offering End Date to August 4, 2023 and Changed Escrow Agent to North Capital Private Securities Corporation	ASSETCOIN CAPITAL FUND, LLC	Limited Liability Company		WY	2021-07-28	1309 COFFEEN AVENUE STE 1200		SHERIDAN	WY	82801	https://www.assetcoin.gold/	ANDES CAPITAL GROUP, LLC	N	0001348811	008-67202	000139212
0001665160-22-003125	1		Issuer is extending campaign end date.	Eli Electric Vehicles, Inc.	Corporation		DE	2018-02-06	525 S HEWITT ST	FL4	LOS ANGELES	CA	90013	www.eli.world	StartEngine Capital, LLC	N	0001665160	007-00007	
0001951831-22-000003	1		Amendment for for changes to financial statements	Bratton Construction, LLC	Limited Liability Company		OR	2020-01-09	PO BOX 11115		PORTLAND	OR	97211	https://www.brattonconstruction.net/	SMBX, Inc.	N	0001707214	007-00129	290186
0001665160-22-003123	0			YOV, Inc.	Corporation		DE	2020-10-19	108 S. Clark Drive, Apt #404		Los Angeles	CA	90048	https://www.myyov.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001527854-22-000004	0			Brooklyn Craft Works LLC	Limited Liability Company		FL	2011-12-09	316 Douglass Street		BROOKLYN	NY	11217	https://www.brooklyngin.com/	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001746059-22-000436	0			Ostara Center LLC															
0001213900-22-082973	0			ChoiceTrade Holdings, Inc.	Corporation		PR	2014-10-23	151 SAN FRANCISCO STREET	SUITE 200	SAN JUAN	PR	00901	www.choicetrade.com		N			
0001954540-22-000004	0			Quanta Centre Inc	Corporation		CO	2018-02-14	2443 Dogie Spur		Golden	CO	80403	pranalink.com	Akemona, Inc.	N	0001748730	007-00173	000299685
0001683168-22-008650	0	Total raised $116,396.		Curtiss Motorcycle Company, Inc.	Corporation		DE	2002-05-05	8118 Parkway Drive		Leeds	AL	35094	curtissmotorcycles.com	DEALMAKER SECURITIES LLC	N	0001872856	008-70756	315324
0001811251-22-000002	0			RESTEASIEST.COM, INC.	Corporation		DE	2019-12-06	2607 LAWRENCE ST		HOUSTON	TX	77008	https://thepostage.com/		N			
0001746059-22-000435	0	At the close of the offering, the issuer closed on $124,000. The funds are currently being processed. The actual amount may be lower.		Rooted in LLC	Limited Liability Company		MA	2019-03-01	105 MOUNT PLEASANT AVE		BOSTON	MA	02119	http://www.rootedinroxbury.com	MainVest, Inc.	N	0001746059	007-00162	
0001665160-22-003121	1		Issuer is extending campaign end date.	MaxTracker, Inc	Corporation		DE	2022-07-29	13703 JOSEPHINE CT		THORNTON	CO	80602	mymaxtracker.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-003120	1		Issuer is extending campaign end date.	FloSpine Holdings, Inc.	Corporation		DE	2022-06-02	3651 FAU BLVD, SUITE 400		BOCA RATON	FL	33431	https://flospine.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001670254-22-001311	0			Prolific Brewing Company, LLC	Limited Liability Company		CA	2020-09-09	39595 Calle San Clemente		Murrieta	CA	92562	http://prolificbrewingcompany.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001941210-22-000002	0	The Offering closed successfully on 12/22/2022, having received investment commitments of $100,580, although a final accounting has not taken place.		SuperBetter, LLC	Limited Liability Company		IL	2014-11-04	535 DUANE STREET	FLOOR 1.5	GLEN ELLYN	IL	60137	https://www.superbetter.com	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001957139-22-000003	1		Update to target end date	Roots & Fruits Juicery Inc	Corporation		FL	2012-05-03	2940 UNIVERSITY BLVD W		JACKSONVILLE	FL	33217	rootsandfruitsjuicery.us	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001665160-22-003119	0			Christini EV, Inc.	Corporation		DE	2022-02-17	611 N. 2nd St.		Philadelphia	PA	19123	https://www.christini.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001953427-22-000001	0			Nobody Studios, Inc.	Corporation		NV	2021-08-04	2738 CAMINO CAPISTRANO	#5	SAN CLEMENTE	CA	92672	www.nobodystudios.com	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001746059-22-000434	0		Issuer is submitting a transcript of a recent State of Mainvest presentation.	MAINVEST HOLDINGS CORP.	Corporation		DE	2018-03-19	81 WASHINGTON STREET, SUITE 201		SALEM	MA	01970	Mainvest.com	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001670254-22-001309	0			Qnetic Corporation	Corporation		DE	2022-09-20	276 5th Avenue	Suite 704 - 3137	New York	NY	10001	http://www.qnetic.energy	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001592234-22-000008	0	Total raised $51,475		Taylor's Tacos, LLC	Limited Liability Company		IL	2018-04-19	1512 WEST TAYLOR ST		CHICAGO	IL	60607	www.taylorstacoshicago.com	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001592234-22-000007	0	Total raised $124,000		Strip Steak LP	Limited Partnership		NY	2021-10-20	1759 WATERFRONT PLACE APT 141		PITTSBURGH	PA	15222	http://www.balvanerarestaurants.com/	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001665160-22-003116	0			Boone's Bourbon Co.	Corporation		SC	2022-03-08	105 S. Norfolk Way		Charleston	SC	29445	www.drinkboonesbourbon.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001957729-22-000001	0			Oplign, LLC	Limited Liability Company		VA	2017-07-01	500 E. MAIN STREET	SUITE 1600	NORFOLK	VA	23510	http://oplign.com	FOLLA CAPITAL, LLC	N	0001786669	008-70399	000305140
0001670254-22-001306	0		minor edits to past raises and financial information	Resolution Bed, Inc.	Corporation		DE	2019-05-10	500 W. Kapp St.		Dobson	NC	27017	http://www.resbed.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001670254-22-001304	0			Unpublished Space LLC	Limited Liability Company		GA	2018-05-14	146 Main Street		Andrews	NC	28901	http://puttingmainstreetonline.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001665160-22-003111	0	At the close of the offering, the issuer closed on $915,423.43 and 559,305 number of securities.		Resilience-Building Leader Program Inc.	Corporation		DE	2019-08-14	3900 W. ALAMEDA AVENUE, SUITE 1200	SUITE 1200	BURBANK	CA	91505	https://resiliencebuildingleader.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-003112	0	At the close of the offering, the issuer closed on $185,085.14 and 514,418 number of securities.		California Cowboy Apparel Inc.	Corporation		DE	2015-09-04	44 CRANE DRIVE		SAN ANSELMO	CA	94960	https://shop.californiacowboy.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-003110	1		Issuer is extending campaign end date.	YouSolar, Inc.	Corporation		DE	2010-05-11	292 BROKAW ROAD		SANTA CLARA	CA	95050	www.yousolar.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-003109	1		Issuer is extending campaign end date.	Fanbase Social Media, Inc.	Corporation		DE	2019-10-01	976 JEFFERSON ST. NW SUITE I		ATLANTA	GA	30318	fanbase.app	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-003108	0			MVP Kids Media, Inc															
0001669191-22-001179	0		the issuer extended the offering deadline.	BNNano, Inc.	Corporation		NC	2016-12-22	2119 West Webb Ave		Burlington	NC	27519	https://www.bnnano.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001669191-22-001178	0		the issuer extended the offering deadline.	PRIME DIVERSITY, INC.	Corporation		DE	2021-12-08	1500 Rosecrans Ave	Suite 500	Manhattan  Beach	CA	90266	https://www.primediversitygroup.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001958686-22-000001	0			Sensory Health Inc	Corporation		TX	2021-05-04	1412 KINGS HIGHWAY		DALLAS	TX	75208	www.sensory.health	MICROVENTURE MARKETPLACE INC.	N	0001478147	008-68458	000152513
0001670254-22-001302	0			NYCE Companies, Inc.	Corporation		DE	2020-01-08	85 Broad St	28th Fl.	New York	NY	10004	https://nyce.co/	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001944126-22-000001	0		Change in Escrow Agent from Prime Trust to North Capital Private Securities.	STERLING RHINO CAPITAL EQUITY MULTIPLE CF FUND I LLC	Limited Liability Company		WY	2022-07-06	6824 19TH ST. W #159		UNIVERSITY PLACE	WA	98466	https://www.sterlingrhinocapital.com/src-emf-cf-1/	TycoonoInvest Portal LLC	N	0001815196	007-00245	310166
0001957139-22-000002	1		Update to target end date	Roots & Fruits Juicery Inc	Corporation		FL	2012-05-03	2940 UNIVERSITY BLVD W		JACKSONVILLE	FL	33217	rootsandfruitsjuicery.us	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001957139-22-000001	0			Roots & Fruits Juicery Inc	Corporation		FL	2012-05-03	2940 UNIVERSITY BLVD W		JACKSONVILLE	FL	33217	rootsandfruitsjuicery.us	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001665160-22-003107	1		Issuer is extending campaign end date	Clean Simple Foods, Inc.	Corporation		DE	2022-04-05	49 VOSE FARM RD STE 120		PETERBOROUGH	NH	03458	https://www.nuttinordinary.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001670254-22-001300	0		Updating lead investor info	Rightstar Inc.	Corporation		DE	2021-04-14	228 Park Avenue South	Suite 300	New York	NY	10003	http://www.rightstars.co	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001665160-22-003106	1		Issuer is extending campaign end date	AWOL OUTDOORS, INC.	Corporation		WI	2009-07-15	7640 WASHINGTON AVENUE SOUTH	PLEASE UPDATE THIS VALUE	EDEN PRAIRIE	MN	55344	www.camp365.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-003105	1		Issuer is extending campaign end date.	Fisher Wallace Laboratories, Inc.	Corporation		DE	2019-08-23	630 FLUSHING AVENUE, SUITE #104		BROOKLYN	NY	11206	www.fisherwallace.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001670254-22-001298	0			Virtual World Computing LLC	Limited Liability Company		CA	2008-01-22	5383 Hollister Ave.	Suite 120	Santa Barbara	CA	93111	https://tuskbrowser.com/	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001669191-22-001174	0			CureLab Veterinary Inc.	Corporation		DE	2020-10-19	417 Greenlodge Steet		Dedham	MA	02026	https://www.curelabveterinary.com/	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001670254-22-001294	0			Teeccino Caffe, Inc.	Corporation		CA	1994-06-02	130 Lombard Street		Oxnard	CA	93030	http://www.Teeccino.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001670254-22-001296	0			Upshift Inc.	Corporation		DE	2012-10-03	981 Mission Street		San Francisco	CA	94103	https://www.upshiftcars.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001943603-22-000005	0			Maramy LLC															
0001746059-22-000433	1		Issuer is extending the deadline to make an investment.	Petrolhead Cafe LLC	Limited Liability Company		CT	2018-09-06	94 CAMBRIDGE ST		WEST HARTFORD	CT	06110	https://www.petrolheadcafe.com/	MainVest, Inc.	N	0001746059	007-00162	
0001952985-22-000002	0			Novatek Pharmaceuticals, Inc.	Corporation		DE	2020-04-30	3569 Business Center Drive	Suite 110	Pearland	TX	77584	www.novatekpharmceuticals.com	Deal Maker	N	0001872856	008-70756	315324
0001670254-22-001293	0			Ceres Chill Co.	Corporation		DE	2018-12-02	10750 N Madison Avenue NE		Bainbridge Island	WA	98110	http://cereschill.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001821982-22-000016	0		Adjusting the end date of the offering.	J. Johnson & Company, LLC	Limited Liability Company		NC	2019-03-29	1129 CORPORATION PARKWAY	SUITE 181/199	RALEIGH	NC	27610	https://www.hubbkitchens.com/	Vicinity LLC	N	0001798542	007-00223	307772
0001669191-22-001171	0		the issuer updated the text in the introduction section.	Above: Space Development Corporation	Corporation		DE	2019-08-21	4100 Market Street SW	Suite 100	Huntsville	AL	35808	orbitalassembly.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001958044-22-000001	0			Luxbeverage LLC	Limited Liability Company		NJ	2014-06-27	1412 BROADWAY	21ST FLOOR	NEW YORK	NY	10018	https://www.moriondocoffee.com/	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001857547-22-000001	0			Harmony Global Foods, LLC	Limited Liability Company		NJ	2020-09-15	115 WATCHUNG AVENUE	APT 2	MONTCLAIR	NJ	07043	www.harmonyglobalfoods.com		N			
0001644600-22-000149	0			Super Processor, Inc.	Corporation		NV	2014-10-27	3960 HOWARD HUGHES PKWY	5TH FLOOR PMB 6041	LAS VEGAS	NV	89169	https://supernet.ai	DALMORE GROUP LLC	N	0001332099	008-67002	000136352
0001958971-22-000001	0			Rejuve LLC	Limited Liability Company		TX	2017-06-09	2714 W LAKE HOUSTON PKWY	STE 180	KINGSWOOD	TX	77339	http://www.rejuvetherapy.com/	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001670254-22-001285	0			CircleIt Inc.	Corporation		DE	2018-10-05	10 W Hubbard Street, Suite 5W		Chicago	IL	60654	https://circleit.com/	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001670254-22-001287	0			Apotheka Systems Inc.															
0001944999-22-000002	0		Changed Escrow Agent	Durable Sustainability Inc.	Corporation		WY	2022-04-11	1820 DOUBLE DELIGHT AVENUE		NORTH LAS VEGAS	NV	89032	http://www.durable.energy	NETSHARES FINANCIAL SERVICES LLC	N	0001805615	008-70502	000307532
0001670254-22-001288	0			Highline Wellness Inc.	Corporation		DE	2018-10-08	413 WEST 14TH STREET	SUITE 201	NEW YORK	NY	10014	https://highlinewellness.com/	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001670254-22-001289	0			Lotus Tech Co.	Corporation		DE	2021-10-21	2261 Market Street #4861		San Francisco	CA	94114	https://www.uselotus.io/	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001670254-22-001291	0			Finternet Technologies, Inc.	Corporation		DE	2022-07-22	355 Bryant Street	Suite 403	San Francisco	CA	94107	https://gullak.money	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001930496-22-000003	0		INCLUDING A WEBINAR TRANSCRIPT AND UPDATING THE COMPANY'S FINANCIAL AND DEBT INFORMATION	Flexpay LLC	Limited Liability Company		DE	2019-12-05	FLEXPAY LLC	16192 COASTAL HIGHWAY	LEWES	TX	19958	flexpay.co.ke	MicroVenture Marketplace Inc.	N	0001478147	008-68458	152513
0001665160-22-003104	1		Issuer is extending campaign end date.	Apis Cor Inc.	Corporation		DE	2019-12-19	3060 VENTURE LANE #101		MELBOURNE	FL	32934	https://apis-cor.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001957519-22-000004	1		Updated escrow minimum, $50,000.	Jet LLC	Limited Liability Company		DE	2022-10-09	1320 N COURTHOUSE RD	SUITE 130	ARLINGTON	VA	22201	https://thejet.coach/	SI SECURITIES, LLC	N	0001603038	008-69440	000170937
0001592234-22-000006	0	Total raised $54,900		Dinebrau LLC	Limited Liability Company		FL	2022-10-13	8187 SULLY DR		ORLANDO	FL	32818	http://www.deadlizardbrewing.com/	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001665160-22-003103	1		Issuer is extending the campaign end date and updating the previous offering, company securities, and liquidity & capital resources sections.	TrueGen Health, Inc.	Corporation		DE	2021-12-01	932 S BRUNER ST		HINSDALE	IL	60521	https://www.addyourlabs.io/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001709244-22-000005	0		This amendment is to correct a scrivener's error appearing in the line items regarding Net Income Most Recent Fiscal Year-end and Net Income Prior Fiscal year-end in the html webform.	Gab AI Inc	Corporation		DE	2016-09-09	700 N STATE STREET		CLARKS SUMMIT	PA	18411	https://gab.com	LEVELX CAPITAL LLC	N	0001146190	008-53580	000117028
0001943451-22-000003	0	"""The issuer raised approximately $292,700 during the offering period. Payments are still being processed; the exact amount has yet to be determined."""		Toybox Labs Inc	Corporation		DE	2016-02-22	66 FRANKLIN STREET	#300	OAKLAND	CA	94607	https://www.toybox.com	SI SECURITIES, LLC	N	0001603038	008-69440	000170937
0001670254-22-001282	0			Links Golf Cafe, LLC	Limited Liability Company		AZ	2022-01-01	1846 E. Innovation Park Dr.,	STE 100	Oro Valley	AZ	85755	https://linksgolfcafe.com/	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001665160-22-003101	0	At the close of the offering, the issuer closed on $99,049.87 and 22,023 number of securities.		Fan Rebellion, Inc.	Corporation		NV	2021-11-08	10624 S. EASTERN AVE, SUITE A-641		HENDERSON	NV	89052	http://fanrebellion.com	StartEngine Capital, LLC	N	0001665160	007-00007	
