ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001669191-22-000311	2	Robert Waterman	Principal Financial Officer	2022-03-31
0001669191-22-000310	3	David Young	Principal Accounting Officer	2022-03-31
0001669191-22-000310	2	David Young	Principal Financial Officer	2022-03-31
0001669191-22-000310	1	David Young	Principal Executive Officer	2022-03-31
0001669191-22-000310	5	Michael Herr	Board Member	2022-03-31
0001669191-22-000310	4	Uri Stern	Board Member	2022-03-31
0001669191-22-000307	3	Akash  Bellippady	Principal Accounting Officer	2022-03-31
0001669191-22-000307	2	Akash  Bellippady	Principal Financial Officer	2022-03-31
0001669191-22-000307	1	Akash  Bellippady	Principal Executive Officer	2022-03-31
0001669191-22-000307	4	Akash  Bellippady	Board Member	2022-03-31
0001669191-22-000306	5	Marshall Kaplan Ph.D.	Board Member	2022-03-31
0001669191-22-000306	1	John Bauman	Principal Executive Officer	2022-03-31
0001669191-22-000306	2	John Bauman	Principal Financial Officer	2022-03-31
0001669191-22-000306	3	John Bauman	Principal Accounting Officer	2022-03-31
0001669191-22-000306	4	John Bauman	Board Member	2022-03-31
0001755873-22-000002	1	Kobi Wu	Founder & CEO	2022-03-31
0001665160-22-000593	1	Mark C. Russell	CEO (Chief Executive Officer) and Director	2022-03-31
0001665160-22-000593	3	Charles Thomas Russell	Director	2022-03-31
0001665160-22-000593	2	Michelle Carbon	CFO and General Counsel	2022-03-31
0001815955-22-000001	1	Corey Lewis by Sean Fuellhart POA	CEO	2022-03-31
0001890178-22-000002	2	Peter Stein	President	2022-03-31
0001890178-22-000002	1	Vittorio Pareto	Chief Executive Officer	2022-03-31
0001788806-22-000001	1	Michael Knox	Chairman	2022-03-31
0001831180-22-000001	1	Miguel Reyes	CEO	2022-03-31
0001665160-22-000591	2	Gary Starr	Director	2022-03-31
0001665160-22-000591	1	Patrick Sherwin	CEO, Principal Financial Officer, and Principal Accounting Officer	2022-03-31
0001665160-22-000591	3	Emily Zaebst	Director	2022-03-31
0001901875-22-000002	1	Gregory LoPiccolo	Director	2022-03-31
0001867987-22-000001	1	Matt Bennett	Manager and Founder	2022-03-31
0001665160-22-000587	1	Jon Stone	President, CEO, Secretary, Treasurer and Founder	2022-03-31
0001669191-22-000303	3	Robert Krause	Principal Accounting Officer	2022-03-31
0001669191-22-000303	5	Robert Krause	Board Member	2022-03-31
0001669191-22-000303	6	Jeromee Johnson	Board Member	2022-03-31
0001669191-22-000303	2	Robert Krause	Principal Financial Officer	2022-03-31
0001669191-22-000303	1	Robert Krause	Principal Executive Officer	2022-03-31
0001669191-22-000303	4	Richard Heckinger	Board Member	2022-03-31
0001669191-22-000300	1	Matthew P. Jones	Principal Executive Officer	2022-03-31
0001669191-22-000300	4	Matthew P. Jones	Board Member	2022-03-31
0001669191-22-000300	3	Matthew P. Jones	Principal Accounting Officer	2022-03-31
0001669191-22-000300	2	Matthew P. Jones	Principal Financial Officer	2022-03-31
0001669191-22-000299	1	Leonard S.   Johnson Ph.D. student	Principal Executive Officer	2022-03-31
0001669191-22-000299	2	Leonard S.   Johnson Ph.D. student	Principal Financial Officer	2022-03-31
0001669191-22-000299	3	Leonard S.   Johnson Ph.D. student	Principal Accounting Officer	2022-03-31
0001669191-22-000299	4	Leonard S.   Johnson Ph.D. student	Board Member	2022-03-31
0001669191-22-000299	5	Dr. Alexander  Nawrocki Ph.D.	Board Member	2022-03-31
0001665160-22-000585	1	Karl Loepke	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-03-31
0001665160-22-000584	1	Ronald Jeffery Arnold	President, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-03-31
0001665160-22-000583	1	Zane Lamprey	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-03-31
0001917228-22-000001	2	Patrick M Maguire	Co-Owner	2022-03-31
0001917228-22-000001	1	George H Jamison	Co-Owner	2022-03-31
0001917228-22-000001	3	David J Soler	Chief Operating Officer	2022-03-31
0001665160-22-000581	1	Michael Williston	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-03-30
0001670254-22-000271	1	Andres Chamorro III	VP of Engineering	2022-03-20
0001670254-22-000271	2	Abdelhamid Riani	Sales & Marketing Strategist - Board Member	2022-03-20
0001670254-22-000271	3	Aja Atwood	CEO/Cofounder	2022-03-18
0001665160-22-000582	1	Oksana Simmons	CFO and Director	2022-03-30
0001665160-22-000582	2	Michael Sean Simmons	CEO and Director	2022-03-30
0001920542-22-000001	1	Aaron Simpson	Chief Executive Officer and Director	2022-03-28
0001920542-22-000001	2	Kenneth Russo	Director	2022-03-28
0001665160-22-000580	1	Stephanie Nelson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-03-30
0001670254-22-000269	6	Max Harker	Co-Founder & CEO	2022-03-22
0001670254-22-000269	5	Darren Lund	CIO	2022-03-22
0001670254-22-000269	4	Manuel Rodrigo Parra	CTO	2022-03-22
0001670254-22-000269	3	Jeffrey Russell Grandia	Director/Partner	2022-03-22
0001670254-22-000269	1	Casey Kiane Charlebois	Chief Medical Officer	2022-03-23
0001670254-22-000269	2	Brian B Eliason	Senior advisor	2022-03-23
0001099910-22-000050	2	James Abely	Manager	2022-03-30
0001099910-22-000050	1	Will Marotti	Manager	2022-03-30
0001919337-22-000001	1	Charles Garris	President and Founder	2022-03-30
0001910645-22-000002	1	Christopher Lynn	President	2022-03-30
0001669191-22-000295	1	Manuel Teixeira	Principal Executive Officer	2022-03-30
0001669191-22-000295	2	Manuel Teixeira	Principal Financial Officer	2022-03-30
0001669191-22-000295	4	Thomas Carmody	Board Member	2022-03-30
0001669191-22-000295	3	Manuel Teixeira	Principal Accounting Officer	2022-03-30
0001665160-22-000579	1	Bernard Garcia	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-03-30
0001746059-22-000129	1	Marissa Stashenko	Owner and CoFounder	2022-03-30
0001665160-22-000578	1	Jacob Davis	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-03-30
0001917891-22-000001	1	Edward Lai	President	2022-03-30
0001669191-22-000293	4	Lisa Williams	Board Member	2022-03-30
0001669191-22-000293	1	Lisa Williams	Principal Executive Officer	2022-03-30
0001669191-22-000293	3	Lisa Williams	Principal Accounting Officer	2022-03-30
0001669191-22-000293	2	Lisa Williams	Principal Financial Officer	2022-03-30
0001669191-22-000292	1	Rodney Reum	Principal Executive Officer	2022-03-30
0001669191-22-000292	5	Vincenzo DePalma	Board Member	2022-03-30
0001669191-22-000292	2	Nicolette Keith	Principal Financial Officer	2022-03-30
0001669191-22-000292	9	Pasquale Lavacca	Board Member	2022-03-30
0001669191-22-000292	3	Yu-Cheng (Mike) Kao	Principal Accounting Officer	2022-03-30
0001669191-22-000292	7	Carlo Rossato	Board Member	2022-03-30
0001669191-22-000292	6	Nicolette Keith	Board Member	2022-03-30
0001669191-22-000292	4	Rodney Reum	Board Member	2022-03-30
0001669191-22-000292	8	Kenneth Reardon	Board Member	2022-03-30
0001669191-22-000291	2	Jon Packer	Board Member	2022-03-30
0001669191-22-000291	1	Edward Cowle	Principal Executive Officer	2022-03-30
0001669191-22-000291	3	Edward Cowle	Board Member	2022-03-30
0001669191-22-000291	4	Daniel Richard	Board Member	2022-03-30
0001669191-22-000290	3	Scott Foster	Board Member	2022-03-30
0001669191-22-000290	5	Dwaine Parker	Board Member	2022-03-30
0001669191-22-000290	2	Scott Foster	Principal Financial Officer	2022-03-30
0001669191-22-000290	1	Paul Inglese	Principal Executive Officer	2022-03-30
0001669191-22-000290	6	Kilton  Agolli	Board Member	2022-03-30
0001669191-22-000290	4	Paul Inglese	Board Member	2022-03-30
0001669191-22-000289	1	Zachary Sadow	Principal Executive Officer	2022-03-30
0001669191-22-000289	2	Bina Khan	Principal Financial Officer	2022-03-30
0001669191-22-000289	3	Bina Khan	Principal Accounting Officer	2022-03-30
0001669191-22-000289	4	Christopher Kelley	Board Member	2022-03-30
0001669191-22-000289	5	Cynthia Archer	Board Member	2022-03-30
0001669191-22-000288	2	Sunil Ahuja	Principal Financial Officer	2022-03-30
0001669191-22-000288	1	Dale Amon	Principal Executive Officer	2022-03-30
0001669191-22-000288	3	Sunil Ahuja	Principal Accounting Officer	2022-03-30
0001669191-22-000288	4	Sunil Ahuja	Board Member	2022-03-30
0001669191-22-000288	5	Dale Amon	Board Member	2022-03-30
0001669191-22-000288	6	Arlene  Dodds	Board Member	2022-03-30
0001669191-22-000288	7	Clifford Martin	Board Member	2022-03-30
0001669191-22-000287	5	NATASHA SEAY	Board Member	2022-03-30
0001669191-22-000287	3	NATASHA SEAY	Principal Accounting Officer	2022-03-30
0001669191-22-000287	2	DWAYNE SAMUELS	Principal Financial Officer	2022-03-30
0001669191-22-000287	1	DWAYNE SAMUELS	Principal Executive Officer	2022-03-30
0001669191-22-000287	4	DWAYNE SAMUELS	Board Member	2022-03-30
0001669191-22-000286	4	Dermell Brunson	Board Member	2022-03-30
0001669191-22-000286	3	Dermell Brunson	Principal Accounting Officer	2022-03-30
0001669191-22-000286	2	Dermell Brunson	Principal Financial Officer	2022-03-30
0001669191-22-000286	1	Dermell Brunson	Principal Executive Officer	2022-03-30
0001669191-22-000286	5	Ezekiel Jackson	Board Member	2022-03-30
0001669191-22-000285	2	Philipa Booyens	Principal Financial Officer	2022-03-30
0001669191-22-000285	3	Dan Funk	Principal Accounting Officer	2022-03-30
0001669191-22-000285	4	Philipa Booyens	Board Member	2022-03-30
0001669191-22-000285	5	Jaco Booyens	Board Member	2022-03-30
0001669191-22-000285	6	Dan Funk	Board Member	2022-03-30
0001669191-22-000285	1	Jaco Booyens	Principal Executive Officer	2022-03-30
0001669191-22-000284	2	James Mulford	Principal Financial Officer	2022-03-30
0001669191-22-000284	3	James Mulford	Principal Accounting Officer	2022-03-30
0001669191-22-000284	6	Roderick McLean	Board Member	2022-03-30
0001669191-22-000284	4	James Mulford	Board Member	2022-03-30
0001669191-22-000284	1	James Mulford	Principal Executive Officer	2022-03-30
0001669191-22-000284	5	David Sterling	Board Member	2022-03-30
0001670254-22-000268	1	Ian Michael Baxter	Board Member	2022-03-30
0001670254-22-000268	2	Craig Lewis Bond	Chairman	2022-03-30
0001670254-22-000268	4	James Schleckser	Director - Board Member	2022-03-29
0001670254-22-000268	5	Matthew Armandi	Chief Financial Officer	2022-03-29
0001670254-22-000268	3	Stephen Le Roux	Chief Executive Officer	2022-03-29
0001746059-22-000128	1	Robinson Joachin	Owner and CoFounder	2022-03-30
0001665160-22-000575	1	Mary Gardner	CEO, Director/Board Member, Principal Financial Officer	2022-03-30
0001665160-22-000575	2	Daniel Bradbury	Board Director	2022-03-30
0001665160-22-000573	1	Daniel Lyons	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-03-30
0001746059-22-000127	1	Ryan Becker	Managing Partner	2022-03-30
0001746059-22-000126	1	Jeffrey Olsen	Owner and Founder	2022-03-30
0001821177-22-000001	1	Bogdan Litescu	CEO & Director	2022-03-29
0001834769-22-000003	2	Russell Gong	Director	2022-03-29
0001834769-22-000002	1	Trishna Saigal	Director	2022-03-29
0001834769-22-000003	1	Achal Patel	Director	2022-03-29
0001665160-22-000572	4	Amy Boes	COO and Co-Founder, Principal Financial Officer and Principal Accounting Officer	2022-03-29
0001665160-22-000572	3	Dan Gerrity	Director	2022-03-29
0001834769-22-000005	1	George Haymaker	Director	2022-03-29
0001665160-22-000572	1	Chandler Murch	CEO, CTO and Co-Founder	2022-03-29
0001670254-22-000267	1	Renji Bijoy	Founder & CEO/CTO	2022-03-24
0001877079-22-000001	2	Thomas B. Hazzard	Director	2022-03-28
0001877079-22-000001	1	Tracy L. Hazzard	Director	2022-03-28
0001705050-22-000002	2	Michael Rasumussen	Chief Financial Officer and Director	2022-03-29
0001705050-22-000002	1	Christopher Dominguez	Chief Executive Officer and Director	2022-03-29
0001665160-22-000572	2	Aaron Finch	Director	2022-03-29
0001670254-22-000266	2	Victor Charles	CFO	2022-03-29
0001670254-22-000266	1	Kevin Charles	CEO	2022-03-29
0001193125-22-088286	3	/s/ Cameron McNie	Co-Chief Executive Officer, Chairman of the Board	2022-03-29
0001193125-22-088286	2	/s/ Mike Zwonitzer	Interim Chief Financial Officer (Principal Financial Officer and Principal Accounting Officer)	2022-03-29
0001193125-22-088286	1	/s/ Scott Ford	President, Co-Chief Executive Officer and Director (Principal Executive Officer)	2022-03-29
0001193125-22-088286	4	/s/ Tyler McNie	Co-Chief Executive Officer and Director	2022-03-29
0001193125-22-088286	5	/s/ Joel Worcester	Director	2022-03-29
0001193125-22-088286	6	/s/ Paul Worcester	Director	2022-03-29
0001746059-22-000125	1	Jeffrey Brown	Owner	2022-03-29
0001851385-22-000001	1	Gustavo De Greiff	CEO	2022-03-29
0001665160-22-000571	1	Tamika Shari Bond	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-03-29
0001665160-22-000570	1	Jim Handoush	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-03-29
0001893079-22-000004	1	Stephanie O'Brien	Director	2022-03-29
0001893079-22-000003	1	Heather Lorraine Dawson	Chief Executive Officer and Director	2022-03-29
0001893079-22-000003	2	Maria Elena Carmela Abraham	Chief Product Officer and Director	2022-03-29
0001918895-22-000003	1	Robert Cefail by Sean Fuellhart POA	CEO	2022-03-29
0001919365-22-000001	1	Rosemary Mihalko	CEO	2022-03-29
0001665160-22-000569	1	Ian Eyberg	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-03-29
0001669191-22-000269	1	Mike Ortega	Principal Executive Officer	2022-03-29
0001669191-22-000269	4	Mike Ortega	Board Member	2022-03-29
0001669191-22-000269	3	Gary  Levine	Principal Accounting Officer	2022-03-29
0001669191-22-000269	5	Dan Cox	Board Member	2022-03-29
0001669191-22-000269	2	Gary  Levine	Principal Financial Officer	2022-03-29
0001746059-22-000124	1	Cody McCormack	Owner and Founder	2022-03-29
0001845329-22-000003	1	George Haymaker	Director	2022-03-29
0001918895-22-000002	1	Robert Cefail by Sean Fuellhart POA	CEO	2022-03-29
0001669191-22-000265	6	Thomas R. Spilker	Board Member	2022-03-29
0001669191-22-000265	3	Timothy Alatorre	Principal Accounting Officer	2022-03-29
0001669191-22-000265	4	James Wolff	Board Member	2022-03-29
0001669191-22-000265	5	Timothy Alatorre	Board Member	2022-03-29
0001669191-22-000265	1	Rhonda Stevenson	Principal Executive Officer	2022-03-29
0001669191-22-000265	7	Rhonda Stevenson	Board Member	2022-03-29
0001669191-22-000265	2	Timothy Alatorre	Principal Financial Officer	2022-03-29
0001669191-22-000262	1	Bradley Larschan	Principal Executive Officer	2022-03-29
0001669191-22-000262	6	Yuichiro Takayanagi	Board Member	2022-03-29
0001669191-22-000262	4	Ericka Wojack	Board Member	2022-03-29
0001669191-22-000262	5	Bradley Larschan	Board Member	2022-03-29
0001669191-22-000262	3	Ericka Wojack	Principal Accounting Officer	2022-03-29
0001669191-22-000262	2	Ericka Wojack	Principal Financial Officer	2022-03-29
0001882854-22-000003	1	Joshua Esnard	Founder and CEO	2021-09-17
0001878002-22-000009	1	James Felton Keith	Chairman & CEO	2022-03-07
0001907816-22-000005	1	jonathan swindell	ceo	2022-02-16
0001746059-22-000123	1	Jeffrey Brown	Owner	2022-03-29
0001917116-22-000005	1	Stephanie Herrera	President	2022-03-29
0001104659-22-039195	1	/s/ Eugene Meehan	President, Manager	2022-03-29
0001104659-22-039195	2	/s/ Fredy Dellis	Chief Operating Officer, Manager	2022-03-29
0001104659-22-039195	3	/s/ E. Harold Gassenheimer	Chief Financial Officer, Manager	2022-03-29
0001858449-22-000001	1	Daniel Estoque	CEO	2022-03-29
0001882854-22-000002	1	Joshua Esnard	Founder and CEO	2021-09-17
0001907816-22-000004	1	jonathan swindell	ceo	2022-02-16
0001886475-22-000003	2	Ismael El-Amin	Manager	2021-10-05
0001886475-22-000003	1	Donald Scott II	Manager	2021-10-05
0001894171-22-000002	1	Michael Earley	President	2021-11-19
0001878002-22-000008	1	James Felton Keith	Chairman & CEO	2022-03-07
0001665160-22-000566	1	Mark Russell	CEO, Principal Executive Officer and Director	2022-03-28
0001665160-22-000566	2	Michelle Carbon	CFO, Principal Financial Officer and Principal Accounting Officer	2022-03-28
0001665160-22-000566	3	Mike McSherry	Director	2022-03-28
0001665160-22-000566	4	Charles Russell	Director	2022-03-28
0001665160-22-000567	1	Yogesh Pandit	CEO and Chairman of the Board	2022-03-28
0001665160-22-000568	1	Ben Chang	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-03-28
0001822500-22-000004	1	Stewart Stockdale	Chairman & CEO	2022-03-28
0001670254-22-000260	1	anthony kremer	CVO	2022-03-23
0001670254-22-000260	2	M Ralph Musgrove	President	2022-03-23
0001670254-22-000260	3	Thomas Link	CEO, Co-founder	2022-03-23
0001670254-22-000265	1	Albert Kim	CEO	2022-03-24
0001670254-22-000265	2	Tarun Thummala	Technology	2022-03-24
0001822500-22-000005	1	Chad Horstman	Founder & Chairman	2022-03-28
0001822500-22-000005	2	Charley Clemens	COO	2022-03-28
0001822500-22-000005	3	Scott Hale	CEO	2022-03-28
0001670254-22-000263	1	Elliott Small	Founder and CEO	2022-03-22
0001644600-22-000036	1	Jeff Lewis	CEO	2022-03-28
0001670254-22-000264	1	Garry Johnson III	Owner & President	2022-03-24
0001665160-22-000565	1	Maxim Filin	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer	2022-03-28
0001665160-22-000564	1	Ryan Bove	CEO, Principal Financial Officer, and Manager	2022-03-28
0001665160-22-000564	2	Doug Foster	Manager	2022-03-28
0001665160-22-000564	4	Ted Hobart Personal	Director	2022-03-28
0001665160-22-000564	3	Brian Scott	Director	2022-03-28
0001669191-22-000259	1	Lisa  Newmann	Principal Executive Officer	2022-03-28
0001669191-22-000259	4	Lisa  Newmann	Board Member	2022-03-28
0001669191-22-000259	3	Lisa  Newmann	Principal Accounting Officer	2022-03-28
0001669191-22-000259	2	Lisa  Newmann	Principal Financial Officer	2022-03-28
0001669191-22-000256	3	Mark  Newbauer	Principal Accounting Officer	2022-03-28
0001669191-22-000256	4	Mark  Newbauer	Board Member	2022-03-28
0001669191-22-000256	1	Mark  Newbauer	Principal Executive Officer	2022-03-28
0001669191-22-000256	2	Mark  Newbauer	Principal Financial Officer	2022-03-28
0001914061-22-000004	1	Danielle Goss	Governor	2022-03-28
0001914061-22-000004	2	Nathaniel Goss	Governor	2022-03-28
0001665160-22-000563	1	Kenny Gregg	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-03-28
0001670254-22-000259	4	Thomas G Hennessy	Partner	2022-03-18
0001670254-22-000259	5	Samuel Pro	CEO/CTO	2022-03-18
0001670254-22-000259	2	James P Roach	Shareholder	2022-03-22
0001670254-22-000259	1	Trent Anderson	Director	2022-03-22
0001670254-22-000259	3	David Rogers	Director	2022-03-22
0001665160-22-000562	1	Miguel Ayala	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-03-28
0001665160-22-000561	1	Shakti Jauhar	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-03-28
0001665160-22-000559	1	Kelly Roman	CEO and Director	2022-03-28
0001665160-22-000559	2	Charles Fisher	CFO and Director	2022-03-28
0001914061-22-000003	1	Jack Benzaquen	Manager	2022-03-28
0001914061-22-000002	3	Brandon Jorgensen	Director	2022-03-28
0001914061-22-000002	1	Ryan Grambart	Director	2022-03-28
0001914061-22-000002	2	Nicholas Wurm	Director	2022-03-28
0001758135-22-000001	1	Jose Pablo Toscano	CEO	2022-03-28
0001665160-22-000555	1	Mendel Bassman	CEO	2022-03-28
0001665160-22-000555	2	Lacramioara Schulte auf'm Erley	Board Member	2022-03-28
0001665160-22-000554	1	Cody Alfar	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-03-28
0001880827-22-000004	1	Sean Jones	Managing Member	2022-03-28
0001665160-22-000552	3	Todd D. Wiebusch	Director	2022-03-28
0001665160-22-000552	1	Peter Durand	CEO and Director	2022-03-28
0001665160-22-000552	2	Alan J. Zdyb	Director	2022-03-28
0001746059-22-000122	1	Philip Smith	Executive Chairman	2022-03-28
0001857219-22-000001	1	Andrew Rosenberg	CEO	2022-03-28
0001876142-22-000001	1	James Wynn by Sean Fuellhart POA	CEO	2022-03-28
0001665160-22-000550	1	Larry Hightower	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-03-28
0001665160-22-000548	3	Tod A. Nestor	Director	2022-03-28
0001665160-22-000548	2	Joshua Leavitt	CFO	2022-03-28
0001665160-22-000548	1	Pierre Rogers	CEO	2022-03-28
0001665160-22-000548	4	Pam Hamlin	Director	2022-03-28
0001669191-22-000254	5	Ganga Bathula	Board Member	2022-03-28
0001669191-22-000254	4	Kranthi Bathula	Board Member	2022-03-28
0001669191-22-000254	3	Ganga Bathula	Principal Accounting Officer	2022-03-28
0001669191-22-000254	2	Kranthi Bathula	Principal Financial Officer	2022-03-28
0001669191-22-000254	1	Ganga Bathula	Principal Executive Officer	2022-03-28
0001669191-22-000253	4	Jeff Chambers	Board Member	2022-03-28
0001669191-22-000253	5	David Norris	Board Member	2022-03-28
0001669191-22-000253	3	David Norris	Principal Accounting Officer	2022-03-28
0001669191-22-000253	2	David Norris	Principal Financial Officer	2022-03-28
0001669191-22-000253	1	David Norris	Principal Executive Officer	2022-03-28
0001669191-22-000252	2	Bruce  Weber	Principal Financial Officer	2022-03-28
0001669191-22-000252	3	Bruce  Weber	Principal Accounting Officer	2022-03-28
0001669191-22-000252	4	Dennis  Dresser	Board Member	2022-03-28
0001669191-22-000252	5	Xugang Li	Board Member	2022-03-28
0001669191-22-000252	6	Bruce  Weber	Board Member	2022-03-28
0001669191-22-000252	1	Dennis  Dresser	Principal Executive Officer	2022-03-28
0001665160-22-000545	4	Alex Diggins	CTO	2022-03-28
0001665160-22-000545	3	Matt Jerrild	Chief Financial Officer	2022-03-28
0001665160-22-000545	2	William Diggins Senior	Chairman	2022-03-28
0001665160-22-000545	1	William Diggins II	CEO	2022-03-28
0001747803-22-000005	1	Carlos Fernando Mendez	Director	2022-03-25
0001747803-22-000005	2	Melissa Mendez	Director	2022-03-25
0001897387-22-000001	1	Shubhra Sharma	Director	2022-03-25
0001670254-22-000256	1	Wynn Sanders	COO	2022-03-24
0001670254-22-000256	2	Chester Brandes	Board Member	2022-03-24
0001670254-22-000256	3	Stephen Williams	CFO	2022-03-24
0001670254-22-000256	4	Joanne Haruta	Co-founder	2022-03-24
0001670254-22-000256	5	Bryan Davis	Co-Founder & CEO - Board Director	2022-03-24
0001879376-22-000002	1	Evan Wade	Director	2022-03-25
0001879376-22-000002	2	Katerina Dimitratos	Director	2022-03-25
0001746059-22-000121	1	Martel Matthews	Owner and Founder	2022-03-25
0001665160-22-000542	1	Phil Layton	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-03-25
0001879376-22-000004	1	Mahsa Rostami	Director	2022-03-25
0001879376-22-000004	2	Shawn Baker	Director	2022-03-25
0001919177-22-000001	1	Robert Rensel	Owner	2022-03-25
0001665160-22-000541	1	Peter Durand	CEO and Director	2022-03-25
0001665160-22-000541	2	Alan J. Zdyb	Director	2022-03-25
0001665160-22-000541	3	Todd D. Wiebusch	Director	2022-03-25
0001879376-22-000003	1	Mahsa Rostami	Director	2022-03-25
0001879376-22-000003	2	Shawn Baker	Director	2022-03-25
0001879376-22-000005	1	Matthew Sullivan	Chief Executive Officer	2022-03-25
0001879376-22-000005	2	Charles Tralka	Interim CFO	2022-03-25
0001919177-22-000002	1	Mark Tsigounis	CEO	2022-03-25
0001665160-22-000538	1	Peter Durand	CEO and Director	2022-03-25
0001665160-22-000538	2	Alan J. Zdyb	Director	2022-03-25
0001665160-22-000538	3	Todd D. Wiebusch	Director	2022-03-25
0001665160-22-000537	1	Emilie Joly	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-03-25
0001746059-22-000120	1	Nicholas French	Owner and Founder	2022-03-25
0001746059-22-000119	1	Rebecca Murphy	Owner and Founder	2022-03-25
0001911560-22-000005	1	Bryan Price	Managing Member	2022-03-25
0001746059-22-000118	1	Mike Gurevich	Owner and CoFounder	2022-03-25
0001746059-22-000117	1	Kijana Rose	Owner and Founder	2022-03-25
0001746059-22-000116	1	Adam LaClave	Owner and CoFounder	2022-03-25
0001746059-22-000115	1	Debonette Wyatt	Owner and Founder	2022-03-25
0001665160-22-000534	3	Sam Liao	Director	2022-03-25
0001665160-22-000534	2	Carla Corkern	Director	2022-03-25
0001665160-22-000534	1	Stuart Mitchell	CEO, Chairman, President, CTO	2022-03-25
0001665160-22-000533	1	Zachary Sarf	Chairman, Managing Director and CEO	2022-03-25
0001665160-22-000533	2	Ashley Henschel	President and Secretary	2022-03-25
0001665160-22-000532	1	Hans Hesselholt Henne Hansen	CEO, Founder	2022-03-25
0001746059-22-000114	1	David Richardson	Owner and Founder	2022-03-25
0001665160-22-000528	1	Christiane Chateau	CFO	2022-03-25
0001892429-22-000004	1	/s/ Julie Davitz	President and Director	2022-03-25
0001670254-22-000254	4	Michael Klein	CFO	2022-03-11
0001670254-22-000254	5	Cynthia L Monroe	Director	2022-03-09
0001670254-22-000254	6	Vicky Dawson	Actress	2022-03-09
0001670254-22-000254	7	David D. Dietrich	Founder / President	2022-03-09
