ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001858421-21-000004	1	Iris Social Stock App INC.	Brian Schardt	Chief Executive Officer
0001665160-21-001187	1	Hundy, Inc.	Peter Budlong	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001185	1	Clear Genius Inc.	Harry R. Kraatz	CEO, Principal Executive Officer and Director
0001815995-21-000006	1	ADWALLET INC.	Matthew Culler	CFO
0001644600-21-000065	1	STARTENGINE CROWDFUNDING, INC.	Howard Marks	Chief Executive Officer
0001665160-21-001182	1	Custom Social Inc.	Rolan Reichel	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001104659-21-085566	1	Elemeno Health, Inc.	/s/Arup Roy-Burman	Chief Executive Officer
0001869516-21-000001	1	Eureka Compass Vegan Food, LLC	Colin Anderson	President
0001823421-21-000003	1	Remedy Processors LLC	/s/ Jason Burstein	CEO
0001665160-21-001180	1	Streamlytics, Inc.	Angela Benton	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001817744-21-000002	1	Shandoka, Ltd Liability Corp	Ernest Eich IV	CEO
0001848794-21-000002	1	Work4Workers, Inc.	PHILLIP POMPA	CEO
0001670254-21-000750	1	Get a Clew, Co.	Spencer Andrew Martin	CEO and Cofounder
0001665160-21-001178	1	The Studio Kitchen Company	Michael Cafarelli	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001842772-21-000003	1	SRQ Pickleball Partners LLC	Brian McCarthy	Manager
0001665160-21-001173	1	MovoCash, Inc.	Eric Solis	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001852231-21-000003	1	Driven Technologies, Inc	Jason Smith	Chief Executive Officer
0001746059-21-000295	1	ARMAGA VR Inc	Archibald Thompson	CEO
0001665160-21-001171	1	Liberty PlugIns, Inc.	Chris Outwater	CEO, Principal Executive Officer and Director
0001746059-21-000294	1	Earth, Wind & BOOKS LLC	Kimari Hodges	Owner and Founder
0001665160-21-001170	1	AEXLAB, Inc.	Jonathan Ovadia	Co-Founder and CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer.
0001665160-21-001169	1	Franny's Manufacturing Inc	Franny Tacy	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001858421-21-000002	1	Iris Social Stock App INC.	Brian Schardt	Chief Executive Officer
0001670254-21-000748	1	Place Technology, Inc.	Brandon Metcalf	Founder & CEO
0001670254-21-000746	1	Archneura Inc.	Clair Marie McDade	Founder and CEO
0001670254-21-000744	1	Entelexo Biotherapeutics Inc.	Milad Riazifar	CEO
0001670254-21-000742	1	Simply Tiny Development, a Public Benefit LLC	Dr. Sean Dixon	CEO
0001556917-21-000002	1	Berrett-Koehler Group, Inc.	David Marshall	Chief Executive Officer
0001860502-21-000002	1	Actipulse Neuroscience, Inc.	Adrien Chatillon	Chief Executive Officer
0001669191-21-000640	1	Acquire Skills and Knowledge Education Inc.	Ruth Nemire	Principal Executive Officer
0001670254-21-000740	1	GreenLife Tech Corporation	Bruce Roesner	President at GreenLifeTech
0001670254-21-000738	1	Upstack Technologies, Inc.	Andre Mlynsky	Founder & CEO
0001665160-21-001168	1	AquaVault, Inc.	Robert Peck	CEO, Principal Executive Officer and Director
0001670254-21-000736	1	SnapGoal Inc.	Mohamed Zaid	Founder and CEO
0001665160-21-001167	1	Laneaxis, Inc.	Rick Burnett	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001165	1	Fluo Labs, Inc.	Lawrence Johnson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-000734	1	Idle, LLC	Nicholas Luft	CEO
0001665160-21-001164	1	Wireless electrical Grid LAN, WiGL, Inc.	Dr. Ahmad Glover	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001864227-21-000001	1	Supercharge Lab, Inc.	/s/ Anne Cheng	Chief Executive Officer, President and Director
0001670254-21-000732	1	Hana Makgeolli LLC	Alice Jun	Founder & Brewer
0001669191-21-000638	1	Issuer Pixel, Inc	David Baker	Principal Executive Officer
0001812129-21-000001	1	Toast! Supplements Inc	Sean O'Neill	President
0001746059-21-000293	1	Bitty Golf, LLC	Katy Schaan	Owner and Founder
0001746059-21-000291	1	Imees Kitchen	Nicole Nassif	Owner and Founder
0001746059-21-000290	1	Coquette LLC	Caitlin Olsen	Owner and Founder
0001665160-21-001163	1	Manna Foods Co.	Lucas Wright	CEO, Principal Execuetive Officer and Director, Principal Financial Officer and Controller
0001665160-21-001162	1	Bad Stuff, Inc.	Darren Enenstein	CEO, CFO, Chairman of the Board, and Director
0001665160-21-001161	1	Colorado Sake Co.	William Stuart	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001158	1	StartEngine Capital LLC	Patrick Henry	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001157	1	VLISO Inc.	David Obasiolu	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001867887-21-000001	1	Vitiman Kandie, LLC	Mary Johnson	President
0001665160-21-001153	1	VLISO Inc.	David Obasiolu	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001152	1	FoodsPass, Inc.	Travis Matthew Siflinger	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001148	1	Espre Technologies, Inc.	John Terry, PhD	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001145	1	BIOCURITY PHARMACEUTICALS INC.	MerchantCass Advisors, LLC Nancy Cass	Principal Executive Officer
0001665160-21-001144	1	Hitch Hotel Inc.	Geoff Patterson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principle Accounting Officer
0001665160-21-001142	1	LaneAxis Inc.	Rick Burnett	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001140	1	Wilderwise Inc.	Arya Mazanek	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-000631	1	WWF Holdings, Inc.	Lonnie Johnson	Principal Executive Officer
0001665160-21-001138	1	Arc Footwear, Corp.	Sean Clarke	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001136	1	ZenSpace Inc	Mayank Agrawal	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001134	1	Van Robotics, Inc.	Laura Boccanfuso	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001132	1	SAEBO, Inc.	Todd D. Wiebusch	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001619078-21-000006	1	Peaberry Software Inc.	Colin Nederkoorn	CEO & Director
0001665160-21-001129	1	microsurgeonbot,inc	Allan Grosvenor	CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001127	1	The Bad Stuff, Inc.	Darren Enenstein	CEO, CFO, Chairman of the Board, and Director
0001665160-21-001125	1	GLOW Beverages, inc.	John Larson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001122	1	Naboso Technology, Inc.	Emily Splichal	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001121	1	CPR Wrap, Inc.	Felicia Jackson	CEO, Principal Executive Officer and Director, Principal Financial Officer, and Principal Accounting Officer
0001665160-21-001119	1	Jetson AI Inc.	Peter Peng	Chairman, Founder, CEO, Principal Executive Officer and Director
0001665160-21-001117	1	Metai Knights Media Inc	Dele Atanda	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000289	1	PIECEMEAL LLC	Justin Barrett	Owner and Founder
0001746059-21-000288	1	Voghera Apericena, LLC	Marco Albertin	Owner & Founder
0001665160-21-001115	1	GoBQ Grills, Inc.	Todd Zaroban	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001113	1	Battle Approved Motors Inc	Chris James Morgans	CEO, Principal Executive Officer, and Director, Principal Financial Officer and Principal Accounting Officer
0001790181-21-000004	1	Silent as the Grave Movie, LLC	Brad David Podowski	Manager
0001665160-21-001110	1	Todd Thompson	Todd Thompson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001107	1	SkillSoniq, Inc.	Abhinav Verma	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001104	1	COLORS Worldwide Inc.	Jabari Johnson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001809210-21-000003	1	Edify.ai, Inc	Cory J. Linton	Chief Executive Officer
0001665160-21-001102	1	Franny's Manufacturing Inc	Frances Tacy	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000287	1	Your Cuisine Chef LLC	Herbert Mcknight	Owner and CoFounder
0001665160-21-001097	1	Spintura, Inc.	David Chasasen	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000286	1	SELLING SEATTLE-THE SITCOM, LLC	James McGuffin	Owner and Founder
0001788590-21-000001	1	Suitable Inc	Raymond Li	Founder & Chief Executive Officer
0001670254-21-000731	1	AppleSeed Capital, Inc. d/b/a AppleSeed Companies, Inc.	Max W. Hooper	CEO and Managing Director
0001665160-21-001083	1	AEXLAB, Inc.	Jonathan Ovadia	Co-Founder and CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001865457-21-000001	1	Passu, Inc.	Eugene Kim	CEO
0001665160-21-001095	1	AWOL Outdoors, Inc d/b/a Camp365	Kevin McGregor	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001866215-21-000002	1	Prep to Your Door LLC	Faiez Rana	Chief Executive Officer and Co-Founder
0001665160-21-001093	1	Grand Teton Vodka, Inc.	Andrew Bozcar	Chief Executive Officer
0001665160-21-001091	1	Virtual QE	Shawn Findlater	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001087	1	Prime Lightworks Inc.	Kyle Flanagan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001867285-21-000001	1	Hillhouse Coffee & Lounge	Logan Power by Sean Fuellhart POA	Owner
0001665160-21-001085	1	ONE ROQ Spirits LLC	J. Garrett Green	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001081	1	AgWiki, Inc.	Randy P. Krotz	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-000728	1	Calm Company Fund LLC	Tyler Tringas	General Partner and Founder
0001843387-21-000003	1	Irrigreen Inc	Shane Dyer	CEO
0001665160-21-001079	1	Reset IV, Inc.	Daniel Rubenstein	CEO, Principal Executive Officer and Director
0001644600-21-000062	1	Exo-Space Inc.	Jeremy Allam	Chief Executive Officer
0001665160-21-001076	1	MedVector Corp	Scott Stout	Co-Founder and CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001073	1	Verge Inc	Nils Thorjussen	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001074	1	Signature Athletics, Inc.	Dan Soviero	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001071	1	BOXABL INC.	Paolo Tiramani	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001068	1	KapitalWise, Inc.	Sajil Koroth	CEO, Principal Executive Officer, and Director, Principal Financial Officer, and Principal Accounting Officer
0001746059-21-000285	1	Wild Orchid Bakery LLC	Shelly Ann Storer	Owner and Founder
0001665160-21-001065	1	BookSniffer Inc.	Sean Hansen	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000284	1	Malcolm X Brothers, Inc.	Benjamin Hill	President
0001665160-21-001063	1	No-H2O USA Inc	Emmet O'Brien	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001062	1	Kationx Corp.	William J. Cox	CEO & Chairman & Corporate Secretary, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001059	1	Fanbase Social Media, Inc.	Isaac Hayes III	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001839394-21-000006	1	Clocr, Inc.	Apoorva Chintala	CEO, Director
0001665160-21-001057	1	CycleBoard, Inc.	Phillip LaBonty	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001055	1	Honeyfund.com, Inc.	Sara Margulis	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001053	1	Pyrotree Inc.	Christopher Dell'Olio	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001051	1	REMUV Technologies, Inc.	Braden Reiber	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001630105-21-000002	1	Claro Analytics, Inc.	Michael Beygelman	Chief Executive Officer
0001665160-21-001048	1	Whipr, Inc.	Luke Tipple	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001045	1	Everybody Water, Inc.	Megan Hayes	Co-CEO and Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-000628	1	EDSO Inc.	Mr. Terry Marshall	Principal Executive Officer
0001670254-21-000722	1	Ponto LLC	Joseph Marquis	Founder & COO
0001670254-21-000724	1	Mealthy Inc.	Casey Musick	Chief Executive Officer
0001670254-21-000727	1	Brane Incorporated	Paul Carlisle	CEO
0001665160-21-001043	1	Phormed Inc	McCoy Moretz	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-000725	1	Businessonbot Inc	Mohit Kumar	CEO
0001644600-21-000061	1	Exo-Space Inc.	Jeremy Allam	Chief Executive Offier
0001852221-21-000004	1	2XPLR, Inc.	C.R. CELONA	CEO
0001669191-21-000625	1	Orbital Assembly Corporation	John Blincow	Principal Executive Officer
0001669191-21-000622	1	FirstRoot, Inc.	Luke Hohmann	Principal Executive Officer
0001746059-21-000283	1	811 CREPES LLC	Jibran Akhtar	Owner and Founder
0001821201-21-000003	1	Bloomi, Inc.	/s/Rebecca Story	CEO, Director
0001867385-21-000002	1	Pip & Lola's Everything Homemade, LLC	Samantha Story-Camp	President
0001746059-21-000282	1	Blockchain Wine Co	Jeffrey Hansen	CEO
0001746059-21-000281	1	Rule G Brewing Company, LLC	Ralph Rapa	Owner and Founder
0001665160-21-001039	1	ABH Holdco, Inc.	Brandon Perry	CEO, Principal Executive Officer and Director
0001832864-21-000004	1	Zeus Electric Chassis, Inc.	/s/ Wayne Kugel	Chief Executive Officer
0001746059-21-000280	1	Cultured Provisions, LLC	Tyler Steinbrenner	Owner and Founder
0001669191-21-000620	1	Mini City, Inc	India  Hayes	Principal Executive Officer
0001669191-21-000618	1	MAGFAST LLC	Seymour Segnit	Principal Executive Officer
0001665160-21-001037	1	Brakes To Go, Inc.	Randall Huntsinger	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-000616	1	Issuer Pixel, Inc	David Baker	Principal Executive Officer
0001746059-21-000279	1	Coolship.IO, LLC	Benjamin Holmes	Founder
0001746059-21-000278	1	Conjure Collective LLC	Robin Bugge	Owner and CoFounder
0001809210-21-000002	1	Edify.ai, Inc	Cory J. Linton	Chief Executive Officer
0001809210-21-000001	1	Edify.ai, Inc	Cory Linton	Chief Executive Officer
0001791845-21-000002	1	Leafwire, Inc.	Peter Vogel	CEO
0001722969-21-000004	1	Atlis Motor Vehicles Inc	Annie Pratt	President
0001742162-21-000010	1	Consumer Cooperative Group Inc	Tanen Andrews	Founder/CEO
0001839529-21-000005	1	Meadow Simple Living Community Development LLC	Doug Jennings	Principal of the Issuer's Managing Member
0001670254-21-000721	1	Curastory Inc.	Tiffany Kelly	Founder & CEO
0001842021-21-000004	1	Predictiv Care, Inc.	Alex Rochegude	COO
0001821518-21-000003	1	C P Rocketry INC	/s/ Nathan Tahbaz	CEO
0001746059-21-000277	1	Pizza Grace, LLC	Ryan Westover	Owner and Founder
0001665160-21-001036	1	AKA Spirits Inc	Jonathan Davies	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001857726-21-000002	1	Oasis Grocery Direct Inc.	Kirsten Jones	President
0001665160-21-001034	1	Laneaxis, Inc.	Rick Burnett	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001859717-21-000002	1	O'Hara Dev QOZF LLC	Joanna Bartholomew	Manager
0001867385-21-000001	1	Pip & Lola's Everything Homemade, LLC	Samantha Story-Camp	President
0001746059-21-000275	1	Firebrand, LLC	Ryan Macdougall	Owner and Cofounder
0001816536-21-000005	1	IPD Products, Inc.	/s/ Howard Nelson	President
0001746059-21-000274	1	RANGOON RESTAURANT CONCEPTS LLC	Myo Moe	Owner and Founder
0001665160-21-001033	1	Detonation Space Inc.	Umit Yelken	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000273	1	Compass Recovery LLC	Dino Bedinelli	Executive Director
0001850742-21-000002	1	Slate Click, LLC	Kirk Uhler	Chief Executive Officer
0001746059-21-000272	1	Zash Valencia, LLC	Thomas Uehara	CEO
0001859483-21-000002	1	Herbal Daily Inc.	Charles Caliman	Counsel
0001669191-21-000614	1	GenesisAI Corporation	Archil Cheishvili	Principal Executive Officer
0001669191-21-000612	1	Oneva, Inc.	Anita Darden Gardyne	Principal Executive Officer
0001860258-21-000003	1	Skyn by Chi LLC	Chiquita Zachery	President
0001746059-21-000271	1	TACO PORT, LLC	Kimberly Fernandez	Owner and CoFounder
0001669191-21-000610	1	Katch Entertainment Inc.	Andrew   Tight	Principal Executive Officer
0001665160-21-001031	1	Golden Coast Mead, Inc.	Andrew Maffey	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001830365-21-000003	1	VerseBooks Inc.	DELENCE A. SHEARES SR. By Sean Fuellhart POA	Chairman
0001828208-21-000002	1	Dweller Affordable ADU Portfolio, LLC	Patrick Quinton	President of the Manager, Dweller, Inc.
0001834402-21-000006	1	AphriHelios Global LLC	Darin Hickman by Sean Fuellhart POA	CEO
0001665160-21-001030	1	VITAL Card Inc.	Chris Bridges	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001840495-21-000002	1	American Stories Entertainment Inc.	Robert Cefail by Sean Fuellhart POA	President
0001824123-21-000001	1	Sugarfina Corp	Scott LaPorta	Chief Executive Officer
0001865875-21-000001	1	JL Chandler Enterprises, LLC	James Chandler	CEO
0001746059-21-000270	1	Tilton Brothers Brewing, LLC	Joseph Chase	Owner
0001752964-21-000001	1	Axle AI, Inc.	/s/Samuel W. Bogoch	CEO, Director
0001788935-21-000004	1	Green Valley Affiliates INC	/s/ David Schacter	Chief Executive Officer
0001665160-21-001027	1	Skunk Brothers Spirits, Inc.	Scott K. Donoho	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000269	1	Oak'd Addison LLC	Clint Norton	Co-Owner
0001746059-21-000268	1	Duplex Entertainment LLC	DeHaven Barnes	CEO
0001746059-21-000267	1	Tasty Acres Homestead, LLC	Daniel Miller	Owner and Founder
0001845329-21-000005	1	Midgie's Good Cream Inc.	George Haymaker	Founder & CEO
0001852185-21-000006	1	131 Shiloh LLC	Brian Gorder	President
0001852185-21-000005	1	Vegan Soul	Ednamae Gaines	Owner
0001852185-21-000004	1	Harvie Farms Distribution LLC	Simon Huntley	CEO
0001833362-21-000001	1	Hydrogen Group, Inc.	ARMAND DAUPLAISE	FOUNDER AND CEO
0001670254-21-000718	1	Peeridea, Inc.	Weiting Liu	Founder & CEO
0001860436-21-000002	1	Maybe Finance, Inc.	/s/ Joshua Pigford	Chief Executive Officer, President, Secretary and Director
0001797422-21-000003	1	American Provenance II, Inc.	/s/Kyle LaFond	Director, President, Secretary
0001864902-21-000004	1	FB Riverside II GP, LLC	Charles Schaffer	Control Member
0001746059-21-000266	1	Genesis Cafe LLC	Hascall Schaffer II	CEO
0001746059-21-000265	1	Glow Worm Play Cafe, LLC	Kathryn Read	Owner and Founder
0001746059-21-000264	1	Firebrand, LLC	Ryan Macdougall	Owner and CoFounder
0001669191-21-000608	1	Katch Entertainment Inc.	Andrew   Tight	Principal Executive Officer
0001670254-21-000716	1	Sidekik USA, LLC	Eli Dent	President & CEO
