ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001669191-23-000297	2	Dele Atanda	Principal Financial Officer	2023-03-29
0001669191-23-000297	3	Dele Atanda	Principal Accounting Officer	2023-03-29
0001669191-23-000297	4	Dele Atanda	Board Member	2023-03-29
0001669191-23-000297	1	Dele Atanda	Principal Executive Officer	2023-03-29
0001669191-23-000296	2	Albert E. Whale	Principal Financial Officer	2023-03-29
0001669191-23-000296	5	Albert E. Whale	Board Member	2023-03-29
0001669191-23-000296	4	Jonnet Solomon	Board Member	2023-03-29
0001669191-23-000296	3	Albert E. Whale	Principal Accounting Officer	2023-03-29
0001669191-23-000296	1	Albert E. Whale	Principal Executive Officer	2023-03-29
0001971121-23-000001	1	Fiona McPhee	Chief Administrative Officer	2023-03-29
0001669191-23-000291	3	Andreas Inmann	Principal Accounting Officer	2023-03-29
0001669191-23-000291	2	Andreas Inmann	Principal Financial Officer	2023-03-29
0001669191-23-000291	4	Andreas Inmann	Board Member	2023-03-29
0001669191-23-000291	1	Andreas Inmann	Principal Executive Officer	2023-03-29
0001665160-23-000495	2	Collette Canepa	CFO	2023-03-29
0001665160-23-000495	1	Michael Canepa	CEO and Director	2023-03-29
0001665160-23-000494	1	Inoel Miranda	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2023-03-29
0001903596-23-000227	1	Frank I Igwealor	Chief Executive Officer	2023-03-28
0001665160-23-000493	2	Tony P. Smith	Vice President of Sales	2023-03-29
0001665160-23-000493	1	Steven J. Christini	CEO and Board Director	2023-03-29
0001665160-23-000493	3	Michael Christini	Secretary, Treasurer and Board Director	2023-03-29
0001670254-23-000263	1	Harvey L. Poppel	Director	2023-03-28
0001670254-23-000263	2	James Navin	CFO	2023-03-28
0001670254-23-000263	3	Michael D London	CEO	2023-03-28
0001665160-23-000492	1	Andrew Roiniotis	Vice President, Director and Principal Accounting Officer	2023-03-28
0001665160-23-000492	3	Isabelle Roiniotis	President and Director	2023-03-28
0001665160-23-000492	2	Dionisios Trakas	Secretary and Director	2023-03-28
0001670254-23-000261	2	James Sartori	Chairman	2023-03-28
0001670254-23-000261	1	Katherine Burgess	Board Member	2023-03-28
0001895725-23-000002	2	George O'Leary	Manager	2023-03-28
0001895725-23-000002	1	Andrija Cvijovic	Manager	2023-03-28
0001665160-23-000491	2	Steven Sablotsky	Director	2023-03-28
0001670254-23-000261	8	Colleen O'Brien	Co-Founder & CEO	2023-03-24
0001670254-23-000261	7	Pallav M. Vora	Secretary	2023-03-24
0001670254-23-000261	6	Steven Atamian	Chief Strategy Officer	2023-03-24
0001670254-23-000261	5	Steven Nooyen	Vice Chair	2023-03-24
0001670254-23-000261	4	James M Stollberg	Executive Committee	2023-03-24
0001665160-23-000491	1	Mitchell Goldberg	President, Secretary, Treasurer, Director	2023-03-28
0001896757-23-000001	1	Choriny Mbeche	CEO	2023-03-28
0001895725-23-000001	2	George O'Leary	Manager	2023-03-28
0001895725-23-000001	1	Andrija Cvijovic	Manager	2023-03-28
0001670254-23-000261	3	Charles P. Ries	Board Member	2023-03-27
0001665160-23-000489	1	Hans HH Hansen	CEO, Founder	2023-03-28
0001747584-23-000013	1	John Gillie	CEO & President	2023-03-28
0001747584-23-000014	1	Bryan Garcia	Duly Authorized	2023-03-28
0001855022-23-000002	1	Sean Fuellhart	CEO	2023-03-28
0001665160-23-000487	2	John Eric Oberbeck	CMO, Director	2023-03-28
0001665160-23-000487	1	Conrad Oberbeck	CEO	2023-03-28
0001669191-23-000283	4	Marcus Schmitt	Board Member	2023-03-28
0001669191-23-000283	3	Marcus Schmitt	Principal Accounting Officer	2023-03-28
0001669191-23-000283	2	Marcus Schmitt	Principal Financial Officer	2023-03-28
0001669191-23-000283	1	Marcus Schmitt	Principal Executive Officer	2023-03-28
0001669191-23-000282	4	Philip S.  Garza	Board Member	2023-03-28
0001669191-23-000282	3	Philip S.  Garza	Principal Accounting Officer	2023-03-28
0001669191-23-000282	1	Philip S.  Garza	Principal Executive Officer	2023-03-28
0001669191-23-000282	2	Philip S.  Garza	Principal Financial Officer	2023-03-28
0001669191-23-000285	3	Peter  Goodman	Principal Accounting Officer	2023-03-28
0001669191-23-000285	2	Peter  Goodman	Principal Financial Officer	2023-03-28
0001669191-23-000285	1	Peter  Goodman	Principal Executive Officer	2023-03-28
0001669191-23-000285	4	Peter  Goodman	Board Member	2023-03-28
0001669191-23-000284	6	Andrea Mandel Mantello	Board Member	2023-03-28
0001669191-23-000284	5	Luigi Boschin	Board Member	2023-03-28
0001669191-23-000284	4	Bruce  Riezenman	Board Member	2023-03-28
0001669191-23-000284	3	Luigi Boschin	Principal Accounting Officer	2023-03-28
0001669191-23-000284	2	Luigi Boschin	Principal Financial Officer	2023-03-28
0001669191-23-000284	1	Luigi Boschin	Principal Executive Officer	2023-03-28
0001746059-23-000075	1	Kirra Sutton	Owner and Founder	2023-03-28
0001665160-23-000484	2	William Diggins Senior	Chairman	2023-03-28
0001665160-23-000484	1	William Diggins II	CEO	2023-03-28
0001665160-23-000484	3	Matt Jerrild	Chief Financial Officer	2023-03-28
0001665160-23-000484	4	Alex Diggins	CTO	2023-03-28
0001644600-23-000049	1	Richard Chin	CEO and Director	2023-03-28
0001903564-23-000002	1	Connie Wan	President	2023-03-28
0001920988-23-000003	2	Richard Ling	Director	2023-03-28
0001920988-23-000003	1	Deepak Saxena	Chief Technology Officer	2023-03-28
0001665160-23-000483	3	Grant Desmarais	President, Director	2023-03-28
0001665160-23-000483	1	Dieter Canje	CEO, Director	2023-03-28
0001665160-23-000483	2	Renate Canje	Secretary, CFO	2023-03-28
0001920988-23-000002	2	Seung Ro	Director	2023-03-28
0001920988-23-000002	1	Kevin Wong	Director	2023-03-28
0001920988-23-000001	3	Thomas Calichiama	Director	2023-03-28
0001920988-23-000001	2	Mike Jones	Director	2023-03-28
0001920988-23-000001	1	Arthur Menard de Calenge	Director	2023-03-28
0001665160-23-000482	1	Kevin F McGregor	CEO, Principal Executive Officer, and Director	2023-03-28
0001665160-23-000482	2	Ronald S Leander	CFO	2023-03-28
0001665160-23-000481	1	Jan Roger Goetgeluk	CEO and Director	2023-03-28
0001665160-23-000481	3	Michael Bradley McGovern	Director	2023-03-28
0001665160-23-000481	2	David Robert Malcolm Allan	President, COO and Director	2023-03-28
0001962835-23-000002	1	Michael Calderone	Founder & CEO	2023-03-28
0001376474-23-000174	1			
0001969105-23-000002	1	Thomas Montiel	CEO	2023-03-28
0001969105-23-000001	1	Bacary Diatta	CEO	2023-03-28
0001746059-23-000074	1	Christina Brogan	Owner and Founder	2023-03-27
0001746059-23-000073	1	Christopher Becker	Managing Member	2023-03-27
0001870462-23-000002	1	Jamison Manwaring	Manager of the Manager, Neighborhood Management, LLC	2023-03-27
0001870462-23-000001	1	Jamison Manwaring	Manager of the Manager, Neighborhood Management, LLC	2023-03-27
0001970305-23-000001	1	Joslyn Keating	President	2023-03-27
0001665160-23-000480	2	Thomas Loveland	Director	2023-03-27
0001665160-23-000480	1	William Bandy	Director	2023-03-27
0001665160-23-000480	3	William Readdy	Director	2023-03-27
0001665160-23-000477	1	Bryant George Cruse	CEO, Chairman of the Board	2023-03-27
0001665160-23-000477	2	William Robert Bandy	Board Member	2023-03-27
0001665160-23-000477	3	Thomas William Loveland	Board Member	2023-03-27
0001644600-23-000046	3	Albert Hofmann	Chief Technology Officer and Director	2023-03-27
0001644600-23-000046	2	Philip Longhurst	President and Director	2023-03-27
0001644600-23-000046	1	Christopher Williams	Chief Executive Officer and Director	2023-03-27
0001665160-23-000475	7	Andrew Wolverton	CFO	2023-03-27
0001665160-23-000475	2	Donald Bunnell	Board Director	2023-03-27
0001665160-23-000475	1	Peter Orser	Board Chair	2023-03-27
0001665160-23-000475	3	Aaron Fairchild	Co-CEO and Board Director	2023-03-27
0001665160-23-000475	6	Susan Fairchild	CMO	2023-03-27
0001665160-23-000475	5	Samuel Lai	CDO and Board Director	2023-03-27
0001665160-23-000475	4	Bec Wilder	Co-CEO and Board Director	2023-03-27
0001665160-23-000474	2	Jeffrey Kanof	Director	2023-03-27
0001665160-23-000474	1	Jason Parker	CEO, President, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2023-03-27
0001665160-23-000472	1	Eric Hudson	CEO, President, Treasurer, Clerk, Director	2023-03-27
0001665160-23-000472	3	Anubhav Goel	Director	2023-03-27
0001665160-23-000472	2	John Lively	COO, Principal Accounting Officer	2023-03-27
0001963562-23-000001	1	Christopher Salerno	CEO	2023-03-27
0001376474-23-000168	1			
0001963576-23-000001	1	Landon Creer	Director	2023-03-27
0001963576-23-000001	2	Michael Watterson	Director	2023-03-27
0001965030-23-000004	1	Anton Glotser	Chief Executive Officer	2023-03-24
0001670254-23-000258	2	Travis Adams	President and Cofounder	2023-03-24
0001954783-23-000001	1	Greg Tucker	Chief Executive Officer	2023-03-24
0001670254-23-000258	3	Mark Timm	Board member	2023-03-23
0001670254-23-000258	1	Scott Donnell	Founder	2023-03-24
0001670254-23-000260	1	James Goulding	Founder & CEO	2023-03-23
0001670254-23-000258	4	Justin Dearborn	CEO	2023-03-23
0001746059-23-000072	1	Justin Gaspar	Managing Partner	2023-03-24
0001670254-23-000256	2	Adam Quirk	CEO	2023-03-23
0001670254-23-000256	1	Jeff Wuslich	President	2023-03-23
0001747584-23-000012	1	Bryan Garcia	Duly Authorized	2023-03-24
0001746059-23-000071	1	David Goodell	Owner and CEO	2023-03-24
0001669191-23-000277	5	Scott Timmons	Board Member	2023-03-24
0001669191-23-000277	6	Neil Epstein	Board Member	2023-03-24
0001669191-23-000277	4	Mary Gassler	Board Member	2023-03-24
0001669191-23-000277	3	Neil Epstein	Principal Accounting Officer	2023-03-24
0001669191-23-000277	1	Neil Epstein	Principal Executive Officer	2023-03-24
0001669191-23-000277	2	Neil Epstein	Principal Financial Officer	2023-03-24
0001915356-23-000002	1	Arthur Colker	Director	2023-03-24
0001683168-23-001742	1	/s/ H. Matthew Chambers	CEO/President	2023-03-24
0001915356-23-000001	1	Arthur Colker	Director	2023-03-24
0001887215-23-000002	1	Travis Lee	Manager of the Manager, TLee Development, LLC	2023-03-24
0001887215-23-000001	1	Travis Less	Manager of the Manager, TLee Development, LLC	2023-03-24
0001746271-23-000004	1	Brendan Burns	Manager	2023-03-24
0001538123-23-000002	1	Larry Williams	Secretary, Treasurer, President	2023-03-24
0001665160-23-000468	1	Andrew Roiniotis	Vice President	2023-03-24
0001665160-23-000468	2	Isabelle Roiniotis	President, Director	2023-03-24
0001665160-23-000468	3	Dionisios Trakas	Secretary, Director	2023-03-24
0001665160-23-000467	1	David Mitlyng	CEO, Principal Accounting Officer, and Director	2023-03-24
0001954274-23-000001	2	Om Prakash Shanmugam	Director	2023-03-23
0001954274-23-000001	1	Nitesh Agrawal	Director	2023-03-23
0001746059-23-000070	1	Debra Cohen	Owner and CoFounder	2023-03-23
0001665160-23-000466	3	Jonathan Reynolds	Director	2023-03-23
0001665160-23-000466	4	Preston Callicott	Director	2023-03-23
0001665160-23-000466	1	Peter Crawford	CEO, Secretary, and Director	2023-03-23
0001665160-23-000466	2	Elizabeth May	CFO and Treasurer	2023-03-23
0001508594-23-000003	1	David Tobias	Chief Operating Officer	2023-03-23
0001821982-23-000005	1	Jason Johnson	Managing Member	2023-03-23
0001932704-23-000002	1	/s/ STEELE WASIK	CEO	2023-03-23
0001932704-23-000002	2	/s/ JONATHAN ROCKLEN	DIRECTOR OF SUPPLY CHAIN	2023-03-23
0001665160-23-000465	1	Justin Harrison	CEO, Founder	2023-03-23
0001665160-23-000465	3	Craig Garcia	CTO, CIO	2023-03-23
0001665160-23-000465	2	Liane Adkins	CFO, COO	2023-03-23
0001665160-23-000464	1	William C. Fox	President, CEO, CTO, and Director	2023-03-23
0001665160-23-000464	2	Jamie Grooms	Director	2023-03-23
0001665160-23-000464	3	Walter Simmons, III	Director	2023-03-23
0001958996-23-000001	2	James Hirsch	Chief Operating Officer	2023-03-23
0001958996-23-000001	1	Victoria O'Connell	Director	2023-03-23
0001665160-23-000463	1	Udi Meirav	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2023-03-23
0001665160-23-000462	1	Adrianna Davies	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2023-03-23
0001665160-23-000462	2	Wesley D. Blakeslee	Board of Director	2023-03-23
0001665160-23-000461	3	Irene Ann Waldridge	CTO and Director	2023-03-23
0001665160-23-000461	2	Toni May Hastings	VP of Administration and Principal Accounting Officer	2023-03-23
0001665160-23-000461	1	John Foster Dinusson	CEO and Director	2023-03-23
0001670254-23-000254	2	Rebekah Jasso Jensen	Founder & Visionary	2023-03-20
0001670254-23-000254	1	Espen Jensen	CFO	2023-03-20
0001942453-23-000001	1	Andrew Shaker	CEO	2023-03-23
0001665160-23-000459	2	Thomas Gerson	CFO	2023-03-23
0001665160-23-000459	1	Alauddin Bhuiyan	CEO, Chief Scientist, Sole Director	2023-03-23
0001669191-23-000274	4	Dele Atanda	Board Member	2023-03-23
0001669191-23-000274	2	Dele Atanda	Principal Financial Officer	2023-03-23
0001669191-23-000274	3	Dele Atanda	Principal Accounting Officer	2023-03-23
0001669191-23-000274	1	Dele Atanda	Principal Executive Officer	2023-03-23
0001954278-23-000002	2	Sara Romanoski	Director	2023-03-23
0001954278-23-000002	1	Michael Sofaer	Director	2023-03-23
0001665160-23-000457	3	Siranush Karoi	CMO and Director	2023-03-23
0001665160-23-000457	2	Avetik Bidzian	CTO and Director	2023-03-23
0001665160-23-000457	1	Eugene Arutyunyan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2023-03-23
0001670254-23-000252	1	MIchael Sokol	Executive Producer	2023-03-21
0001670254-23-000252	2	Donald MacLaughlin	Writer / Director / Executive Producer	2023-03-21
0001956568-23-000003	1	Kelley Costa	CEO	2023-03-23
0001956568-23-000002	1	Trevor Vaughan	CEO	2023-03-23
0001970241-23-000002	1	Christopher Law	President	2023-03-22
0001794222-23-000002	3	Richard Ingrassia	Director	2023-03-22
0001794222-23-000002	2	Ryan Armstrong	Director	2023-03-22
0001794222-23-000002	1	Scott Armstrong	Director	2023-03-22
0001914364-23-000001	1	Tobi Smith	CEO/Founder	2023-03-22
0001970241-23-000001	1	Geoff Kober	Managing Member	2023-03-22
0001943286-23-000004	2	Shawn Baker	Director	2023-03-22
0001943286-23-000004	1	Mahsa Rostami	Director	2023-03-22
0001943286-23-000003	2	Shawn Baker	Director	2023-03-22
0001943286-23-000003	1	Mahsa Rostami	Director	2023-03-22
0001669191-23-000271	4	Luis  Rios	Board Member	2023-03-22
0001669191-23-000271	3	Luis  Rios	Principal Accounting Officer	2023-03-22
0001669191-23-000271	5	Stefano Gulbalis	Board Member	2023-03-22
0001669191-23-000271	2	Efrain Rodriguez	Principal Financial Officer	2023-03-22
0001669191-23-000271	7	Raul Documet	Board Member	2023-03-22
0001669191-23-000271	6	Renatto Garro	Board Member	2023-03-22
0001669191-23-000271	1	Luis  Rios	Principal Executive Officer	2023-03-22
0001669191-23-000270	3	Jason Payne	Principal Accounting Officer	2023-03-22
0001669191-23-000270	4	Alexander Shneider	Board Member	2023-03-22
0001669191-23-000270	5	Robert Devlin	Board Member	2023-03-22
0001669191-23-000270	1	Robert Devlin	Principal Executive Officer	2023-03-22
0001669191-23-000270	2	Jason Payne	Principal Financial Officer	2023-03-22
0001185185-23-000243	1	Giorgi Khazaradze	CEO	2023-03-22
0001943286-23-000002	3	Rob Go	Director	2023-03-22
0001943286-23-000002	2	Aaron Wolk	Director	2023-03-22
0001943286-23-000002	1	Tomas Froes	Director	2023-03-22
0001903596-23-000211	1	/s/ Adam Matruski	President and Chief Executive Officer	2023-03-22
0001781955-23-000004	1	Ben White	Founder and CEO	2023-03-22
0001665160-23-000456	1	Arthur Lee Moye III	CEO and Managing Member	2023-03-22
0001864861-23-000002	2	Jared Go	Director	2023-03-22
0001864861-23-000002	1	Thuc Vu	Director	2023-03-22
0001969703-23-000001	1	Steven J. Beaman	Chief Executive Officer	2023-03-22
0001746059-23-000069	1	Mary Molina	Owner and President	2023-03-22
0001945889-23-000001	1	Annelise Hillmann	Director	2023-03-22
0001945889-23-000001	2	Nicholas Bunn	Director	2023-03-22
0001665160-23-000454	1	Shibashis (Shiba) Bhowmik	President and CEO	2023-03-21
0001477932-23-001661	1	/s/ Jacob Salk	President & CEO	2023-03-21
0001665160-23-000452	2	Zach Zeller	President, Secretary, Director	2023-03-22
0001665160-23-000452	3	John Kasper	Director	2023-03-22
0001665160-23-000452	1	Mark McCormick	CEO, Treasurer, Director	2023-03-22
0001942207-23-000003	1	Brinda Devine	Manager	2023-03-22
0001942207-23-000002	1	Brinda Devine	Manager	2023-03-22
0001942207-23-000001	1	Jamison Manwaring	Manager of the Manager, Neighborhood Management, LLC	2023-03-22
0001967437-23-000002	1	Devin Thorpe	CEO	2023-03-22
0001968221-23-000001	1	Michael Grieve	CEO	2023-03-22
0001967859-23-000001	1	Michael Grieve	CEO	2023-03-22
0001918617-23-000003	1	DawnMarin Dell	By Power of Atorney from Medfire CEO Gregory Christmas	2023-03-21
0001665160-23-000450	1	Onyewuchi J. Osuji	CEO and Director	2023-03-21
0001665160-23-000450	2	Oluwafemi L. Masha	COO, principal accounting officer, and Director	2023-03-21
0001669191-23-000267	3	Leonard S.   Johnson Ph.D. student	Principal Accounting Officer	2023-03-21
0001669191-23-000267	2	Leonard S.   Johnson Ph.D. student	Principal Financial Officer	2023-03-21
0001669191-23-000267	5	Dr. Alexander  Nawrocki Ph.D.	Board Member	2023-03-21
0001669191-23-000267	4	Leonard S.   Johnson Ph.D. student	Board Member	2023-03-21
0001669191-23-000267	1	Leonard S.   Johnson Ph.D. student	Principal Executive Officer	2023-03-21
0001665160-23-000448	2	Michael Garcia	Director	2023-03-21
0001665160-23-000448	1	James Papagno	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2023-03-21
0001665160-23-000448	3	Miriam Gilmore	Secretary, Board Member	2023-03-21
0001185185-23-000236	1	Rhonda Stevenson	Principal Executive Officer	2023-03-20
0001185185-23-000236	2	Timothy Alatorre	Principal Financial Officer	2023-03-20
0001956784-23-000001	1	Treyvon Perry	CEO	2023-03-20
0001956784-23-000001	2	Sebin Joseph	CTO	2023-03-20
0001794805-23-000003	1	Kendrick Nguyen	CEO of OpenDeal Inc., the Manager of Republic Core LLC	2023-03-20
0001943902-23-000001	1	Carl E Palme	CEO	2023-03-20
0001665160-23-000447	1	Michael DeVerna	CEO, principal accounting officer, and Director	2023-03-20
0001665160-23-000446	1	Isaac Hayes III	CEO, President, Secretary, Treasurer, Director	2023-03-20
0001665160-23-000444	1	Benjamin Daniel Mogul	CEO, President, Secretary, principal accounting officer, and Director	2023-03-20
0001665160-23-000443	1	Arnold Leitner	CEO, Director	2023-03-20
0001665160-23-000443	2	Bob Rutter	Director	2023-03-20
0001644600-23-000044	3	Michael Bradley McGovern	Director	2023-03-20
0001644600-23-000044	1	Jan Roger Goetgeluk	CEO and Director	2023-03-20
0001644600-23-000044	2	David Robert Malcolm Allan	President, COO and Director	2023-03-20
0001669191-23-000265	1	Yuan Wang	Principal Executive Officer	2023-03-20
0001669191-23-000265	2	Yuan Wang	Principal Financial Officer	2023-03-20
0001669191-23-000265	3	Yuan Wang	Principal Accounting Officer	2023-03-20
0001669191-23-000265	4	Yuan Wang	Board Member	2023-03-20
0001669191-23-000265	6	Liang  Chang	Board Member	2023-03-20
0001669191-23-000265	5	Xiangwu Zhang	Board Member	2023-03-20
