ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001670254-23-000267	1	Skr, Inc.	Breanne Acio	CEO
0001936096-23-000001	1	Chewbox Inc.	Kim Gaston	Founder
0001951952-23-000002	1	Easy Expense Tracker Inc	Elijah Bucher	Chief Executive Officer
0001665160-23-000497	1	FibroBiologics, Inc.	Peter O'Heeron	President, CEO and Chairman of the Board
0001966532-23-000001	1	Stronger Faster Boulder Co.	Phil Dumontet	President
0001099910-23-000050	1	Metallum3D, Inc.	Nelson Zambrana	CEO
0001669191-23-000298	1	Recovering Bro Inc.	Dusten Nelson	Principal Executive Officer
0001669191-23-000297	1	Metaiye Media Inc	Dele Atanda	Principal Executive Officer
0001669191-23-000296	1	IT Security Solutions, Inc.	Albert E. Whale	Principal Executive Officer
0001971121-23-000001	1	True Blue Bakery LLC	Fiona McPhee	Chief Administrative Officer
0001669191-23-000291	1	LUCYDX LLC	Andreas Inmann	Principal Executive Officer
0001665160-23-000495	1	Kidskin Inc.	Michael Canepa	CEO and Director
0001665160-23-000494	1	Mighty Heights, Inc.	Inoel Miranda	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001903596-23-000227	1	IL2M INTERNATIONAL CORP.	Frank I Igwealor	Chief Executive Officer
0001665160-23-000493	1	Christini EV, Inc.	Steven J. Christini	CEO and Board Director
0001670254-23-000263	1	Bow Wow Labs, Inc	Michael D London	CEO
0001665160-23-000492	1	Bella Rio Consulting, Inc.	Andrew Roiniotis	Vice President, Director and Principal Accounting Officer
0001895725-23-000001	1	Referrizer, LLC	Andrija Cvijovic	Chief Executive Officer
0001896757-23-000001	1	Halen Technologies Inc.	Choriny Mbeche	CEO
0001665160-23-000491	1	Ortek Therapeutics, Inc.	Mitchell Goldberg	President, Secretary, Treasurer, Director
0001895725-23-000002	1	Referrizer, LLC	Andrija Cvijovic	Chief Executive Officer
0001665160-23-000489	1	Brand3D, Inc	Hans HH Hansen	CEO, Founder
0001747584-23-000013	1	Green Island EV Corp.	John Gillie	CEO & President
0001670254-23-000261	1	Eskala, Inc.	Colleen O'Brien	Co-Founder & CEO
0001747584-23-000014	1	CGB Green Liberty Notes LLC	Bryan Garcia	Duly Authorized
0001855022-23-000002	1	CAPITALIS GROUP, INC	Sean Fuellhart	CEO
0001665160-23-000487	1	Hang Obi Inc.	Conrad Oberbeck	CEO
0001669191-23-000283	1	COPYTRACK Technologies Inc.	Marcus Schmitt	Principal Executive Officer
0001669191-23-000282	1	Hospy Inc.	Philip S.  Garza	Principal Executive Officer
0001669191-23-000285	1	Kazoo LLC	Peter  Goodman	Principal Executive Officer
0001669191-23-000284	1	LiquidVineyards LLC	Luigi Boschin	Principal Executive Officer
0001746059-23-000075	1	Hattie's Coffee House, LLC	Kirra Sutton	Owner and Founder
0001665160-23-000484	1	Nimbus Engineering Inc.	William Diggins II	CEO
0001644600-23-000049	1	AdoraPet Biosciences, Inc.	Richard Chin	CEO and Director
0001903564-23-000002	1	Seattle Gummy Co	Connie Wan	President
0001920988-23-000003	1	Lexi Devices, Inc.	Scott Cahill	Chief Executive Officer
0001665160-23-000483	1	MySky ECO, Inc.	Dieter Canje	CEO, Director
0001920988-23-000002	1	Lunar Brands, Inc.	Kevin Wong	Chief Executive Officer
0001920988-23-000001	1	Faraday Labs Inc	Arthur Menard de Calenge	Chief Executive Officer
0001665160-23-000482	1	AWOL OUTDOORS, INC.	Kevin F McGregor	CEO, Principal Executive Officer, and Director
0001665160-23-000481	1	Virtuix Holdings Inc.	Jan Roger Goetgeluk	CEO and Director
0001962835-23-000002	1	Exceed Equine, Inc.	Michael Calderone	Founder & CEO
0001376474-23-000174	1			
0001969105-23-000002	1	Montiel Farms LLC	Thomas Montiel	CEO
0001969105-23-000001	1	Kassumay LLC	Bacary Diatta	CEO
0001746059-23-000074	1	Cactus Blossom Cantina, LLC	Christina Brogan	Owner and Founder
0001746059-23-000073	1	Honeybee Collective LLC	Christopher Becker	Managing Member
0001870462-23-000002	1	Venture on Country Club, LLC	Jamison Manwaring	Manager of the Manager, Neighborhood Management, LLC
0001870462-23-000001	1	Venture on Country Club, LLC	Jamison Manwaring	Manager of the Manager, Neighborhood Management, LLC
0001970305-23-000001	1	Cake Hoopla, LLC	Joslyn Keating	President
0001665160-23-000480	1	New Sapience, Inc.	Bryant Cruse	CEO, Chairman of the Board
0001665160-23-000477	1	New Sapience, Inc.	Bryant George Cruse	CEO, Chairman of the Board
0001644600-23-000046	1	DeepBlue Innovations Corp	Christopher Williams	Chief Executive Officer
0001665160-23-000475	1	Green Canopy NODE, SCP	Bec Wilder	Co-CEO and Board Director
0001665160-23-000474	1	Big Derby Distilling Company	Jason Parker	CEO, President, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-23-000472	1	Recycline, Inc.	Eric Hudson	CEO, President, Treasurer, Clerk, Director
0001963562-23-000001	1	Verdir Managers LLC	Christopher Salerno	CEO
0001376474-23-000168	1			
0001963576-23-000001	1	Afterparty Development Inc	Landon Creer	Chief Executive Officer
0001670254-23-000260	1	Momentor Corporation	James Goulding	Founder & CEO
0001670254-23-000258	1	GravyStack, Inc.	Justin Dearborn	CEO
0001965030-23-000004	1	DELNORTE HOLDINGS INC	Anton Glotser	Chief Executive Officer
0001954783-23-000001	1	Spartan Bitcoin Mining	Greg Tucker	Chief Executive Officer
0001746059-23-000072	1	Hommage Bakehouse LLC	Justin Gaspar	Managing Partner
0001670254-23-000256	1	Cardinal Spirits LLC	Adam Quirk	CEO
0001747584-23-000012	1	CGB Green Liberty Notes LLC	Bryan Garcia	Duly Authorized
0001746059-23-000071	1	DEBELLATION BREWING CO.	David Goodell	Owner and CEO
0001669191-23-000277	1	OMNIPAD, INC.	Neil Epstein	Principal Executive Officer
0001915356-23-000002	1	StayFi Inc	Arthur Colker	Chief Executive Officer
0001683168-23-001742	1	Curtiss Motorcycle Company, Inc.	/s/ H. Matthew Chambers	CEO/President
0001915356-23-000001	1	StayFi Inc	Arthur Colker	Chief Executive Officer
0001887215-23-000002	1	1463 Dot Ave MM LLC	Travis Lee	Manager of the Manager, TLee Development, LLC
0001887215-23-000001	1	1463 Dot Ave MM LLC	Travis Less	Manager of the Manager, TLee Development, LLC
0001746271-23-000004	1	Stepstone Art Resources, LLC	Brendan Burns	Chief Executive Officer
0001538123-23-000002	1	IFAN FINANCIAL, INC	Larry Williams	President
0001665160-23-000468	1	BELLA RIO CONSULTING, INC.	Andrew Roiniotis	Vice President
0001665160-23-000467	1	Xairos Systems, Inc.	David Mitlyng	CEO, Principal Accounting Officer, and Director
0001746059-23-000070	1	Dabrie Holdings, LLC	Debra Cohen	Owner and CoFounder
0001954274-23-000001	1	Lets Dive Inc.	Nitesh Agrawal	Chief Executive Officer
0001665160-23-000466	1	CANNECHT, INC.	Peter Crawford	CEO, Secretary, and Director
0001508594-23-000003	1	THC Farmaceuticals, Inc.	David Tobias	Chairman of the Board of Directors
0001821982-23-000005	1	J. Johnson & Company, LLC	Jason Johnson	Managing Member
0001932704-23-000002	1	EV Solar Kits LLC	/s/ STEELE WASIK	CEO
0001665160-23-000465	1	YOV, Inc.	Justin Harrison	CEO, Founder
0001665160-23-000464	1	Metric Medical Devices, Inc.	William C. Fox	President, CEO, CTO, and Director
0001958996-23-000001	1	Golightly, Inc.	Victoria O'Connell	Chief Executive Officer
0001665160-23-000463	1	Calibre Biometrics Inc.	Udi Meirav	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-23-000462	1	STRANDSMART INC	Adrianna Davies	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-23-000461	1	Eva Medtec, Inc	John Foster Dinusson	CEO and Director
0001670254-23-000254	1	AmeriNor, LLC	Rebekah Jasso Jensen	Founder & Visionary
0001942453-23-000001	1	Phone2 Inc.	Andrew Shaker	CEO
0001665160-23-000459	1	iHealthScreen, Inc.	Alauddin Bhuiyan	CEO, Chief Scientist, Sole Director
0001669191-23-000274	1	Metaiye Media Inc	Dele Atanda	Principal Executive Officer
0001954278-23-000002	1	Pylons Inc.	Michael Sofaer	Chief Executive Officer
0001665160-23-000457	1	AEV Charging, Inc	Eugene Arutyunyan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-23-000252	1	We're So Dead Movie LLC	Donald MacLaughlin	Writer / Director / Executive Producer
0001956568-23-000003	1	Churn on Harts Run Road LLC	Kelley Costa	CEO
0001956568-23-000002	1	Corinne's Place Holdings LLC	Trevor Vaughan	CEO
0001970241-23-000002	1	Spitz MN	Christopher Law	President
0001794222-23-000002	1	New World Savings, Inc.	Scott Armstrong	Chief Executive Officer
0001970241-23-000001	1	Young Kobras LLC	Geoff Kober	Managing Member
0001914364-23-000001	1	Adun Inc	Tobi Smith	CEO/Founder
0001943286-23-000004	1	Revero Inc	Mahsa Rostami	Chief Executive Officer
0001943286-23-000003	1	Revero Inc	Mahsa Rostami	Chief Executive Officer
0001669191-23-000271	1	Nebulai Corp	Luis  Rios	Principal Executive Officer
0001669191-23-000270	1	CureLab Veterinary Inc.	Robert Devlin	Principal Executive Officer
0001185185-23-000243	1	Aurox Holdings Inc.	Giorgi Khazaradze	CEO
0001943286-23-000002	1	Kencko Foods, Inc.	Tomas Froes	Chief Executive Officer
0001903596-23-000211	1	Nano Mobile Healthcare, Inc.	/s/ Adam Matruski	President and Chief Executive Officer
0001781955-23-000004	1	Dome Audio Inc.	Ben White	Founder and CEO
0001665160-23-000456	1	Full Circle Brewing Co. Ltd., LLC	Arthur Lee Moye III	CEO and Managing Member
0001864861-23-000002	1	OhmniLabs, Inc.	Thuc Vu	Chief Executive Officer
0001969703-23-000001	1	Elevare Technologies, Inc.	Steven J. Beaman	Chief Executive Officer
0001746059-23-000069	1	Lola Granola Bar	Mary Molina	Owner and President
0001945889-23-000001	1	FRONTMAN Inc.	Annelise Hillmann	Chief Executive Officer
0001665160-23-000454	1	SineWatts, Inc.	Shibashis (Shiba) Bhowmik	President and CEO
0001477932-23-001661	1	Next Dynamics, Inc.	/s/ Jacob Salk	President & CEO
0001665160-23-000452	1	ScriptCo Inc.	Mark McCormick	CEO, Treasurer, Director
0001942207-23-000003	1	Purpose8 Real Estate, LLC	Brinda Devine	Manager
0001942207-23-000002	1	Purpose8 Real Estate, LLC	Brinda Devine	Manager
0001942207-23-000001	1	Venture on 12th Place, LLC	Jamison Manwaring	Manager of the Manager, Neighborhood Management, LLC
0001967437-23-000002	1	Super Crowd, Inc.	Devin Thorpe	CEO
0001968221-23-000001	1	Rockfish Collective, LLC	Michael Grieve	CEO
0001967859-23-000001	1	Rockfish Collective, LLC	Michael Grieve	CEO
0001918617-23-000003	1	MedFire Innovations Inc.	DawnMarin Dell	By Power of Attorney from Medfire CEO Gregory Christmas
0001665160-23-000450	1	Eventnoire, Inc	Onyewuchi J. Osuji	CEO and Director
0001669191-23-000267	1	Artificial Intelligence Economic Development Corporation	Leonard S.   Johnson Ph.D. student	Principal Executive Officer
0001665160-23-000448	1	Bombarda Rum USA, Inc.	James Papagno	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001185185-23-000236	1	Above: Space Development Corp	Rhonda Stevenson	Principal Executive Officer
0001956784-23-000001	1	Von Perry, Inc	Treyvon Perry	CEO
0001943902-23-000001	1	Boundless Robotics Inc.	Carl E Palme	CEO
0001794805-23-000003	1	Republic Core LLC	Jonathan Knipper	Principle Executive Officer and Principle Accounting Officer
0001665160-23-000447	1	Macrofit, Inc.	Michael DeVerna	CEO, principal accounting officer, and Director
0001665160-23-000446	1	Fanbase Social Media, Inc.	Isaac Hayes III	CEO, President, Secretary, Treasurer, Director
0001665160-23-000444	1	Cann-Ade Corp	Benjamin Daniel Mogul	CEO, President, Secretary, principal accounting officer, and Director
0001665160-23-000443	1	YouSolar, Inc.	Arnold Leitner	CEO, Director
0001644600-23-000044	1	Virtuix Holdings Inc.	Jan Roger Goetgeluk	CEO and Director
0001669191-23-000265	1	Solib Solutions LLC	Yuan Wang	Principal Executive Officer
0001669191-23-000264	1	EFIS Products, Inc.	Nikita Ryjih	Principal Executive Officer
0001669191-23-000263	1	FanShark, Inc.	John  Lavin	Principal Executive Officer
0001669191-23-000262	1	Blockchain Laboratories, Inc.	Boone Bergsma	Principal Executive Officer
0001185185-23-000232	1	Above: Space Development Corp	Rhonda Stevenson	Principal Executive Officer
0001669191-23-000261	1	Above & Beyond Studios, Inc.	Aman Stuppard	Principal Executive Officer
0001952562-23-000001	1	Fierce Technology, Inc.	Robert Cornish	Chief Executive Officer
0001855384-23-000004	1	Mobile Medical Doctors Holding Company, Inc.	Jason Louis Carmichael	Chief Executive Officer
0001665160-23-000441	1	Capsaicin Holdings, Inc.	David Larson	CEO, Director, Treasurer, and Principal Accounting Officer
0001665160-23-000440	1	PittMoss LLC	Brian Scott	President, CEO, Director
0001665160-23-000438	1	TransSiP, Inc.	Desmond Wong	CEO and Chairman of the Board
0001665160-23-000437	1	AtomBeam Technologies Inc.	Charles Yeomans	CEO, Director
0001969045-23-000002	1	MISE LLC	Erik Hernandez	CEO
0001669191-23-000255	1	HiveSkill LLC	Sophia Becker	Principal Executive Officer
0001670254-23-000248	1	Prolific Brewing Company, LLC	Evan Kadow	Co-Founder / Chief Brewing Officer
0001670254-23-000247	1	Zero Cheating, Inc	Neil Parsont	CEO
0001670254-23-000249	1	Qnetic Corporation	Michael Pratt	Founder, CEO
0001670254-23-000250	1	Recompose, PBC	Katrina Spade	Founder and CEO
0001967939-23-000002	1	Het Say LLC	DuyAn Le	CEO
0001665160-23-000433	1	Alpha Motor Corporation	Edward Lee	Founder, Chairman, and CEO
0001665160-23-000432	1	Foresyte, Inc	Stephen Eddy	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-23-000430	1	Earth Merchant, Inc	Gina Engel	CEO, Director
0001941873-23-000001	1	Marketplace Austin LLC	/s/ Anita Erickson	Manager
0001185185-23-000227	1	Above: Space Development Corp	Rhonda Stevenson	Principal Executive Officer
0001967435-23-000001	1	Revival Rugs Inc	Benjamin L. Hyman	Chief Executive Officer and Director
0001911375-23-000004	1	Destiny Robotics Corp	Megi Kavtaradze	CEO
0001665160-23-000426	1	Heart Centered Strategies Corp.	Julia Harrison	CEO, principal accounting officer, and Director
0001962564-23-000003	1	Montiel Farms LLC	Thomas Montiel	CEO
0001962564-23-000002	1	JMSC, LLC	Mariah McLead	COO
0001670254-23-000245	1	The Bloomi, Inc.	Rebecca Alvarez Story	Co-Founder and CEO
0001670254-23-000243	1	Boss Tech, LLC	Felicite Moorman	CEO
0001944126-23-000001	1	STERLING RHINO CAPITAL EQUITY MULTIPLE CF FUND I LLC	Paul Wilcox	Manager
0001669191-23-000252	1	Lightning Motors Corporation	Richard Hatfield	Principal Executive Officer
0001665160-23-000424	1	Refactor Games Inc.	Nathan Burba	Co-Founder and CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-23-000423	1	Organiccandyfactory.com, Inc.	Piper Cochrane	CEO
0001669191-23-000249	1	ThermaSat, Inc.	Troy Howe	Principal Executive Officer
0001911375-23-000001	1	Destiny Robotics Corporation	Megi Kavtaradze	CEO (Director, Secretary, Officer)
0001433654-23-000004	1	Promithian Global Ventures, Inc.	Philip J. Wheelton	President & Chairman
0001213900-23-020528	1	Jorge Aldecoa	/s/ Jorge Aldecoa	Chief Executive Officer
0001665160-23-000422	1	Invisacook Inc	Curtis Ceballos	President/CEO
0001665160-23-000421	1	Heavenly Hawaiian, Ltd.	Willam C. Myers	CEO
0001665160-23-000419	1	Psyonic, Inc.	Aadeel Akhtar	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-23-000417	1	VirZOOM, Inc.	Eric Janzen	Co-founder, CEO and Principal Accounting Officer
0001956480-23-000003	1	McAndrews Restaurants Inc	Deb Driggers	Co-Owner
0001956480-23-000002	1	Moy Bien, LLC	Jasmin-Ayana Moy	CEO
0001967862-23-000001	1	Independent Event Creatives, LLC	Matthew Gutierrez	Managing Member
0001687465-23-000002	1	Tampon Tribe, Inc.	Jennifer Eden	CEO
0001670254-23-000240	1	Tradefox, Inc.	Chris Yerbey	Founder & CEO
0001670254-23-000238	1	Derisk Holdings Inc.	Agni Bhattacharya	CEO & Co-founder
0001969045-23-000001	1	MISE LLC	Erik Hernandez	CEO
0001062993-23-006969	1	Carry Golf Club LLC	/s/ Donald Dotson	Manager
0001748775-23-000002	1	Cafe X Technologies, Inc.	Henry Hu	Chief Executive Officer
0001747584-23-000011	1	Kilowatts For A Cause Inc	Scott Ringlein	President
0001665160-23-000414	1	iMetabolic Biopharma Corp	Urban Austin Kiernan	Chairman, President, Treasurer and Principle Financial Officer
0001746059-23-000068	1	Dazed Brewing, LLC	Joshua Breault	Owner and Founder
0001925864-23-000001	1	Dteckt, Inc.	Matthew DeVico	Founder & CEO
0001555127-23-000001	1	IX Power Clean Water, Inc.	John R. (Grizz) Deal	CEO, Principal Executive Officer and Director
0001805056-23-000001	1	NanoVMs, Inc.	Ian Eyberg	CEO & Director
0001747584-23-000010	1	NhSolarGarden.com LLC	Andrew Kellar	Member/Manager
0001062993-23-006886	1	Carry Golf Club LLC	/s/ Donald Dotson	Manager
0001670254-23-000234	1	Pangea Organics Inc	Joshua Onysko	Founder and CEO
0001840495-23-000001	1	American Stories Entertainment Inc.	Robert Cefail	President
0001670254-23-000236	1	AvaWatz Company	Rajini Anachi	Founder, CEO
0001926716-23-000001	1	Bracketology.tv, Inc.	Jonah Fialkow	CEO & President
0001665160-23-000413	1	NITRO Beverage Inc.	Ali Mohamed	CEO and Director
0001778258-23-000001	1	Bot Image, Inc.	Randy Jones	Chief Executive Officer
0001669191-23-000247	1	Fierce & Kind Ltd.	Basem Harb	Principal Executive Officer
0001665160-23-000411	1	Coffee Class Corp	Kyle Cunningham	CEO, Director, Treasurer, Secretary
0001665160-23-000410	1	Harmony Turbines Inc	Christoper Moore	President and CEO
0001670254-23-000233	1	Zero Cheating, Inc	Neil Parsont	CEO
0001665160-23-000409	1	Von Perry, Inc	Treyvon Perry	CEO
0001665160-23-000408	1	Tokki, Inc.	Jane Park	CEO and Director, Principal Accounting Officer
0001937918-23-000001	1	Brite Trace, LLC	Danten Rice	Chief Executive Officer
0001746059-23-000067	1	Petrolhead Cafe LLC	Kyle Mayer	Owner and Founder
0001964989-23-000001	1	Parlor Beverages, Inc	John Phillips	Treasurer
0001670254-23-000231	1	Musiversal, Inc.	Andre Miranda	Founder & CEO
0001665160-23-000406	1	Stickybones, Inc.	Erik Baker	CEO, Chief Designer, Co-Founder, Principal Financial Officer
0001746059-23-000066	1	Calyxeum, LLC	Rebecca Colett	Owner and CEO
0001963230-23-000003	1	R&H Development LLC	Shantell Williams	CEO
0001670254-23-000229	1	MyStreme, Inc.	Thomas Elisher	Secretary
0001963859-23-000002	1	Live Stream Technology Services Inc.	Herman Edwin Cruz	Chief Executive Officer
0001746059-23-000065	1	Tallgrass Pictures LLC	Jeffrey Brown	Owner and CoFounder
0001665160-23-000404	1	AGOGIE, Inc.	Aaron Mottern	CEO, Principal Accounting Officer, and Director
0001765330-23-000001	1	AIRSPACE EXPERIENCE TECHNOLOGIES, INC.	Jon Rimanelli	Chief Executive Officer
0001777982-23-000001	1	JogoHealth, Inc.	Sanjai Murali	Founder and CEO
0001477932-23-001457	1	HPEC, Inc.	/s/ Leah Houston	CEO
0001665160-23-000403	1	Encore Artistic Solutions, Inc	Steve Ross	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001477932-23-001449	1	HPEC, Inc.	/s/ Leah Houston	CEO
0001477932-23-001443	1	Reliant Service Inc	Naveen Kulkarni	Chief Executive Officer
0001477932-23-001440	1	Reliant Service Inc	/s/ Naveen Kulkarni	Chief Executive Officer
0001665160-23-000402	1	Fly Ride Corp	Andranik Andy Chivchyan	CEO and President
0001665160-23-000401	1	Wrightspeed, Inc.	Kevin Landis	CEO and Director
0001665160-23-000400	1	Consulting by T&G Corp	Tiffany Brown	CEO and Director
0001801085-23-000001	1	Farm to Coast Collective, PBC	Rebecca Lipski	COO
0001665160-23-000399	1	Wellness Insight Technologies, Inc.	Ramon Alarcon	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-23-000244	1	VOLTEQ Equipment Inc.	Patrik Psenak	Principal Executive Officer
0001935750-23-000002	1	Athyna, Inc.	Bill Kerr	Chief Executive Officer
0001746059-23-000064	1	Cactus Blossom Cantina, LLC	Christina Brogan	Owner and Founder
0001932265-23-000001	1	Chilling, Inc	Dane Petrali	Director and President
0001665160-23-000395	1	VirZoom, Inc.	Eric Janszen	Co-founder and CEO
0001669191-23-000241	1	Catailyst Inc.	Arindrajit Basak	Principal Executive Officer
0001796106-23-000003	1	Genius Juice, LLC	Alex Bayer	CEO
0001796106-23-000002	1	JuneBrain Inc.	Samantha Scott	Chief Executive Officer
0001963810-23-000001	1	Mobile Wellness Support LLC	Kelly Jackson	CEO
0001890811-23-000002	1	Culi, Inc.	Jacob Gutstein	CEO
0001962967-23-000002	1	Corporate Rentals Inc.	David Harroch	CEO
0001665160-23-000394	1	Avawatz Company, Inc	Rajini Anachi	CEO and President
0001747807-23-000001	1	Kicks Industries, Inc.	Tyler Stuart	CEO & Founder
0001796106-23-000001	1	NeXtGen Biologics, INC	Jonelle Toothman	Director, Chief Executive Officer, President and Secretary
0001746059-23-000063	1	Kansas City Wellness Club LLC	Heath Wessling	Owner and Founder
0001963991-23-000002	1	Le Grand Bleu, LLC	/s/ Yann Beaudoin	Chief Executive Manager
0001670254-23-000226	1	Antelope Recovery, LLC	Shelby Robbins	Founder & CEO
0001665160-23-000392	1	Manta Biofuel, Inc.	Christoper Jared Lindsay	Chief Executive Officer and Principal Financial Officer
0001919014-23-000001	1	Lifeguard Health, Inc.	Nathanial Findlay	President and CEO
0001062993-23-006451	1	Aura Health CA	/s/Seki Steve Lee	Chief Executive Officer
0001670254-23-000224	1	Doofus Corporation	Jacques Fourie	President and Chief Executive Officer
0001670254-23-000225	1	VitalFlo Inc.	Luke Marshall	Founder & CEO
0001670254-23-000221	1	HotelierCo Retail LLC	Nathan Kivi	CEO & Founder of HotelierCo
0001746059-23-000062	1	Beanchain Coffee LLC	David Baxter	Owner and Founder
0001669191-23-000239	1	Aqua Research, Inc.	Gene  Rabent	Principal Executive Officer
0001669191-23-000238	1	iatrixAir, Inc.	Joseph (Marc) McConnaughey	Principal Executive Officer
0001669191-23-000237	1	Catailyst Inc.	Arindrajit Basak	Principal Executive Officer
0001665160-23-000389	1	Vroom Solar Inc	Luke Phelps	CEO and Founder
0001864047-23-000002	1	Elixicure Inc.	Eyal Kotler	Chief Financial Officer
0001669191-23-000233	1	Catailyst Inc.	Arindrajit (Jit) Basak	Principal Executive Officer
0001670254-23-000219	1	Wildeye Inc.	Harold Cohn	CEO
0001665160-23-000388	1	Virtuix Holdings Inc.	Jan Roger Goetgeluk	CEO and Director
0001815481-23-000002	1	Procurement Foundry, Inc.	Steven Michael Cadieux	Chief Executive Officer, President, Treasurer, Secretary , Director
0001665160-23-000387	1	El Hempe Spirits, Inc.	Anthony Bash	CEO, Director and President
0001967939-23-000001	1	Het Say LLC	DuyAn Le	CEO
0001665160-23-000383	1	The 420 Hotels, Inc.	Christian Travis Chiari	CEO
0001665160-23-000381	1	SeaNSoul, Inc.	John Kozlowski	CEO, Principal Executive Officer
