ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-22-002553	1	Reza Khademi	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002549	4	Michael Holstein	Chief Revenue Officer and CFO	2022-09-29
0001665160-22-002551	1	Mihnea Iustinian Chis	CEO, Principal Executive Officer, and Director, Principal Financial Officer, and Principal Accounting Officer	2022-09-29
0001665160-22-002550	1	Deep Chakraborty	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002540	1	Nelson Zambrana	CEO, CTO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002554	1	Beny Ashburn	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002552	1	Katya Sverdlov	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002543	1	Bernard Garcia	Founder and CEO	2022-09-29
0001665160-22-002544	1	J. Garrett Green	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002541	1	Jeff Slosar	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer	2022-09-29
0001665160-22-002545	6	Hillel Bachrach	Director	2022-09-29
0001665160-22-002545	5	Gal Hayut	Director	2022-09-29
0001665160-22-002545	4	Michael Levy	CTO & Co-Founder	2022-09-29
0001665160-22-002545	3	Gilad Meiri	Director	2022-09-29
0001665160-22-002545	2	Deepa Javeri	Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002545	1	Eran Orr	CEO and Principal Executive Officer	2022-09-29
0001665160-22-002546	1	Dana Paul	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001901207-22-000006	1	/s/ TOBIN SHEA	CEO	2022-09-29
0001665160-22-002549	3	Karen Hunter	Advisor	2022-09-29
0001665160-22-002549	2	Brittany Kaiser	Advisor	2022-09-29
0001665160-22-002549	1	Dele Atanda	CEO, Principal Executive Officer and Director	2022-09-29
0001665160-22-002548	1	Balazs Wellisch	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002539	1	Carman Cook	CEO, Principal Executive Officer and Director	2022-09-29
0001665160-22-002542	1	David Akerman	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002547	1	Brad Price	CEO, Principal Executive Officer and Director, Principal Financial Officer, and Principal Accounting Officer	2022-09-29
0001665160-22-002538	1	Claude Harris	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002537	1	Luke Phelps	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001880675-22-000003	1	Baruch Herzfeld	CEO	2022-09-29
0001665160-22-002536	1	Mark Becker	CEO, Principal Executive Officer and Director, Renee Esebag - Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002535	1	Jesse Tevelow	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002534	2	Amir Barsoum Mikhail	Chairman	2022-09-29
0001665160-22-002534	1	Ramy Barsoum Mikhail	Co-Founder, CEO, Principal Executive Officer, Director and Principal Accounting Officer	2022-09-29
0001904386-22-000004	1	Scottie Smith II	As Managing Member of the Manager, Oakwood Legacy Holdings, LLC	2022-09-29
0001665160-22-002532	1	Cathi Lamberti	Chief Executive Officer, Chairperson of the board of directors, and founder of SMARTfit	2022-09-29
0001665160-22-002533	2	Michael Boone	COO and Director	2022-09-29
0001665160-22-002533	1	Tyler Boone	CEO, President, CFO, and Director	2022-09-29
0001938967-22-000003	2	Brad Larson	Director	2022-09-29
0001938967-22-000003	1	Lacey Kaelani	Director	2022-09-29
0001665160-22-002529	1	Jacques Beaudry Losique	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002528	1	Allen Witters	CEO, Chairman, and Secretary	2022-09-29
0001665160-22-002527	1	Megan Hayes	Co-CEO and Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002526	1	Alice Chen	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001670254-22-001006	3	Miles Penn	Founder	2022-09-28
0001670254-22-001006	2	Rafael witten	Director	2022-09-28
0001670254-22-001006	1	Tal Shachar	Director	2022-09-28
0001665160-22-002524	1	Gary Kohn	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer.	2022-09-29
0001665160-22-002523	1	Branden Criss	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002522	1	Kevin Morin	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001665160-22-002521	1	Ben Chang	President, CEO, CFO, Director	2022-09-29
0001665160-22-002520	2	Tracy Transmeier	CFO	2022-09-29
0001665160-22-002520	1	Robert Kilinski	CEO and Board Director	2022-09-29
0001665160-22-002519	2	Guilda M. Sobhani	Director	2022-09-29
0001665160-22-002519	1	Rob Sobhani	CEO, President, Secretary, and Treasurer	2022-09-29
0001665160-22-002518	3	Simon Webster	Director	2022-09-29
0001665160-22-002518	2	Charles Fisher	Chairman, CFO, Director, Secretary	2022-09-29
0001665160-22-002518	1	Kelly Roman	CEO, Director	2022-09-29
0001746059-22-000361	1	Bethany Gregory	Owner and Founder	2022-09-29
0001747584-22-000036	1	Bryan Garcia	Duly Authorized	2022-09-29
0001665160-22-002515	1	Dr. James Rosenzweig	Director	2022-09-28
0001932958-22-000005	1	Cecelia Towns-Scott	President	2022-07-21
0001665160-22-002514	1	Marcus Hays	co-CEO, Director, and Chief Technology Officer	2022-09-28
0001665160-22-002514	3	Chance Claxton	Co-CEO and Chief Branding Office	2022-09-28
0001665160-22-002514	4	William Kelley	Director	2022-09-28
0001948768-22-000001	1	Conor Matthews	Manager	2022-09-28
0001670254-22-001005	1	Alok Jain	Co-founder, CEO	2022-09-28
0001665160-22-002513	1	Cara Bucciferro	Founder, CEO, President and Director	2022-09-28
0001929442-22-000007	1	Randall Matthews	Founder, Owner	2022-05-24
0001665160-22-002514	2	Bradley Knop	CFO	2022-09-28
0001746059-22-000360	1	Kayisha Thompson	Owner and Founder	2022-09-28
0001665160-22-002512	1	John Paul Poehlmann	CEO	2022-09-28
0001746059-22-000359	1	Amy Dannemiller	Owner and CEO	2022-09-28
0001665160-22-002511	1	Andrei T. Evulet	President, CEO, CTO, Director	2022-09-28
0001665160-22-002511	2	Simina Farcasiu	CFO, Treasurer	2022-09-28
0001665160-22-002511	3	Denis Dancanet	Director	2022-09-28
0001746059-22-000358	1	Elizabeth Nicol	Owner and Founder	2022-09-28
0001669191-22-000929	4	Mike Ortega	Board Member	2022-09-28
0001669191-22-000929	1	Mike Ortega	Principal Executive Officer	2022-09-28
0001669191-22-000929	2	Gary  Levine	Principal Financial Officer	2022-09-28
0001669191-22-000929	3	Gary  Levine	Principal Accounting Officer	2022-09-28
0001669191-22-000929	5	Dan Cox	Board Member	2022-09-28
0001665160-22-002508	5	Ryan Malkin	Director	2022-09-28
0001665160-22-002508	1	Steve Luttman	CEO	2022-09-28
0001665160-22-002508	4	Mario Mazza	Director	2022-09-28
0001665160-22-002508	2	Frederic Lavoie	CFO	2022-09-28
0001665160-22-002508	3	Grisa Soba	Director	2022-09-28
0001665160-22-002506	1	Evan Fisher	COO, President, Secretary, Director	2022-09-28
0001665160-22-002505	1	Anna Cheniuntai	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-28
0001665160-22-002505	2	Nikita Cheniuntai	CTO	2022-09-28
0001948590-22-000001	1	Kathy Hale	President	2022-09-28
0001896757-22-000009	1	Kennedy Ross	Chief Of Staff	2022-09-23
0001892192-22-000002	1	Humphrey Chen	Co-Founder & CEO	2022-09-28
0001892192-22-000002	2	Aaron Sloman	Co-Founder & CTO	2022-09-28
0001892192-22-000002	3	Cindy Chin	Co-Founder	2022-09-28
0001816449-22-000003	3	Guy Greenstein	CTO	2022-09-27
0001816449-22-000003	4	David Greenstein	Board Member	2022-09-27
0001816449-22-000002	2	Rachel Abady	CMO	2022-09-26
0001816449-22-000002	1	Josh Abady	CEO	2022-09-26
0001775767-22-000002	5	Jay Goss	Director	2022-09-27
0001775767-22-000002	4	Ric Edelman	Director	2022-09-27
0001775767-22-000002	3	Jesse M. Schorz	Director	2022-09-27
0001775767-22-000002	2	Henry P. Schorz	Director	2022-09-27
0001775767-22-000002	1	Thomas Edward Stevens	Director	2022-09-27
0001670254-22-001002	3	Helen Hall	Founder & Chief Executive Officer	2022-09-23
0001670254-22-001002	2	Caleb Goding	Fractional CFO	2022-09-26
0001670254-22-001002	1	Harold Dickerson	CCO	2022-09-26
0001896757-22-000007	1	Choriny Mbeche	CEO	2022-09-27
0001670254-22-001000	3	Ayisha Fareed Panhwar	CEO & Co-Founder	2022-09-16
0001670254-22-001000	2	Niaz Panhwar	Chief Engineer	2022-09-16
0001670254-22-001000	1	Syeda Hussain	COO	2022-09-16
0001665160-22-002504	1	Jay Scales	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-27
0001816449-22-000003	2	Rachel Abady	CMO	2022-09-27
0001816449-22-000002	3	David Greenstein	Board Member	2022-09-26
0001816449-22-000002	4	Guy Greenstein	CTO	2022-09-26
0001816449-22-000003	1	Josh Abady	CEO	2022-09-27
0001816449-22-000001	1	Joshua Abady	Co-Founder, CEO	2022-09-23
0001816449-22-000001	3	Rachel Abady	Co-Founder, CMO	2022-09-23
0001816449-22-000001	2	David Greenstein	Board Member	2022-09-23
0001665160-22-002502	1	Matt Eau Claire	CEO and Manager	2022-09-27
0001665160-22-002501	2	Ansley Coale	Director	2022-09-27
0001665160-22-002501	1	Donald Read Spear	President and Director	2022-09-27
0001665160-22-002499	1	Michael Elson	CEO, CTO, Sole Director/CFO/Principal Accounting Officer	2022-09-27
0001927762-22-000005	1	Ben White	Founder and CEO	2022-09-27
0001927762-22-000004	1	Jordan Crudo	CEO	2022-09-27
0001915878-22-000003	1	Sherika Wynter	Manager	2022-09-27
0001915878-22-000003	2	Shallon Thomas	Manager	2022-09-27
0001948360-22-000003	1	Nadab Akhtar	Chief Finance Officer	2022-09-27
0001895722-22-000001	1	Amra Tareen	Director	2022-09-27
0001665160-22-002496	1	Mark Besharaty	CEO, CFO, Secretary, Director	2022-09-27
0001665160-22-002495	1	Vikram Wadhawan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-27
0001934595-22-000002	1	Gabriela Febres	Owner	2022-09-27
0001816336-22-000002	1	William R. Graening	CEO	2022-09-27
0001936096-22-000005	1	Kim Gaston	Founder & CEO	2022-06-24
0001670254-22-000997	1	Franck Lahaye	Co-Founder, COO	2022-07-21
0001665160-22-002494	1	Vikram Wadhawan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-26
0001670254-22-000998	1	Krish Sharma	CEO	2022-09-26
0001746059-22-000357	1	Mark Beres	President & CEO	2022-09-26
0001670254-22-000997	2	Andrei Klochko	Co-Founder, CEO, and CSO	2022-07-21
0001665160-22-002492	1	Zack Fleishman	CEO, Secretary and Director	2022-09-26
0001665160-22-002492	2	Gary Fleishman	President & Director	2022-09-26
0001940265-22-000003	1	Etricia Robinson	President	2022-09-26
0001746059-22-000356	1	Daniel Rubenstein	Owner and Founder	2022-09-26
0001746059-22-000355	1	Marc Dosik	Managing Member	2022-09-26
0001746059-22-000354	1	Lillian Wilborne	Owner and Founder	2022-09-26
0001665160-22-002491	1	Frederic Speed Bancroft	CEO/Chairman	2022-09-26
0001665160-22-002491	3	Ozzie Fernandez	Director	2022-09-26
0001665160-22-002491	4	Ross Ford	Director	2022-09-26
0001665160-22-002491	5	Luis Garcia	Director	2022-09-26
0001665160-22-002491	6	Chris Meaux	Director	2022-09-26
0001665160-22-002491	2	Juliana Hernandez	CFO	2022-09-26
0001944708-22-000002	1	Brian Baker	CEO	2022-09-26
0001665160-22-002490	1	Austin Igein	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-26
0001665160-22-002490	2	Darius Swain	CIO and Director	2022-09-26
0001665160-22-002489	1	Alan H. Lee	CEO, Chairman of Board	2022-09-26
0001902271-22-000002	1	Nadim Kobeissi	Director	2022-09-26
0001902271-22-000002	2	Marco Barulli	Director	2022-09-26
0001920911-22-000002	1	Sarah Hawley	Director	2022-09-26
0001719122-22-000006	1	Anshuman Vohra	CEO	2022-09-26
0001669191-22-000927	5	Bruce Watanabe	Board Member	2022-09-26
0001669191-22-000927	1	Bruce Watanabe	Principal Executive Officer	2022-09-26
0001669191-22-000927	4	Thu Truong	Board Member	2022-09-26
0001669191-22-000927	3	Thu Truong	Principal Accounting Officer	2022-09-26
0001669191-22-000927	2	Thu Truong	Principal Financial Officer	2022-09-26
0001669191-22-000926	1	Robert Krause	Principal Executive Officer	2022-09-26
0001669191-22-000926	6	Jeromee Johnson	Board Member	2022-09-26
0001669191-22-000926	5	Robert Krause	Board Member	2022-09-26
0001669191-22-000926	2	Robert Krause	Principal Financial Officer	2022-09-26
0001669191-22-000926	3	Robert Krause	Principal Accounting Officer	2022-09-26
0001669191-22-000926	4	Richard Heckinger	Board Member	2022-09-26
0001669191-22-000925	1	Manuel Teixeira	Principal Executive Officer	2022-09-26
0001669191-22-000925	2	Manuel Teixeira	Principal Financial Officer	2022-09-26
0001669191-22-000925	3	Manuel Teixeira	Principal Accounting Officer	2022-09-26
0001669191-22-000925	4	Thomas Carmody	Board Member	2022-09-26
0001937968-22-000001	1	Tabraiz Khan	President	2022-09-26
0001896757-22-000005	1	Kennedy Ross	Chief Of Staff	2022-09-23
0001665160-22-002485	2	Todd Krasinsky	Chief Strategy Officer and Director	2022-09-23
0001665160-22-002485	3	Joseph C Bissonnette	Chief Financial Officer and Principle Accounting Officer	2022-09-23
0001665160-22-002483	1	Michael Williston	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-23
0001942452-22-000001	1	Ryan Frankel	Founder & CEO	2022-09-23
0001670254-22-000995	1	Victoria Partington	Corporate Secretary	2022-09-23
0001670254-22-000995	2	Mory Katan	CEO	2022-09-23
0001665160-22-002487	1	Scott George	CEO	2022-09-23
0001665160-22-002486	1	Frederick Lizza	CEO and Director	2022-09-23
0001665160-22-002486	2	Ara Nazarian	Director	2022-09-23
0001665160-22-002486	3	Per Suneby	Director	2022-09-23
0001665160-22-002486	4	Stephen Okajima	Director	2022-09-23
0001665160-22-002488	1	Kevin Cornell	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-09-23
0001665160-22-002485	1	Sal Rafanelli	President and CEO	2022-09-23
0001665160-22-002482	1	Karl Loepke	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-09-23
0001665160-22-002484	3	Fadi Madanat	Director	2022-09-23
0001665160-22-002484	2	Amy Sharma	Director	2022-09-23
0001946213-22-000001	1	Patrick Karsu	CEO	2022-09-23
0001670254-22-000994	1	Julien Uhlig	CEO AT EX VENTURE INC.	2022-09-15
0001665160-22-002484	1	Ravi Sharma	CEO, Director, Principal Financial Officer	2022-09-23
0001665160-22-002481	3	Drue Freeman	Board Member	2022-09-23
0001665160-22-002481	4	Patricia E. Glovsky	Board Member	2022-09-23
0001665160-22-002481	1	David Colleen	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-23
0001665160-22-002481	2	Robert N. Blair	Board Member	2022-09-23
0001670254-22-000991	1	Madeleine MacRae	CEO | 3x Founder | Chief Innovator	2022-09-23
0001669191-22-000920	1	Scott Arey	Principal Executive Officer	2022-09-23
0001669191-22-000920	3	Scott Arey	Principal Accounting Officer	2022-09-23
0001669191-22-000920	2	Doug Schiller	Principal Financial Officer	2022-09-23
0001669191-22-000916	2	Peter Kaufman	Principal Financial Officer	2022-09-23
0001669191-22-000916	1	Peter Kaufman	Principal Executive Officer	2022-09-23
0001669191-22-000916	4	Peter Kaufman	Board Member	2022-09-23
0001669191-22-000916	3	Peter Kaufman	Principal Accounting Officer	2022-09-23
0001892733-22-000001	1	Johnathon Aho, M.D., PhD	CEO & Chief Medical Officer	2022-09-23
0001665160-22-002480	2	Ronald S Leander	CPA CFO for AWOL Outdoors Inc	2022-09-23
0001665160-22-002480	1	Kevin F McGregor	CEO, Principal Executive Officer, and Director	2022-09-23
0001665160-22-002479	1	Kevin F McGregor	CEO, Principal Executive Officer, and Director	2022-09-23
0001665160-22-002479	2	Ronald S Leander	CPA CFO for AWOL Outdoors Inc	2022-09-23
0001746059-22-000353	1	Kathryn Read	Owner and Founder	2022-09-23
0001017386-22-000430	1	Shelli Fields	President	2022-09-23
0001746059-22-000352	1	Kristina Lai	Owner and CoFounder	2022-09-23
0001746059-22-000351	1	Kristina Lai	Owner and CoFounder	2022-09-23
0001091818-22-000138	1	/s/ Paul Malec	President	2022-09-23
0001746059-22-000350	1	Emily Walker	Owner and Founder	2022-09-23
0001665160-22-002478	1	William Agush	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-23
0001644600-22-000121	3	Eric Baldev	Director	2022-09-23
0001644600-22-000121	1	Phil Stover	CEO and Director	2022-09-23
0001644600-22-000121	4	Thomas Looby	Director	2022-09-23
0001644600-22-000121	2	Chris Gray	CTO and Director	2022-09-23
0001665160-22-002476	1	Kishlay Anand	CEO, President and Director	2022-09-23
0001665160-22-002476	2	Pankaj Jain	Treasurer and Director	2022-09-23
0001670254-22-000989	3	Jeremy McCool	Founder & CEO	2022-09-22
0001670254-22-000989	1	Wanda Lopuch	Corporate Director	2022-09-22
0001670254-22-000989	2	David Chait	Director	2022-09-22
0001670254-22-000988	1	Sheila K Tan	Founder/Chair	2022-09-22
0001670254-22-000988	2	Scott Seidewitz	Founder/CEO	2022-09-22
0001670254-22-000988	3	Scott Seidewitz	Founder/CEO	2022-09-22
0001946995-22-000001	1	Sofia Whiddon	Co-Owner	2022-09-23
0001017386-22-000427	1	Lorenzo Luciano Piceni	President	2022-09-22
0001665160-22-002474	1	Isaac Hayes III	CEO, President, Secretary, Treasurer, Director	2022-09-23
0001670254-22-000986	1	Michael W Frederick	Founder & Brewmaster	2022-09-19
0001665160-22-002472	1	John Danny Dubuk	CEO, CFO, Director, President	2022-09-22
0001795749-22-000001	1	S.Rubin	CEO	2022-09-22
0001665160-22-002471	2	Michael LeMaire	Director/Secretary	2022-09-22
0001665160-22-002471	1	Lynnet Koh	Executive Chairman and CEO	2022-09-22
0001665160-22-002470	1	Edward J. Grimaldi	CEO	2022-09-22
0001670254-22-000982	1	Julien Uhlig	CEO AT EX VENTURE INC.	2022-09-21
0001670254-22-000980	1	Richard White	Founder & CEO	2022-09-22
0001853811-22-000001	1	Michael Keith Bolen II	President of the Issuer's Manager	2022-09-22
0001929145-22-000002	1	Arlan Hamilton	Director	2022-09-22
0001669191-22-000912	2	Joe Hassell	Principal Financial Officer	2022-09-22
0001669191-22-000912	1	Adelinda  Bryant	Principal Executive Officer	2022-09-22
0001669191-22-000912	3	Joe Hassell	Principal Accounting Officer	2022-09-22
0001669191-22-000912	4	Adelinda  Bryant	Board Member	2022-09-22
0001669191-22-000912	5	Joe Hassell	Board Member	2022-09-22
0001665160-22-002469	1	David Riddile	Manager, Principal Accounting Officer, and Marketing and Operations Director	2022-09-22
0001665160-22-002468	1	Jennifer Hotai Dale	CEO	2022-09-22
0001665160-22-002467	1	Trina Wyatt	CEO and Director (acting in the principal financial office role)	2022-09-22
0001930889-22-000005	1	Matthew Dever	Founder and CEO	2022-09-22
0001665160-22-002466	1	Michael Ora Powell	CEO, co-founder, Director and biomechanics lead	2022-09-22
0001665160-22-002466	2	Ash Robbins	CTO, Director, co-founder and machine learning lead	2022-09-22
0001930889-22-000004	1	Daniel O'Connor	Director and Officer	2022-09-22
0001665160-22-002464	1	Trina Wyatt	CEO and Director (acting in the principal financial office role)	2022-09-22
0001665160-22-002462	2	Ash Robbins	CTO, Director, co-founder and machine learning lead	2022-09-22
0001665160-22-002462	1	Michael Ora Powell	CEO, co-founder, Director and biomechanics lead	2022-09-22
0001670254-22-000977	3	Michael Rosenberg	President & CEO	2022-09-19
0001670254-22-000977	2	Marta Mendizabal	COO & VP	2022-09-19
0001670254-22-000977	1	John T Presti	VP of Client Services	2022-09-19
0001746059-22-000349	1	Brad Zerman	Founder and CEO	2022-09-21
0001670254-22-000978	1	Edward Tepper	Director	2022-09-13
0001670254-22-000978	2	Steven Haden	Interim CEO and Chief Strategy Officer	2022-09-13
0001670254-22-000976	4	Michael Rosenberg	President & CEO	2022-09-16
0001670254-22-000976	2	Michael Rosenberg	President & CEO	2022-09-20
0001670254-22-000976	1	Marta Mendizabal	VP & COO	2022-09-20
0001670254-22-000976	3	Marta Mendizabal	VP & COO	2022-09-16
0001665160-22-002459	1	Frank Adamo	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-21
0001665160-22-002458	2	Andrew Plum	Director	2022-09-21
0001665160-22-002458	3	George Douaire	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-09-21
0001665160-22-002458	1	Humsini Acharya	Director	2022-09-21
0001665160-22-002458	4	Timothy Visos Ely	Director	2022-09-21
0001669191-22-000910	5	Philip Anderson	Board Member	2022-09-21
0001669191-22-000910	1	Philip Anderson	Principal Executive Officer	2022-09-21
0001669191-22-000910	2	Bruce Hymas	Principal Financial Officer	2022-09-21
0001669191-22-000910	4	Bruce Hymas	Board Member	2022-09-21
0001669191-22-000910	3	Bruce Hymas	Principal Accounting Officer	2022-09-21
0001665160-22-002456	3	Jeffrey T. Steiner	Vice President	2022-09-21
0001665160-22-002456	2	Nancy Steiner	Director	2022-09-21
0001665160-22-002456	1	Jennifer Steiner Pool	President	2022-09-21
0001944708-22-000001	1	Brian Baker	CEO	2022-09-21
0001947027-22-000001	1	Jonathan Farchi-Segal	CEO	2022-09-20
0001670254-22-000971	1	Micah Bergdale	CEO	2022-09-16
0001670254-22-000974	2	Michael Fingado	CEO	2022-09-15
0001947027-22-000001	2	Max Brownawell	Manager	2022-09-20
0001670254-22-000972	1	Tooraj Helmi	CEO	2022-09-19
0001670254-22-000974	1	Brian Dzingai	CFO	2022-09-15
0001746059-22-000348	1	Kathryn Read	Owner and Founder	2022-09-20
0001644600-22-000118	1	Phil Stover	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-20
0001644600-22-000117	1	Phil Stover	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-20
0001938236-22-000001	1	/s/ Gaurav Goomer	CEO	2022-09-20
0001746059-22-000347	1	Kathryn Read	Owner and Founder	2022-09-20
0001683168-22-006497	1	/s/ Brian Johnson	CEO, Principal Financial Officer, Principal Accounting Officer, and Director	2022-09-20
0001747584-22-000035	1	Bryan Garcia	Duly Authorized	2022-09-20
0001644600-22-000116	1	Phil Stover	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-20
