ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001669191-23-000615	3	Scott Deans	Principal Accounting Officer	2023-06-22
0001978630-23-000003	1	Bryan Janeczko	Director	2023-06-22
0001978630-23-000003	2	Jonathan Cohen	Director	2023-06-22
0001978630-23-000003	3	Allen Morgan	Director	2023-06-22
0001978630-23-000003	5	Rich Vogel	Director	2023-06-22
0001978630-23-000003	4	Michael Loeb	Director	2023-06-22
0001973353-23-000003	1	Adam Volk	Managing Member	2023-06-22
0001665160-23-001436	2	Steven P. Meier	Chief Operating Officer and Principal Financial Officer	2023-06-22
0001665160-23-001436	5	Eric Anhold	Director	2023-06-22
0001665160-23-001436	4	Gayla Cisneros	Director	2023-06-22
0001665160-23-001436	3	Katherine M. Meier	Secretary	2023-06-22
0001665160-23-001436	1	David C. Cisneros	Chief Executive Officer	2023-06-22
0001829335-23-000002	1	Alexandria Porter	Chief Executive Officer	2023-06-22
0001746059-23-000162	1	Marcus Hamblin	Owner and CEO	2023-06-22
0001665160-23-001434	2	Cody Dumont	Managing Director	2023-06-22
0001665160-23-001434	1	Binhan (Marcus) Li	Founder, CEO, Director	2023-06-22
0001665160-23-001433	1	Anthony Michael Tassone	CEO, principal accounting officer, Director	2023-06-22
0001665160-23-001433	2	Tejas Attreya Shastry	CTO, Director	2023-06-22
0001665160-23-001432	2	Rachael Alyce Santos	President, Co-Founder, Director and Principal Accounting Officer	2023-06-22
0001665160-23-001432	1	John Dos Santos	CEO, Founder and Director	2023-06-22
0001821982-23-000011	1	Bryan Beal	Managing Partner	2023-06-22
0001937156-23-000001	1	Alan Akina	Chief Executive Officer, Sole Director	2023-06-22
0001669191-23-000611	4	Anthony Scialdone	Board Member	2023-06-22
0001669191-23-000611	3	Anthony Scialdone	Principal Accounting Officer	2023-06-22
0001669191-23-000611	1	Anthony Scialdone	Principal Executive Officer	2023-06-22
0001669191-23-000611	2	Anthony Scialdone	Principal Financial Officer	2023-06-22
0001968645-23-000004	1	/s/ Matthew Schneider	CEO	2023-06-22
0001670254-23-000655	2	Clifton Talley	Chief Operating Officer	2023-06-21
0001670254-23-000655	3	Christopher Maxwell	Project Engineer/Board Member	2023-06-20
0001670254-23-000655	4	Joe Haas	Board member	2023-06-20
0001670254-23-000655	5	Jim Boyte	Founder & CEO	2023-06-20
0001665160-23-001431	1	Philip Schwarz	CEO	2023-06-21
0001786082-23-000001	1	Jennifer Ferone	CEO	2023-06-20
0001670254-23-000655	1	Jeffrey Bunder	Board Member	2023-06-21
0001670254-23-000658	2	Rachael Kierych	General Counsel	2023-06-20
0001670254-23-000658	3	Elliot Justin	CEO	2023-06-20
0001665160-23-001427	1	Chase Hamilton	CEO, Officer	2023-06-21
0001665160-23-001427	2	Marley Marotta	Marketing Director, Officer	2023-06-21
0001665160-23-001430	1	Philip Schwarz	CEO	2023-06-21
0001670254-23-000658	1	Zach Lahn	None	2023-06-21
0001982185-23-000001	1	Joseph Hogue	Manager	2023-06-21
0001665160-23-001425	1	Robert Imeson	CEO	2023-06-21
0001665160-23-001422	1	Robert Imeson	CEO	2023-06-21
0001665160-23-001420	1	Anna Cheniuntai	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2023-06-21
0001665160-23-001420	2	Nikita Cheniuntai	CTO	2023-06-21
0001821324-23-000006	2	Julie Maples	Director	2023-06-21
0001821324-23-000006	3	Conor O'Mahony	Director	2023-06-21
0001821324-23-000006	1	Anthony Ryan Leslie	Director	2023-06-21
0001665160-23-001419	1	Benjamin Daniel Mogul	CEO, President, Secretary, Principal Accounting Officer, and Director	2023-06-21
0001821982-23-000010	1	Jordan Jones	Manager	2023-06-21
0001821982-23-000009	1	Christopher Babcock	Director	2023-06-21
0001669191-23-000607	5	George Lekas	Board Member	2023-06-21
0001669191-23-000607	7	Matthew Hilbush	Board Member	2023-06-21
0001669191-23-000607	6	David Kern	Board Member	2023-06-21
0001669191-23-000607	4	Ronald Averett	Board Member	2023-06-21
0001669191-23-000607	3	Gregory Blaszczynski	Principal Accounting Officer	2023-06-21
0001669191-23-000607	2	Gregory Blaszczynski	Principal Financial Officer	2023-06-21
0001669191-23-000607	1	Ronald Averett	Principal Executive Officer	2023-06-21
0001669191-23-000608	1	Luigi Boschin	Principal Executive Officer	2023-06-21
0001669191-23-000608	6	Andrea Mandel Mantello	Board Member	2023-06-21
0001669191-23-000608	4	Bruce  Riezenman	Board Member	2023-06-21
0001669191-23-000608	5	Luigi Boschin	Board Member	2023-06-21
0001669191-23-000608	3	Luigi Boschin	Principal Accounting Officer	2023-06-21
0001669191-23-000608	2	Luigi Boschin	Principal Financial Officer	2023-06-21
0001669191-23-000606	1	Sheryl Utal	Principal Executive Officer	2023-06-21
0001669191-23-000606	2	Sheryl Utal	Principal Financial Officer	2023-06-21
0001669191-23-000606	3	Sheryl Utal	Principal Accounting Officer	2023-06-21
0001669191-23-000606	5	Aaron  Travis	Board Member	2023-06-21
0001669191-23-000606	4	Sheryl Utal	Board Member	2023-06-21
0001669191-23-000605	1	John  Lavin	Principal Executive Officer	2023-06-21
0001669191-23-000605	3	John  Lavin	Principal Accounting Officer	2023-06-21
0001669191-23-000605	2	John  Lavin	Principal Financial Officer	2023-06-21
0001669191-23-000605	4	John  Lavin	Board Member	2023-06-21
0001669191-23-000599	2	Alfonzo  Thurman	Principal Financial Officer	2023-06-21
0001669191-23-000599	1	Cory Yates	Principal Executive Officer	2023-06-21
0001669191-23-000599	3	Cory Yates	Principal Accounting Officer	2023-06-21
0001669191-23-000599	4	Cory Yates	Board Member	2023-06-21
0001669191-23-000599	5	Alfonzo  Thurman	Board Member	2023-06-21
0001978606-23-000006	2	Kamaljit Jhooti	Director	2023-06-21
0001978606-23-000006	1	Sandeep Premkumar	Director	2023-06-21
0001978606-23-000006	3	Neel Premkumar	Director	2023-06-21
0001933762-23-000042	1	Scott Stawski	Chairman	2023-06-19
0001944687-23-000001	1	Ashley Nickelsen	Sole Director and President/Chief Executive Officer	2023-06-21
0001669191-23-000596	4	Michael Burns	Board Member	2023-06-21
0001669191-23-000596	3	Michael Burns	Principal Accounting Officer	2023-06-21
0001669191-23-000596	2	Michael Burns	Principal Financial Officer	2023-06-21
0001669191-23-000596	1	Michael Burns	Principal Executive Officer	2023-06-21
0001670254-23-000653	1	Pierre Le Veaux	Founder and Head of Growth	2023-06-16
0001746059-23-000161	1	Michael De Los Santos	Owner and Founder	2023-06-20
0001644600-23-000119	1	Ray Powers	CEO and Director	2023-06-20
0001644600-23-000119	3	John Stahl	CFO and Director	2023-06-20
0001644600-23-000119	2	Leigh Steinberg	Co-CEO and Director	2023-06-20
0001562529-23-000002	3	Mark Nelson	Director	2023-06-20
0001562529-23-000002	2	Thomas Jacobs	Director	2023-06-20
0001562529-23-000002	1	David Medin	CEO	2023-06-20
0001980669-23-000002	1	Amber Ferrell-Steele	CEO	2023-06-20
0001980669-23-000002	2	Bruce Steele	Apparel Marketing	2023-06-20
0001821982-23-000008	1	Zebulon Parsons	CEO	2023-06-20
0001665160-23-001418	2	Shail Mehta	CTO, Director	2023-06-20
0001665160-23-001418	1	Jyotsna Mehta	CEO, Director, CFO/Principal Accounting Officer	2023-06-20
0001665160-23-001417	1	Nathan Burba	Co-Founder and CEO, Principal ECo-Founder and CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer xecutive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2023-06-20
0001852645-23-000003	1	Charles Michael Yim	Director	2023-06-20
0001852645-23-000003	2	Mikhail Lorenzo	Director	2023-06-20
0001821982-23-000007	1	Wesley Johnson	President and CEO	2023-06-20
0001670254-23-000651	2	Carlos Goyco	CEO	2023-06-13
0001670254-23-000651	1	Wilmer J. Fernndez	VP	2023-06-13
0001781973-23-000002	1	Michael Nashick	Chief Financial Officer	2023-06-20
0001670254-23-000649	1	George Cook Marvin Huergo	Chief Product Officer	2023-06-14
0001670254-23-000649	2	David Abusaid	Co-Founder & CEO	2023-06-14
0001975487-23-000001	1	Mitch Clark	CEO	2023-06-20
0001803421-23-000002	1	Zachary Popp	CEO, Founder	2023-06-05
0001665160-23-001416	1	David Mitlyng	CEO, Principal Accounting Officer, and Director	2023-06-20
0001665160-23-001415	3	Matthew O'Brien	Head of Sales and Board Member	2023-06-20
0001665160-23-001415	2	Raymond Yule	CFO and Board Member	2023-06-20
0001665160-23-001415	1	John Bullinger	CEO and Board Member	2023-06-20
0001978297-23-000001	1	Erwin Villarias	President	2023-06-20
0001665160-23-001413	1	Ryan Dene Rottman	CEO, Co-founder, Director and principal accounting officer	2023-06-20
0001665160-23-001413	2	Nate Raabe	Director	2023-06-20
0001665160-23-001413	3	Chris Van Dusen	Director	2023-06-20
0001644600-23-000117	1	Michael R. Johnson	Chief Executive Officer, Principal Financials Officer, Principal Accounting Officer, Director	2023-06-16
0001644600-23-000117	2	Michael Siegal	Director	2023-06-16
0001644600-23-000117	3	Gary Chingren	Director	2023-06-16
0001644600-23-000117	4	Ron Brown	Director	2023-06-16
0001644600-23-000117	5	Mike Ellis	Director	2023-06-16
0001644600-23-000117	6	Steve Blakesley	Director	2023-06-16
0001644600-23-000117	7	Ramesh Majji	Director	2023-06-16
0001979947-23-000002	1	/s/ MIKE LATHAM	PRESIDENT	2023-06-16
0001665160-23-001411	2	Eric White	CSO, Principal Financial Officer and Principal Accounting Officer	2023-06-16
0001665160-23-001411	1	Cory Lewis	CEO, Principal Executive Officer and Director	2023-06-16
0001669191-23-000594	4	Daniel Waterman	Board Member	2023-06-16
0001669191-23-000594	3	Daniel Waterman	Principal Accounting Officer	2023-06-16
0001669191-23-000594	2	Daniel Waterman	Principal Financial Officer	2023-06-16
0001669191-23-000594	1	Daniel Waterman	Principal Executive Officer	2023-06-16
0001669191-23-000593	3	John Godbout	Principal Accounting Officer	2023-06-16
0001669191-23-000593	1	John Godbout	Principal Executive Officer	2023-06-16
0001669191-23-000593	2	John Godbout	Principal Financial Officer	2023-06-16
0001669191-23-000593	4	John Godbout	Board Member	2023-06-16
0001669191-23-000592	3	Carolyn Price	Principal Accounting Officer	2023-06-16
0001669191-23-000592	2	Carolyn Price	Principal Financial Officer	2023-06-16
0001669191-23-000592	1	Carolyn Price	Principal Executive Officer	2023-06-16
