ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	ISCOISSUER	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001665160-22-002560	0			Eli Electric Vehicles, Inc.	Corporation		DE	2018-02-06	525 S Hewitt St		Los Angeles	CA	90013	www.eli.world	StartEngine Capital, LLC	N	0001665160	007-00007	
0001948590-22-000002	0			Spiel Nacht LLC	Limited Liability Company		MO	2015-08-18	8380 WATSON RD		SAINT LOUIS	MO	63119	www.gameniteshop.com	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001670254-22-001011	0			Atakama Inc.	Corporation		DE	2014-03-19	535 Fifth Avenue		New York	NY	10017	http://www.atakama.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001666102-22-000020	1		The offering allows rolling close, as explained in section 12 of the Offering Statement.	Tai Chi Yoga, LLC	Limited Liability Company		UT	2022-03-22	7981 S CYPRESS PINE COVE		SANDY	UT	84070	https://www.taichiyoga.com	Mr. Crowd	N	0001666102	007-00042	284278
0001811504-22-000002	0	The Offering closed successfully on 9/30/2022, having received investment commitments of $186,297, although a final accounting has not taken place.		Tomo Technologies, Inc.	Corporation		DE	2018-01-23	4312 WINDLASS CT		RALEIGH	NC	27616-0771	https://www.gobekids.co	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001665160-22-002559	1		Issuer is extending campaign end date.	ActivArmor LLC	Corporation		DE	2016-03-28	2828 GRANADA BOULEVARD		PUEBLO	CO	81005	www.activarmor.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001746059-22-000362	1		Issuer is extending the deadline to make an investment. Issuer is lowering the target offering amount.	Stonehedge PBC	Corporation		DE	2021-05-10	51 DAIRY RD		TAMAQUA	PA	18252	http://www.stonehedge.us/	MainVest, Inc.	N	0001746059	007-00162	
0001936579-22-000001	0			healhaus llc	Limited Liability Company		NY	2017-11-20	181 DEKALB AVE. UNIT C2		BROOKLYN	NY	11205	https://www.healhaus.com/	SI SECURITIES, LLC	N	0001603038	008-69440	000170937
0001821324-22-000002	0			Disruptive Multimedia, Inc.	Corporation		DE	2014-03-14	228 PARK AVENUE SOUTH	41371	NEW YORK	NY	10003-1502	https://www.superphone.io	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001644600-22-000123	0			Beast Brands, Inc.	Corporation		DE	2019-04-01	1604 TYNEWOOD DRIVE		NASHVILLE	TN	37215	https://www.getbeast.com	DEALMAKER SECURITIES LLC	Y	0001872856	008-70756	000315324
0001421744-22-000011	0	The issuer raised approximately $1,974,614.17 during the offering period. Payments are still being processed; the exact amount has yet to be determined.		Cytonics Corp	Corporation		FL	2006-07-26	658 W INDIANTOWN RD	SUITE 214	JUPITER	FL	33458-7535	https://www.cytonics.com	SI SECURITIES, LLC	N	0001603038	008-69440	000170937
0001665160-22-002557	0			FloSpine Holdings, Inc.	Corporation		DE	2022-06-02	3651 FAU Blvd, Suite 400		Boca Raton	FL	33431	https://flospine.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001944929-22-000001	0			Mayes Clothing Co of New York City, LLC	Limited Liability Company		NY	2020-03-24	629 WEST 170TH ST	STE 1D	NEW YORK	NY	10032	www.mayesnyc.com	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001669191-22-000931	0			ChipBrain LLC	Corporation		DE	2021-05-06	16192 COASTAL HIGHWAY		LEWES	DE	19958-9776	www.chipbrain.com/		N			
0001665160-22-002545	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $215,112.47 and 8,195 number of securities.		XRHealth, Inc.	Corporation		DE	2020-05-05	1330 BEACON ST STE 209		BROOKLINE	MA	02446	https://www.xr.health/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002546	0	At the close of the offering, the issuer closed on $712,386.21 and 389,601 shares of common stock.		E-Sports Ventures, Inc.	Corporation		RI	2019-01-14	206 WATERMAN STREET		PROVIDENCE	RI	02906-4301	ritualmotion.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001901207-22-000006	0	$48,329.00 IN INVESTMENT COMMITMENTS. PAYMENTS STILL PROCESSING; FINAL FIGURE NOT YET DETERMINED.		Mindwise, Inc.	Corporation		DE	2019-07-15	1555 BOTELHO DR. #124	#240	WALNUT CREEK	CA	94596	www.mindwise.io	MicroVenture Marketplace Inc.	N	0001478147	008-68458	152513
0001665160-22-002540	0	At the close of the offering, the issuer closed on $116,240.69 and 97,055 number of securities.		Metallum3D, Inc.	Corporation		DE	2016-03-14	2405 GRANITE RIDGE RD	UNIT B	ROCKVILLE	VA	23146	https://www.metallum3d.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002541	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $324,631.47 and 23,880 number of securities.		TRAQ, Inc.	Corporation		DE	2016-02-05	1930 KELLOGG AVENUE		CARLSBAD	CA	92008	www.traq.health	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002555	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $694697.44 and 569,198 shares of common stock.		A7FL Inc	Corporation		FL	2014-05-28	9631 STONES RIVER PARK WAY		BOCA RATON	FL	33428	https://www.a7fl.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002554	0	At the close of the offering, the issuer closed on $1,049,481.63 and 208,566 number of securities.		Crowns & Hops, Inc.	Corporation		DE	2018-12-21	309 E HILLCREST BLVD, #121	#121	INGLEWOOD	CA	90301	https://crownsandhops.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002552	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $616,996.47 and 1,076,008 number of securities.		JelikaLite Corp.	Corporation		DE	2021-10-25	30 WALL STREET, 8TH FLOOR		NEW YORK	NY	10005	https://jelikalite.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002550	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $152,283.23 and 16,950 number of securities.		EnAct Systems Inc.	Corporation		DE	2012-12-21	6200 STONERIDGE MALL ROAD STE 300	PLEASANTON CA 94588	PLEASANTON	CA	94588	https://enact-systems.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002551	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $58,514.30 and 56,637 number of securities.		Scooterson, Inc.	Corporation		DE	2016-08-12	548 MARKET ST #71050	#71050	SAN FRANCISCO	CA	94104	https://scooterson.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002549	0	At the close of the offering, the issuer closed on $1,095,700.87 and 219,954 number of securities.		metaMedia Inc.	Corporation		WY	2019-08-30	600 5TH AVENUE	STE. 800 WEST	NEW YORK	NY	10020	www.metaiyeknights.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002548	0	At the close of the offering, the issuer closed on $75,870.66 and 65,203 number of securities.		GameIQ, Inc.	Corporation		CA	2014-10-08	2173 SALK AVE., SUITE 250	SUITE 204	CARLSBAD	CA	92008	https://www.spindyapp.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002544	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $1,096,939.31 and 2,603,279 number of securities.		One Roq Spirits, LLC	Limited Liability Company		NY	2012-03-12	430 VIRGINIA STREET	SUITE 401	BUFFALO	NY	14201	www.oneroqclub.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002542	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $61,873.37 and 64,791 number of securities.		WonderSpray, Inc.	Corporation		DE	2019-12-03	13008 KENSWICK DR		AUSTIN	TX	78753	wonderspray.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002539	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $891284.49 and 69,281 number of securities.		Swabbies Tech, Inc.	Corporation		DE	2010-06-15	20093 E. PENNSYLVANIA AVE	STE 3	DUNNELLON	FL	34432	https://betterfamilyinc.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002543	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $74,714.58 and 18,994 number of securities.		nVIAsoft Corp	Corporation		DE	2014-03-05	211 WARREN STREET, SUITE 518	SUITE 518	NEWARK	NJ	07103	https://www.nviasoft.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002547	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $251,022.84 and 113,334 number of securities.		FingoPay, LLC	Corporation		TX	2019-12-31	3400 N CENTRAL EXPY	STE 110-289	RICHARDSON	TX	75081	http://karbonpay.com	Wefunder Portal LLC	N	0001670254	007-00033	283503
0001670254-22-001008	0			Trade Street Jam Co.	Corporation		DE	2016-02-08	1880 Coney Island Avenue	#1012	Brooklyn	NY	11230	http://www.tradestjamco.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001665160-22-002553	0	At the close of the offering, the issuer closed on $804,654.82 and 83,296 number of securities.		Rumble Motors, Inc.	Corporation		CA	2019-07-02	4563 MAPLE CREST ST		SACRAMENTO	CA	95834	www.rumblemotors.com	StartEngine Capital LLC	N	0001665160	007-00007	
0001665160-22-002538	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $45,134.42 and 4,324 number of securities.		College Coaching Network Inc.	Corporation		MO	2016-12-19	12936 CRAIG AVE	SUITE 700	GRANDVIEW	MO	64030	https://collegecoachingnetwork.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002537	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $802677.04 and 35,123 number of securities.		PVpallet, Inc.	Corporation		DE	2020-11-19	2495 280TH		MONTROSE	IA	52639	https://www.pvpallet.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001880675-22-000003	0			Popwheels, Inc.	Corporation		DE	2021-07-29	1294 DEAN STREET		BROOKLYN	NY	11216	www.popwheels.energy	RIALTO MARKETS LLC	N	0001670539	008-69756	000283477
0001665160-22-002536	0	At the close of the offering, the issuer closed on $211,718.61 and 222,816 shares of common stock.		Argex Beverages, Inc.	Corporation		DE	2021-04-09	2 BRANDERMILL DR		HENDERSON	NV	89052	www.argexbeverages.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002535	0	At the close of the offering, the issuer closed on $249,903.60 and 243,955 number of securities.		Praise Token, Inc.	Corporation		DE	2021-03-29	1128 OCEAN PARK BLVD, APT 314	APT 314	SANTA MONICA	CA	90405	http://www.praisetoken.io/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002534	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $98,796.96 and 6,677 number of securities.		Curenta Enterprise Corp.	Corporation		DE	2020-08-03	23141 VERDUGO DR, SUITE 103	SUITE 103	LAGUNA HILLS	CA	92653	https://www.curenta.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001904386-22-000004	0			Lake Noire Legacy Holdings, LLC	Limited Liability Company		DE	2021-12-07	1702 MARTIN LUTHER KING JR. BOULEVARD		DALLAS	TX	75215	https://lakenoire.com/	NSSC Funding Portal, LLC	N	0001665614	007-00012	
0001665160-22-002532	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $130,609.89 and 129,799 number of securities.		SMARTfit, Inc.	Corporation		CA	2013-05-16	20 N. AVIADOR ST UNIT C	UNIT C	CAMARILLO	CA	93010	https://www.smartfitinc.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002533	1		Issuer is updating CFO position and adding a claim disclosure	Boone's Bourbon Co.	Corporation		SC	2022-03-08	105 S Norfolk Way		Charleston	SC	29445	www.drinkboonesbourbon.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001938967-22-000003	0	The Offering closed successfully on 9/29/2022, having received investment commitments of $4,982,420.18, although a final accounting has not taken place.		Metaintro Inc.	Corporation		DE	2022-06-14	2138 LEATHER FERN PLACE		SANIBEL	FL	33957	https://www.metaintro.com/	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001665160-22-002529	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $1,072,033.91 and 28,860 shares of common stock.		Enginuity Power Systems, Inc.	Corporation		DE	2015-11-07	730 S. WASHINGTON STREET		ALEXANDRIA	VA	22314	https://enginuitypowersystems.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002528	0	At the close of the offering, the issuer closed on $176,618.61 and 4,284 number of securities.		T4L INC	Corporation		DE	2020-08-25	8267 PARKSTONE PL	108	NAPLES	FL	34120	https://www.t4l.me/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002527	0	At the close of the offering, the issuer closed on $293,744.47 and 66,515 number of securities.		Everybody Water, Inc.	Corporation		DE	2020-11-06	132 CHIEF JUSTICE CUSHING HIGHWAY	SUITE 70	COHASSET	MA	02025	everybodywater.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002526	0	At the close of the offering, the issuer closed on $384,113.69 and 41,128 number of securities.		Seltzer Revolutions, Inc.	Corporation		DE	2020-04-13	2911 BRANCIFORTE DR	STE. 800 WEST	SANTA CRUZ	CA	95065	https://shop.mexiseltzer.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001670254-22-001006	0			Bit Body, Inc.	Corporation		DE	2012-09-06	548 Market St	PMB 80182	San Francisco	CA	94104	https://www.mtailor.com/	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001665160-22-002524	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $175,835.93 and 2,321,232 number of securities.		Luxury Travel Hackers, Inc.	Corporation		DE	2019-02-12	203 SOUTH HASKELL AVE. STE. #D	STE. #D	DALLAS	TX	75226	https://luxurytravelhackers.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002523	0	At the close of the offering, the issuer closed on $92,812.87 and 41,207 number of securities.		Rap Plug Inc.	Corporation		DE	2018-08-05	1103 SILVERGATE LANE		MABLETON	GA	30126	https://rappluglive.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002522	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $1,069,481.64 and 1,189,309 number of securities.		Robobuoy Corp.	Corporation		DE	2021-11-08	2200 HUNT STREET, SUITE 203	PLEASE UPDATE THIS VALUE	DETROIT	MI	48207	https://www.marksetbot.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002521	0	Adjustment to the initial Form C-U filing. At the close of the offering, the issuer closed on $2,515,254.98 and 2,634,094 number of securities.		Phormed Inc	Corporation		NV	2019-05-15	1999 AVENUE OF THE STARS, #1100	SUITE 216	CENTURY CITY	CA	90067	www.phormed.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002520	0			SwitchBin, Inc															
0001665160-22-002519	0			Sparo.IO Corp															
0001665160-22-002518	0			Fisher Wallace Laboratories Inc.	Corporation		DE	2019-08-23	630 Flushing Avenue, Suite #104		Brooklyn	NY	11206	www.fisherwallace.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001746059-22-000361	0	At the close of the offering, the issuer closed on $60,900.00. The funds are currently being processed. The actual amount may be lower.		Tween the Tides, LLC	Limited Liability Company		MA	2019-04-04	43 RACE PT RD UNIT D		PROVINCETOWN	MA	02657	https://facebook.com/TheMaineMarketBangor	MainVest, Inc.	N	0001746059	007-00162	
0001747584-22-000036	0			CGB Green Liberty Notes LLC	Limited Liability Company		CT	2021-10-15	75 CHARTER OAK AVENUE	Suite 1-103	HARTFORD	CT	06106	invest.ctgreenbank.com	Raise Green, Inc.	N	0001747584	007-00191	301770
0001665160-22-002515	0		Addition of disclaimers	Rayton Solar, Inc.	Corporation		DE	2013-10-17	16600 Aston St		Irvine	CA	92606	rayton.co	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002513	0	At the close of the offering, the issuer closed on $64,138.95 and 6,917 number of securities.		Legal Graffiti Inc	Corporation		DE	2020-05-06	1 STUYVESANT OVAL		NEW YORK	NY	10009	legalgraffiti.app	StartEngine Capital, LLC	N	0001665160	007-00007	
0001929442-22-000007	0		extending raise to October 31, 2022. Updating Form C based on FINRA consult.	September Trees LLC (D.B.A Rize plus Rest Cafe)	Limited Liability Company		MD	2021-06-30	6009 Oxon Hill Rd	#405	Oxon Hill	MD	20745	rizerestcafe.com	Seed at the table	N	0001808131	007-00230	005548762
0001932958-22-000005	0		update to Form C language	Honor Your Flow, Incorporated	Corporation		DE	2021-10-18	7655 S. Bennett Avenue		Chicago	IL	60649	www.wehonoryourflow.com	Seed at the Table, LLC	N	0001808131	007-00230	005548762
0001665160-22-002514	0	At the close of the offering, the issuer closed on $152,658.54 and 15,090 number of securities.		Orbis Brakes, Inc.	Corporation		DE	2021-12-10	3200 DUTTON AVE STE 322		SANTA ROSA	CA	95407	orbisbrakes.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001948768-22-000001	0			ConorMatthewsBN2022 LLC	Limited Liability Company		DE	2022-09-13	8 THE GREEN STE 4000		DOVER	DE	19901	https://www.basenoteapp.com/artist/conormatthews	BaseNote LLC	N	0001867637	007-00315	
0001670254-22-001005	0			Moonshot Junior, Inc	Corporation		DE	2019-11-12	735 Saratoga ave	None	San Jose	CA	95129	http://www.moonpreneur.com		N			
0001746059-22-000360	0			DE L'OR CAKERY Co.	Corporation		NY	2019-05-07	279 CITY ISLAND AVE		BRONX	NY	10464	http://delorcakery.com	MainVest, Inc.	N	0001746059	007-00162	
0001665160-22-002512	1		Issuer is extending campaign end date.	Geoji, Inc.	Corporation		TX	2020-12-31	1400 YAGER DR		AUSTIN	TX	77833	https://www.geoji.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001746059-22-000359	0			PISTIL & POLLEN, LLC															
0001665160-22-002511	1		Issuer is updating subscription agreement and adding a joinder agreement	Jetoptera, Inc.	Corporation		DE	2015-06-01	144 Railroad Avenue Suite 302		Edmonds	WA	98020	https://www.jetoptera.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001746059-22-000358	0			DRAWDOWN BREWING CO, LLC	Limited Liability Company		MA	2018-12-18	94 FOREST HILLS ST APT 3		BOSTON	MA	02130	http://www.drawdownbrewing.com	MainVest, Inc.	N	0001746059	007-00162	
0001669191-22-000929	0		the issuer extended the offering deadline.	Petzey Technology, Inc.	Corporation		DE	2017-09-06	550 N Central Expressway	#726	McKinney	TX	75070	https://petzey.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001665160-22-002508	0	At the close of the offering, the issuer closed on $424,429.53 and 159,457 number of securities.		H. Mulligan Bespoke Libations Co.	Corporation		DE	2019-08-23	1013 CENTRE RD. SUITE 403-A		WILMINGTON	DE	19805	https://www.herculesmulligancompany.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002506	0			Sofabet Co.	Corporation		DE	2019-04-15	8 The Green, STE A		Dover	DE	19901	https://www.betsparket.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002505	0			Apis Cor Inc.	Corporation		DE	2019-12-19	3060 Venture Lane #101		Melbourne	FL	32934	https://apis-cor.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001948590-22-000001	0			canihaveabite LLC	Limited Liability Company		MO	2010-05-27	3525 GENESSEE ST		KANSAS CITY	MO	64111	https://www.canihaveabite.com/	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001896757-22-000009	0			Halen Technologies Inc	Corporation		DE	2022-04-01	651 N Broad St	STE 205	MIDDLETOWN	DE	19709	gethalen.com	Akemona, Inc.	N	0001748730	007-00173	000299685
0001892192-22-000002	1		This Form C Amendment is being filed for the purpose of amending the end date of the combined offerings to a date in the future specified in the Form C/A.	CLIPr Co	Corporation		DE	2020-07-13	11335 NE 122ND WAY		KIRKLAND	WA	98034	https://www.clipr.ai/	SI SECURITIES, LLC	N	0001603038	008-69440	000170937
0001816449-22-000003	0			Critical Mass Applications LLC	Limited Liability Company		DE	2019-04-03	103 SOUTH LAKE DRIVE		STAMFORD	CT	06903	https://www.manna-app.com		N			
0001665160-22-002504	0	At the close of the offering the issuer closed on $48,615.96 and 998,032 number of securities.		Peerless Public Safety Solutions Inc	Corporation		VA	2019-10-19	14321 WINTER BREEZE DRIVE STE 87	STE 87	MIDLOTHIAN	VA	23113	https://peerlessps.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001816449-22-000002	0			Critical Mass Applications LLC	Limited Liability Company		DE	2019-04-03	103 SOUTH LAKE DRIVE		STAMFORD	CT	06903	https://www.manna-app.com		N			
0001775767-22-000002	0			Tombot, Inc.	Corporation		DE	2017-10-13	19197 GOLDEN VALLEY ROAD, #638		SANTA CLARITA	CA	91387	https://tombot.com	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001670254-22-001000	0			Panhwar Jet inc	Corporation		DE	2021-02-11	1200 W lori Lane		Kamas	UT	84036	https://panhwarjet.com/	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001670254-22-001002	0			Bomb Enterprises, Inc.	Corporation		DE	2019-08-26	309 HIBBEN ST		Mount Pleasant	SC	29464	http://www.blenderbombs.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001896757-22-000007	0			Halen Technologies Inc.															
0001816449-22-000001	0	The issuer has raised a total amount of $149,242 during the offering period.		Critical Mass Applications LLC	Limited Liability Company		DE	2019-04-03	103 SOUTH LAKE DRIVE		STAMFORD	CT	06903	http://www.manna-app.com	Wefunder Portal LLC	N	0001670254	007-00033	283503
0001665160-22-002502	1		Issuer is extending campaign end date.	Clearwater Distilling Co LLC	Limited Liability Company		UT	2018-04-23	564 W 700 S, SUITE 401	SUITE 401	PLEASANT GROVE	UT	84062	https://www.clearwaterdistilling.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002501	1		Issuer is extending campaign end date.	Origen Imports, Inc.	Corporation		DE	2021-12-09	233 PRATT ST.		LONGMONT	CO	80501	realmezcal.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002499	1		Issuer is extending campaign end date and updating name	VoiceLessons Inc.	Corporation		DE	2016-07-15	1101 S Milliken Ave Ste E #625		Ontario	CA	91761	https://www.voicelessons.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001927762-22-000005	0		Campaign will be extended.	Dome Audio Inc.	Corporation		DE	2019-04-16	47 US HIGHWAY 46	UNIT 7	HACKETTSTOWN	NJ	07840	www.domeaudioinc.com	PicMii Crowdfunding LLC	N	0001817013	007-00246	310171
0001927762-22-000004	0			Papillon Pavilion Records															
0001915878-22-000003	0	The Offering closed successfully on 9/27/2022, having received investment commitments of $66,055, although a final accounting has not taken place.		Thomas&Wynter R&D, L.L.C.	Limited Liability Company		MD	2014-06-03	5016 69TH AVENUE		RIVERDALE PARK	MD	20737	https://www.twtote.com	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001948360-22-000003	0			crwdunit, inc.	Corporation		DE	2022-07-29	10815 RANCH ROAD 2222	BUILDING 3B, SUITE 100-527	AUSTIN	TX	78730	crowdpointtech.com	MUNDIAL FINANCIAL GROUP, LLC	N	0001455325	008-68154	000149531
0001895722-22-000001	0	The Offering closed successfully on 9/27/2022, having received investment commitments of $145,822, although a final accounting has not taken place.		ALL3D, Inc.	Corporation		DE	2020-03-02	541 19TH AVENUE		SAN FRANCISCO	CA	94121	https://www.all3d.ai	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001665160-22-002496	0			Gamerz Inc.	Corporation		CA	2020-10-08	53 Oakhurst Road		Irvine	CA	92620	www.gamelevate.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002495	0		minimum investment amount update	Vasitum Inc	Corporation		DE	2021-12-28	185 Hudson ST, Suite 2500		Jersey City	NJ	07311	www.vasitum.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001934595-22-000002	1		Revised for material changes on September 27, 2022. Amendment for: a) extension of offering close date from October 4, 2022, to October 20, 2022 and b) changes to financial statements to reflect recommendations by their CPA during their Financial Review	Arepa Zone LLC	Limited Liability Company		DC	2013-10-13	3160 SPRING STREET, UNIT B		FAIRFAX	VA	22031	https://arepazone.com/	SMBX, Inc.	N	0001707214	007-00129	290186
0001816336-22-000002	0			Northeast Productions, Inc.	Corporation		OH	1989-11-24	7784 Arlington Ave NW		Massillon	OH	44646	https://www.alive.org/		N			
0001665160-22-002494	0			Vasitum Inc	Corporation		DE	2021-12-28	185 Hudson ST, Suite 2500		Jersey City	NJ	07311	www.vasitum.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001746059-22-000357	0			Flying Leap Vineyards, Inc.	Corporation		AZ	2010-11-17	7312 E 45TH ST		TUCSON	AZ	85370	http://flyingleapvineyards.com	MainVest, Inc.	N	0001746059	007-00162	
0001936096-22-000005	0		extending the raise to November 1, 2022	Chewbox Inc.	Corporation		DE	2021-05-17	1200 ALA MOANA BLVD	Second Floor	HONOLULU	HI	96814	www.chewbox.com	Seed at the Table	N	0001808131	007-00230	005548762
