ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-22-003133	2	Sean Kilgrow	Director	2022-12-29
0001665160-22-003133	3	Wayne Hagan	Director	2022-12-29
0001665160-22-003132	3	Michel Arseneau	CTO, Director	2022-12-29
0001665160-22-003132	1	Landon Wilkinson	CEO, President, Director	2022-12-29
0001665160-22-003132	2	Lonnie Gienger	CFO, Director	2022-12-29
0001665160-22-003131	2	Pankaj Jain	Treasurer and Director	2022-12-29
0001665160-22-003131	1	Kishlay Anand	CEO, President and Director	2022-12-29
0001665160-22-003130	1	Dr. James Rosenzweig	Director	2022-12-29
0001935346-22-000004	1	Phillip Akhzar	Chief Executive Officer, President and Sole Director	2022-12-28
0001860436-22-000003	2	Travis Woods	Director	2022-12-29
0001860436-22-000003	1	Joshua Pigford	Director	2022-12-29
0001760726-22-000005	1	Andrew Ferenci	Manager	2022-12-29
0001665160-22-003129	1	George Levy	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-12-28
0001670450-22-000003	1	Jerry Daniel Claridge	Co-founder and CEO	2022-12-28
0001948360-22-000004	1	Sean Brehm	Chief Executive Officer	2022-12-28
0001948360-22-000005	1	Sean Brehm	Chief Executive Officer	2022-12-28
0001683168-22-008664	1	/s/ Tyler Gottstein	CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-12-28
0001821320-22-000002	2	Alex Abrams	Secretary, Director	2022-12-28
0001821320-22-000002	1	Jurrien Swarts	CEO, Director	2022-12-28
0001821320-22-000001	1	Jurrien Swarts	CEO, Director	2022-12-27
0001821320-22-000001	2	Alex Abrams	Secretary, Director	2022-12-27
0001665160-22-003128	2	Evan Fisher	COO, President, Secretary, Director	2022-12-28
0001665160-22-003128	1	Aaron Basch	CEO, Treasurer and Director	2022-12-28
0001665160-22-003127	1	Urban Austin Kiernan	Chairman, President, Treasurer and Principle Financial Officer	2022-12-28
0001665160-22-003127	2	Jeffrey D. Zimmerman	Secretary and General Counsel	2022-12-28
0001746059-22-000437	1	Thomas Olsen	Managing Partner	2022-12-28
0001876413-22-000006	1	Duane A. Quamina	President & CEO	2022-12-28
0001665160-22-003125	1	Binhan (Marcus) Li	Founder, CEO, Director	2022-12-28
0001665160-22-003125	2	Cody Dumont	Managing Director	2022-12-28
0001951831-22-000003	1	Sharon Maxwell	CEO	2022-12-28
0001665160-22-003123	2	Liane Adkins	CFO, COO	2022-12-28
0001665160-22-003123	3	Craig Garcia	CTO, CIO	2022-12-28
0001665160-22-003123	1	Justin Harrison	CEO, Founder	2022-12-28
0001527854-22-000004	2	Leif Emil Jattne	Manager, Co-Chief Executive Officer, Co-Founder	2022-12-28
0001527854-22-000004	1	Angel Joseph Santos	Manager, Co-Chief Executive Officer, Co-Founder	2022-12-28
0001746059-22-000436	1	Stuart Ginsburg	Owner and CoFounder	2022-12-28
0001213900-22-082973	1	/s/ Neville Golvala	CEO	2022-12-27
0001954540-22-000004	1	Anand Kumar	Treasurer	2022-12-22
0001683168-22-008650	1	/s/ H. Matthew Chambers	CEO/President	2022-12-27
0001811251-22-000002	1	Emily Cisek	CEO	2022-12-27
0001746059-22-000435	1	Brian Keith	Owner and CEO	2022-12-27
0001665160-22-003121	2	James Dotter	CTO, COO and Director	2022-12-27
0001665160-22-003121	1	Steven Maxey	CEO, President, Director, and Principal Financial Officer	2022-12-27
0001665160-22-003120	2	Waldi Harris	Director of Administration/Principal Accounting Officer	2022-12-27
0001665160-22-003120	1	Peter Harris	President, CEO, Director, and Corporate Treasurer	2022-12-27
0001670254-22-001311	1	Eric Bovich	Co-Founder / Chief Revenue Officer	2022-11-28
0001670254-22-001311	2	Evan Kadow	Co-Founder / Chief Brewing Officer	2022-11-28
0001941210-22-000002	1	Keith Wakeman	CEO, Manager and Co-Founder	2022-12-27
0001957139-22-000003	1	Sandra Deaguero	CEO	2022-12-27
0001665160-22-003119	1	Steven J. Christini	CEO and Board Director	2022-12-22
0001665160-22-003119	2	Tony P. Smith	Vice President of Sales	2022-12-22
0001665160-22-003119	3	Michael Christini	Secretary, Treasurer and Board Director	2022-12-22
0001953427-22-000001	1	Mark McNally	Director	2022-12-23
0001746059-22-000434	3	Isabel Strobing	Director of Marketing, MAINVEST HOLDINGS CORP	2022-12-23
0001746059-22-000434	1	Nicholas Mathews	CEO, MAINVEST HOLDINGS CORP.	2022-12-23
0001746059-22-000434	2	Robert Hoyt	Director of Operations, MAINVEST HOLDINGS CORP.	2022-12-23
0001746059-22-000434	4	Ben Blieden	Board of Directors, MAINVEST HOLDINGS CORP.	2022-12-23
0001670254-22-001309	1	Michael Pratt	Founder, CEO	2022-12-23
0001670254-22-001309	2	Loc Bastrad	Founder, CTO	2022-12-22
0001670254-22-001309	3	Prasad (Malcolm) Mathews	CFO	2022-12-22
0001670254-22-001309	4	Michael Pratt	Founder, CEO	2022-12-22
0001592234-22-000008	1	Taylor Mason	CEO	2022-12-23
0001592234-22-000007	1	Fernando Navas	CEO	2022-12-23
0001665160-22-003116	1	Tyler Boone	CEO, CFO, President, Treasurer, and Director	2022-12-22
0001957729-22-000001	3	Alex Calfee	EVP	2022-12-23
0001957729-22-000001	1	Jeff Gibson	COO	2022-12-23
0001957729-22-000001	2	Mike Grow	CEO	2022-12-23
0001665160-22-003112	1	Andrew Clark	CEO, Principal Executive Officer and Director for California Cowboy	2022-12-22
0001665160-22-003112	2	Charles Brown	Principal Financial Officer and Controller	2022-12-22
0001665160-22-003112	3	Joelle Maher	Board of Directors	2022-12-22
0001665160-22-003112	4	Chris Reynolds	Board of Directors	2022-12-22
0001670254-22-001304	1	Tobin Brogunier	Founder, CEO and Inventor of Virtual Storefronts	2022-12-20
0001665160-22-003111	5	Mark Holman	Chief of Partnerships	2022-12-22
0001670254-22-001306	1	Byron Wurdeman	Founder of ResBed	2022-10-14
0001665160-22-003111	4	Jason Politte	Chief of People and Program Development	2022-12-22
0001665160-22-003111	3	Dr. Gabriella Miramontes	Chief Learning Officer	2022-12-22
0001665160-22-003111	2	Mark Saye	COO	2022-12-22
0001665160-22-003111	1	Dr. Gene Coughlin	President, CEO, Secretary, CFO	2022-12-22
0001670254-22-001304	2	Tobin Brogunier	Founder, CEO and Inventor of Virtual Storefronts	2022-12-19
0001665160-22-003110	2	Bob Rutter	Director	2022-12-22
0001665160-22-003110	1	Arnold Leitner	CEO, Director	2022-12-22
0001665160-22-003109	1	Isaac Hayes III	CEO, President, Secretary, Treasurer, Director	2022-12-22
0001665160-22-003108	3	Michele Carlin	Director	2022-12-22
0001665160-22-003108	4	Andrew Titus	COO, Director	2022-12-22
0001665160-22-003108	5	Jim Castle	Director	2022-12-22
0001665160-22-003108	2	John Semper	Director	2022-12-22
0001665160-22-003108	1	Mel Sauder	President, current Principal Accounting Officer	2022-12-22
0001669191-22-001179	3	Steve Wilcenski	Principal Accounting Officer	2022-12-22
0001669191-22-001179	5	Steve Wilcenski	Board Member	2022-12-22
0001669191-22-001179	4	Jason  Taylor	Board Member	2022-12-22
0001669191-22-001179	2	Steve Wilcenski	Principal Financial Officer	2022-12-22
0001669191-22-001179	1	Steve Wilcenski	Principal Executive Officer	2022-12-22
0001669191-22-001178	9	Alfonso Paisley	Board Member	2022-12-22
0001669191-22-001178	8	Andrew Dillard	Board Member	2022-12-22
0001669191-22-001178	2	Gary Rushin	Principal Financial Officer	2022-12-22
0001669191-22-001178	1	Andrew Dillard	Principal Executive Officer	2022-12-22
0001669191-22-001178	4	Angel Jose	Board Member	2022-12-22
0001669191-22-001178	7	Joel  Carter	Board Member	2022-12-22
0001669191-22-001178	6	Maria Romina Talabucon	Board Member	2022-12-22
0001669191-22-001178	5	Gary Rushin	Board Member	2022-12-22
0001669191-22-001178	3	Andrew Dillard	Principal Accounting Officer	2022-12-22
0001958686-22-000001	1	/s/ BEN HUDSON	CO-FOUNDER, CEO	2022-12-22
0001670254-22-001302	2	Philip Michael	CEO	2022-12-21
0001670254-22-001302	1	Temaria Davis	Vice President	2022-12-21
0001670254-22-001302	3	Philip Michael	CEO	2022-12-16
0001944126-22-000001	2	/s/ Chris Roberts	Manager	2022-12-22
0001944126-22-000001	1	/s/ Paul Wilcox	Manager	2022-12-22
0001957139-22-000002	1	Sandra Deaguero	CEO	2022-12-22
0001957139-22-000001	1	Sandra Deaguero	CEO	2022-12-22
0001665160-22-003107	2	Adam Hamilton	COO and Director	2022-12-22
0001665160-22-003107	1	Joshua Velasquez	CEO and Director	2022-12-22
0001670254-22-001300	2	Ole Andersen	Chairman	2022-11-29
0001670254-22-001300	3	Christian Nielsen	CEO	2022-11-29
0001670254-22-001300	1	Christian Risom	Boardmember	2022-11-29
0001665160-22-003106	2	Ronald S Leander	CPA CFO for AWOL Outdoors Inc	2022-12-22
0001665160-22-003106	1	Kevin F McGregor	CEO, Principal Executive Officer, and Director	2022-12-22
0001665160-22-003105	1	Kelly Roman	CEO, Director	2022-12-22
0001665160-22-003105	2	Charles Fisher	Chairman, CFO, Director, Secretary	2022-12-22
0001665160-22-003105	3	Simon Webster	Director	2022-12-22
0001670254-22-001298	2	Jeffrey C Bermant	CEO & Co-Founder	2022-12-21
0001670254-22-001298	1	Tara Holbrook	Director	2022-12-21
0001669191-22-001174	5	Robert Devlin	Board Member	2022-12-22
0001669191-22-001174	1	Robert Devlin	Principal Executive Officer	2022-12-22
0001669191-22-001174	2	Jason Payne	Principal Financial Officer	2022-12-22
0001669191-22-001174	3	Jason Payne	Principal Accounting Officer	2022-12-22
0001669191-22-001174	4	Alexander Shneider	Board Member	2022-12-22
0001670254-22-001294	1	Caroline F. MacDougall	CEO	2022-12-20
0001670254-22-001294	2	Gerald I. Isenberg	CFO	2022-12-20
0001670254-22-001294	3	Caroline MacDougall	Founder, Creator & CEO	2022-12-20
0001670254-22-001296	1	Ezra Goldman	CEO & co-founder	2022-12-21
0001943603-22-000005	1	Natalie Navi	Managing Member	2022-12-21
0001746059-22-000433	1	Kyle Mayer	Owner and Founder	2022-12-21
0001952985-22-000002	1	Alex Saliba	CFO	2022-12-21
0001670254-22-001293	1	Lisa E Brodersen	Board Member	2022-12-20
0001670254-22-001293	2	Jarrod Gerhardt	Mareting	2022-12-20
0001670254-22-001293	3	Lisa Myers	Founder and CEO	2022-12-20
0001821982-22-000016	1	Jason Johnson	Managing Member	2022-12-21
0001669191-22-001171	7	Robert Miyake	Board Member	2022-12-21
0001669191-22-001171	6	Rhonda Stevenson	Board Member	2022-12-21
0001669191-22-001171	5	Jeffery Greenblatt	Board Member	2022-12-21
0001669191-22-001171	4	Timothy Alatorre	Board Member	2022-12-21
0001669191-22-001171	3	Timothy Alatorre	Principal Accounting Officer	2022-12-21
0001669191-22-001171	1	Rhonda Stevenson	Principal Executive Officer	2022-12-21
0001669191-22-001171	2	Timothy Alatorre	Principal Financial Officer	2022-12-21
0001958044-22-000001	1	Alvise Pasqualetti	Manager	2022-12-21
0001857547-22-000001	2	Terrence Williams	Member/Manager	2022-12-21
0001857547-22-000001	1	Christine Gregory	Member/Manager	2022-12-21
0001644600-22-000149	3	Debra Wohlrab	COO	2022-12-21
0001644600-22-000149	5	Dori Tritt	CTO	2022-12-21
0001644600-22-000149	4	John Pfisterer	CFO	2022-12-21
0001644600-22-000149	2	Dress Wedding	CSO and Directo	2022-12-19
0001644600-22-000149	1	Michael W.K. Tsang	CEO and Director	2022-12-21
0001958971-22-000001	1	Timothy Jackson	Managing Member	2022-12-21
0001670254-22-001287	2	Dennis Maliani	CEO	2022-12-13
0001670254-22-001288	1	Brendan Rogers	CFO	2022-12-17
0001670254-22-001289	1	Mikael Nida	Co-Founder & CEO	2022-12-20
0001670254-22-001288	2	Christopher Roth	Founder/CEO	2022-12-17
0001944999-22-000002	1	Xavone Charles	President	2022-12-20
0001670254-22-001285	2	Art Shaikh	Founder & CEO	2022-12-20
0001670254-22-001291	2	Manthan Shah	Co-Founder & Product	2022-12-20
0001670254-22-001291	1	Dilip Jain	Co-Founder	2022-12-20
0001670254-22-001285	1	Connor Crown	Board Member	2022-12-20
0001670254-22-001287	1	Luis Lopez	COO	2022-12-13
0001930496-22-000003	2	/s/ Johnson Gituma	MANAGING DIRECTOR AND HEAD OF PARTNERSHIP	2022-12-20
0001930496-22-000003	1	/s/ Richard Machomba	CHIEF EXECUTIVE OFFICER	2022-12-20
0001665160-22-003104	2	Nikita Cheniuntai	CTO	2022-12-20
0001665160-22-003104	1	Anna Cheniuntai	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-12-20
0001957519-22-000004	2	Rob Thorpe	COO	2022-12-20
0001957519-22-000004	1	Chad Scarborough	FOUNDER AND CEO	2022-12-20
0001592234-22-000006	1	Patricia Dine	Manager	2022-12-20
0001665160-22-003103	1	Frank Adamo	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-12-20
0001709244-22-000005	1	/s/ Andrew Torba	Chief Executive Officer	2022-12-20
0001943451-22-000003	1	Benjamin Baltes	CEO	2022-11-10
0001943451-22-000003	3	Malcolm Bird	COO	2022-11-10
0001943451-22-000003	2	Zach Oligschlaeger	CTO	2022-11-10
0001670254-22-001282	1	Simon Hedley	Treasurer	2022-12-19
0001670254-22-001282	2	Thomas Matzen	Founder	2022-12-16
0001665160-22-003101	1	Seth Yudof	CEO and Director	2022-12-20
0001665160-22-003101	2	Jayson Pearson	CFO, Secretary, and Director	2022-12-20
0001665160-22-003100	5	Dr. Rhonda Alexander	Chief Regulatory Officer, Director	2022-12-20
0001665160-22-003100	3	Ryan Westphal	Chief Engineer, Secretary of the Board	2022-12-20
0001665160-22-003100	2	Matthew Croll	CFO	2022-12-20
0001665160-22-003100	1	Jennifer Westphal	CEO	2022-12-20
0001665160-22-003100	6	Makeva Phelps	COO	2022-12-20
0001665160-22-003100	7	David Hintzsche	Chairman of the Board	2022-12-20
0001665160-22-003100	4	Kristin Perez	Chief Marketing Officer, Director	2022-12-20
0001665160-22-003099	1	Robert Schultz	CEO, President, Sole Director CFO/Principal Accounting Officer	2022-12-20
0001665160-22-003098	3	Jinn Wu	Chairman & Director	2022-12-20
0001665160-22-003098	4	Johnson Lau	Director	2022-12-20
0001665160-22-003098	2	Michael Dorsey	Director of Finance and Accounting	2022-12-20
0001665160-22-003098	1	Diane Tang-Liu	CEO, President and Director	2022-12-20
0001665160-22-003097	2	Christopher Morton	Secretary and Director	2022-12-20
0001665160-22-003097	1	Richard Janney	CFO	2022-12-20
0001665160-22-003096	2	Reggie Gresham	Manager	2022-12-20
0001665160-22-003096	1	John Beran	Manager	2022-12-20
0001670254-22-001280	2	Julie Rasmussen	Founder & CEO	2022-12-19
0001670254-22-001280	1	Woodson Hobbs	COO/CIO	2022-12-19
0001665160-22-003094	3	Irene Ann Waldridge	CTO and Director	2022-12-20
0001665160-22-003094	2	Toni May Hastings	VP of Administration and Principal Accounting Officer	2022-12-20
0001665160-22-003094	1	John Foster Dinusson	CEO and Director	2022-12-20
0001956480-22-000002	1	Meww Gomez	CEO	2022-12-20
0001956480-22-000001	1	Jasmin-Ayana Moy	CEO	2022-12-20
0001670254-22-001274	2	Josh Nielsen	CEO	2022-12-19
0001670254-22-001274	1	javier adrian lopez	Chief Product Officer	2022-12-19
0001665160-22-003088	4	Joe Canterbury	Director	2022-12-19
0001665160-22-003088	3	Matt Gase	Director	2022-12-19
0001665160-22-003088	1	Mark Turner	CEO, President, principal accounting officer, and Director	2022-12-19
0001665160-22-003088	2	David Steakley	Director	2022-12-19
0001665160-22-003087	1	Vikram Wadhawan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-12-19
0001665160-22-003089	1	Mark McCormick	CEO, Treasurer, Principal Accounting Office, Director	2022-12-19
0001665160-22-003089	2	Zachary Zeller	President, Secretary, Director	2022-12-19
0001670254-22-001275	1	Dr. Brittany Barreto	CEO, Founder	2022-12-19
0001665160-22-003090	1	Nikolaos Pnevmatikakis	CEO and CFO	2022-12-19
0001665160-22-003090	2	Solomon Mordechai	Director and Founder	2022-12-19
0001670254-22-001278	1	Ana Hilda Sosa	Co-Founder & COO	2022-12-19
0001670254-22-001278	2	Jan Heinvirta	Co-Founder & CEO	2022-12-19
0001665160-22-003091	1	Patrick Johnson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-12-19
0001665160-22-003092	1	Geff Woodward	CEO, Chairman of BOD, Principal Accounting Officer	2022-12-19
0001665160-22-003092	2	Trond Henning Olesen	CTO, Vice Chairman	2022-12-19
0001709244-22-000002	1	/s/ Andrew Torba	Chief Executive Officer	2022-12-19
0001949283-22-000001	1	Mark Julian	President	2022-12-19
0001746059-22-000432	1	Dayne Bartscht	Managing Partner	2022-12-19
0001669191-22-001169	6	Liang  Chang	Board Member	2022-12-19
0001669191-22-001169	5	Xiangwu Zhang	Board Member	2022-12-19
0001669191-22-001169	4	Yuan Wang	Board Member	2022-12-19
0001669191-22-001169	3	Yuan Wang	Principal Accounting Officer	2022-12-19
0001669191-22-001169	2	Yuan Wang	Principal Financial Officer	2022-12-19
0001669191-22-001169	1	Yuan Wang	Principal Executive Officer	2022-12-19
0001665160-22-003086	4	Michael Kane	Director	2022-12-19
0001665160-22-003086	5	Michael Horn	Director	2022-12-19
0001665160-22-003086	3	Steve Kleiman	Director	2022-12-19
0001665160-22-003086	2	Jay Ward	Director	2022-12-19
0001665160-22-003086	1	Scott Hansen	CEO	2022-12-19
0001943467-22-000003	2	Rahul Brahmbhatt	Director	2022-12-19
0001943467-22-000003	1	Andrew Hutton	Director	2022-12-19
0001937440-22-000004	1	Hoda Rezaei Mehr	President, Chief Executive Officer and Director	2022-12-19
0001937440-22-000004	2	Arash Raeisi Nia	Director	2022-12-19
0001790674-22-000008	1	Liza Paola Velarde Calvillo	Director	2022-12-19
0001790674-22-000008	3	Juan Felipe Yee de Leon	Director	2022-12-19
0001790674-22-000008	2	Alejandro Abarca Blanco	Director	2022-12-19
0001954890-22-000001	2	Doug Ellenoff	Co-founder & Advisor	2022-12-19
0001954890-22-000001	3	Jim Dowd	Co-founder & Advisor	2022-12-19
0001954890-22-000001	1	Sherwood Neiss	CEO	2022-12-19
0001670254-22-001273	2	Tal Shachar	Director	2022-12-19
0001670254-22-001273	3	Miles Penn	Founder	2022-12-17
0001670254-22-001273	1	Rafael Witten	Board Member	2022-12-19
0001833215-22-000002	1	Mohammad Mehdizadehnasrabadi	Manager of the Issuer's Managing Member	2022-12-19
0001765330-22-000004	1	Jon Rimanelli	Director	2022-12-19
0001840495-22-000009	1	Robert Cefail	Founder and CEO	2022-12-19
0001957519-22-000002	1	Scott Seidewitz	CEO	2022-12-16
0001957519-22-000002	2	Dan Hirsch	CTO	2022-12-16
0001957519-22-000002	3	Sheila Tan	CMO	2022-12-16
0001670254-22-001269	1	Caroline Iob Pavan	President	2022-12-15
0001670254-22-001269	2	travis davenport	partner	2022-12-15
0001670254-22-001269	3	Vinnie Pavan	Founder/ CEO	2022-12-15
0001957519-22-000001	1	Scott Seidewitz	CEO	2022-12-16
0001957519-22-000001	2	Dan Hirsch	CTO	2022-12-16
0001957519-22-000001	3	Sheila Tan	CMO	2022-12-16
0001957519-22-000003	1	Chad Scarborough	FOUNDER AND CEO	2022-12-16
0001957519-22-000003	2	Rob Thorpe	COO	2022-12-16
0001930889-22-000007	1	Alan Lewis	Chief Financial Officer	2022-12-16
0001930889-22-000006	1	Daniel O'Connor	Director and Officer	2022-12-16
0001670254-22-001268	1	Philip Michael	CEO, NYCE	2022-12-15
0001670254-22-001266	1	Keely Wachs	Board Member	2022-12-14
0001670254-22-001266	2	Ann Kletz	CEO	2022-12-14
0001670254-22-001266	3	Allison Kelly	Board Member	2022-12-14
0001670254-22-001272	2	Christian Braun	Collector of Collectors & CEO	2022-12-16
0001670254-22-001266	4	Lindsey Jones	Co-CEO	2022-12-14
0001670254-22-001272	1	Ted Huffman	Board Member	2022-12-16
0001665160-22-003084	2	Jeffrey D. Zimmerman	Secretary and General Counsel	2022-12-16
0001665160-22-003084	1	Urban Austin Kiernan	Chairman, President, Treasurer and Principle Financial Officer	2022-12-16
0001665160-22-003083	1	Jamie Jones	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-12-16
0001665160-22-003083	2	Kristine Leavitt	COO, Director	2022-12-16
0001874810-22-000001	1	Benjamin Duvall	Director	2022-12-16
0001874810-22-000001	2	Brian Goldberg	Director	2022-12-16
0001670254-22-001264	1	Amanda Giannini	CFO	2022-12-15
0001670254-22-001264	2	Cliff Han	Founder and CEO	2022-12-15
0001665160-22-003081	2	Charles Fisher	Chairman, CFO, Director, Secretary	2022-12-16
0001665160-22-003081	1	Kelly Roman	CEO, Director	2022-12-16
0001665160-22-003081	3	Simon Webster	Director	2022-12-16
0001644600-22-000147	1	Patrick Horgan	President and CEO, and Director	2022-12-16
0001644600-22-000147	2	Bradley Damm	Vice President and Sales, and Director	2022-12-16
0001746059-22-000431	1	Michael Cimino	Managing Member	2022-12-16
0001665160-22-003080	1	Aaron Mottern	CEO, Principal Accounting Officer, and Director	2022-12-16
0001670254-22-001263	2	Cliff Han	Founder and CEO	2022-12-15
0001670254-22-001263	1	Amanda Giannini	CFO	2022-12-15
0001928576-22-000004	1	Richard Dwyer	Chief Executive Officer	2022-12-15
0001849878-22-000004	1	/s/ Giancarlo E. Fazzi	Director	2022-12-15
0001665160-22-003078	2	Ash Robbins	CTO, Director, co-founder and machine learning lead	2022-12-15
0001665160-22-003078	1	Michael Ora Powell	CEO, co-founder, Director and biomechanics lead	2022-12-15
0001665160-22-003076	3	Brent Adam	CFO	2022-12-15
0001665160-22-003076	2	Charles E Harrel	Chief Legal Officer, Secretary and Director	2022-12-15
0001665160-22-003076	1	Anthony Bash	CEO, Director and President	2022-12-15
0001775794-22-000008	1	Sean Worthington	CEO	2022-12-15
0001665160-22-003074	3	Jeannette P. David	Secretary and Director	2022-12-15
0001665160-22-003074	2	James W. Paull	Treasurer and Director	2022-12-15
0001665160-22-003074	1	James B. Paull	President, CEO, principal accounting officer, and Director	2022-12-15
0001683168-22-008460	1	/s/ H. Matthew Chambers	CEO/President	2022-12-15
0001665160-22-003073	1	Narendra Patil	Founder, President, CEO and Chairman of the Board	2022-12-15
0001665160-22-003073	2	Uday Dhanikonda	Co-founder, SVP of Engineering, CFO, Treasurer, Secretary and Member of Board of Director	2022-12-15
0001746059-22-000430	1	Lashauna Jones	Owner and Founder	2022-12-15
0001665160-22-003072	1	Dele Atanda	CEO & President	2022-12-15
0001665160-22-003071	1	Justin Lee	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-12-15
0001669191-22-001167	1	Nikita Ryjih	Principal Executive Officer	2022-12-15
0001669191-22-001167	2	Nikita Ryjih	Principal Financial Officer	2022-12-15
0001669191-22-001167	3	Nikita Ryjih	Principal Accounting Officer	2022-12-15
0001669191-22-001167	4	Marshall  Mayer	Board Member	2022-12-15
0001669191-22-001167	5	Nikita Ryjih	Board Member	2022-12-15
0001669191-22-001167	6	Eric Abdykalykov	Board Member	2022-12-15
0001956001-22-000001	1	Chris Cupero	President and Chief Operating Officer	2022-12-15
0001665160-22-003070	2	Michael Collins	CFO	2022-12-15
0001665160-22-003070	1	Michael Green	CEO, Sole Director	2022-12-15
0001644600-22-000144	1	Richard Chin	CEO and Director	2022-12-15
0001665160-22-003067	1	Yoel Wolhendler	CMO, Director	2022-12-14
0001665160-22-003068	3	Dionisios Trakas	Secretary, Director	2022-12-14
0001665160-22-003068	2	Andrew Roiniotis	Vice President, Treasurer, Director, and Principal Accounting Officer	2022-12-14
0001665160-22-003068	1	Isabelle Roiniotis	President, Director	2022-12-14
0001817571-22-000001	1	SaLisa L. Berrien	CEO & Director	2022-12-05
0001665160-22-003066	3	Bill Davis	Vice-Chairman & Secretary	2022-12-14
0001665160-22-003066	4	Raffaela Dune	Board Member	2022-12-14
0001665160-22-003066	5	Whitney Stevens	Board Member	2022-12-14
0001665160-22-003066	6	David Stoller	Board Member	2022-12-14
0001665160-22-003066	1	John Williams	CEO	2022-12-14
0001665160-22-003066	2	Stephane Larocque	COO	2022-12-14
0001669191-22-001163	1	Seymour Segnit	Principal Executive Officer	2022-12-14
0001669191-22-001163	2	Seymour Segnit	Principal Financial Officer	2022-12-14
0001669191-22-001163	3	Seymour Segnit	Principal Accounting Officer	2022-12-14
0001669191-22-001163	4	Seymour Segnit	Board Member	2022-12-14
0001669191-22-001163	5	Amy Rau Segnit	Board Member	2022-12-14
0001669191-22-001161	1	Peter Kaufman	Principal Executive Officer	2022-12-14
0001669191-22-001161	2	Peter Kaufman	Principal Financial Officer	2022-12-14
