ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001669191-22-000683	1	Gobekli Inc.	Daniel Done	Principal Executive Officer
0001670254-22-000696	1	LAWRENCEVILLE PLASMA PHYSICS, INC.	Eric J. Lerner	President and Chief Scientist
0001899900-22-000003	1	Cheyenne Legends, Inc.	/s/ Lynne Koenigsberg	President
0001665160-22-001903	1	Retina Technologies, Inc.	Claudio Randal Serafini	Chief Executive Officer
0001847831-22-000003	1	Rule G Brewing Company, LLC	Ralph Rapa	President
0001665160-22-001902	1	Revolution MD, Inc	Joshua Kimmel	President and Founder
0001836323-22-000005	1	Fanchise League Company, LLC FCF Team 8, LLC	Cyrus Farudi	Chief Operating Officer
0001665160-22-001900	1	CHELLY, Inc.	Nicolas Guerrieri	Director, CEO, and CFO
0001836307-22-000004	1	Fanchise League Company, LLC - FCF Team 1 LLC	Cyrus Farudi	Chief Operating Officer
0001840948-22-000004	1	Equity Platforms, Inc.	Vernon Jones	CEO
0001665160-22-001896	1	OOTIFY, INC.	Ravi Sharma	CEO, Director, Principal Financial Officer
0001858449-22-000002	1	Mediloq, Inc.	Daniel Estoque	CEO
0001933083-22-000003	1	Fanchise League Company, LLC FCF Team 6, LLC	Cyrus Farudi	Chief Operating Officer
0001836320-22-000003	1	Fanchise League Co LLC FCF Team 2, LLC	Cyrus Farudi	Chief Operating Officer
0001933083-22-000002	1	Fanchise League Company, LLC FCF Team 7, LLC	/s/Cyrus Farudi	Chief Operating Officer
0001836323-22-000004	1	Fanchise League Co LLC FCF Team 4, LLC	Cyrus Farudi	Chief Operating Officer
0001836323-22-000003	1	Fanchise League Co LLC FCF Team 3, LLC	Cyrus Farudi	Chief Operating Officer
0001836307-22-000003	1	Fanchise League Company, LLC - FCF Team 1 LLC	Cyrus Farudi	Chief Operating Officer
0001933260-22-000002	1	Fanchise League Company, LLC FCF Team 5, LLC	Cyrus Farudi	Chief Operating Officer
0001926429-22-000006	1	Kravegan LLC Where Food Is Love	LaTasha Kaiser	President
0001665160-22-001895	1	Brand3d, Inc	Hans Hesselholt Henne Hansen	CEO, Founder
0001926429-22-000005	1	Henna Sooq, LLC	Dawn Carryl	President
0001926520-22-000001	1	Fist Assist Devices, LLC	Tej M. Singh	Chief Executive Office
0001665160-22-001894	1	Beach Box Safe, Inc.	Austin Igein	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001931678-22-000007	1	Value Add Growth REIT III LLC	Alan Lewis	Chief Financial Officer
0001742162-22-000002	1	Consumer Cooperative Group Inc	Tanen Andrews	Founder/CEO
0001670254-22-000695	1	HLD Film, Inc.	Oliver Mann	Writer / Director, Producer
0001665160-22-001889	1	Exovolar Industries Corp.	Guanhao Wu	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-001892	1	Real McCoy Tea Company	Christopher McCoy	Founder/CEO
0001722137-22-000005	1	Upshift Inc.	/s/ Ezra Goldman	Chief Executive Officer
0001908756-22-000003	1	HOLD THE MAGIC, INC.	Shannon Cahoon	Chief Executive Officer
0001665160-22-001888	1	Cubios, Inc.	Max Filin	CEO
0001821201-22-000001	1	Bloomi, Inc.	/s/ Rebecca Story	Director, CEO
0001665160-22-001886	1	Greener Process Systems Inc.	Matt Sweetwood	CEO, Principal Accounting Officer, and Director
0001665160-22-001884	1	Greenberry's Coffee Roasters, Inc.	Michael Sean Simmons	CEO and Director
0001665160-22-001881	1	Mia Becar Holdings, Inc	Betzabe Gonzalez	CEO, Director, and Principal Accounting Officer
0001665160-22-001879	1	Magnuss Corp.	James Rhodes	CEO, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-001878	1	Virtualities, Inc.	Ryan Burningham	Chief Executive Officer, Co-Founder and Director, Principal Financial Officer, and Principal Accounting Officer
0001670254-22-000693	1	Gabar Products LLC	Phway Aye	CEO, Creative Director
0001665160-22-001877	1	Kari Gran Inc.	Lisa Strain	CEO and Director
0001670254-22-000691	1	Benjamin Capital Partners, Inc	Erno Tauriainen	CEO & Founder
0001665160-22-001875	1	Mexigin, Inc.	Corinne Delaney	CEO
0001665160-22-001872	1	AtomBeam Technologies Inc.	Charles Yeomans	CEO, Director
0001669191-22-000681	1	Solib Solutions LLC	Yuan Wang	Principal Executive Officer
0001665160-22-001868	1	Bemo Corporation	Daren Houtaling	CEO, Director
0001670254-22-000689	1	First Fright, LLC	Jacob Jarvi	Director, Writer, Editor, Producer
0001665160-22-001864	1	Oscilla Power, Inc.	Balakrishnan Nair	CEO & President
0001848794-22-000002	1	Work4Workers, Inc.	Phillip Pompa	CEO
0001665160-22-001862	1	Steiner's Coffee Cake Of New York, Inc	Jennifer Steiner Pool	President
0001930985-22-000001	1	Twenty Acres & A Tractor LLC	Kenyon Elliott	President
0001665160-22-001861	1	Karma Baker, Inc.	Arek Reeder	CEO, CFO and Founder
0001665160-22-001860	1	Aquipor Technologies, Inc.	Greg Johnson	Chief Executive Officer & Director
0001665160-22-001859	1	Battle Approved Motors Inc	Chris James	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-001858	1	Boaz Bikes, Inc	Emil Nnani	CEO & Director
0001932183-22-000001	1	Biogratify LLC	Lindsey Cooper	Presiden
0001669191-22-000678	1	LiveMasterminds.com LLC	Raju Panjwani	Principal Executive Officer
0001669191-22-000675	1	Northstar Technologies Group, Inc.	Paul Inglese	Principal Executive Officer
0001669191-22-000674	1	CARMEN TV PILOT LLC	Jaco Booyens	Principal Executive Officer
0001669191-22-000673	1	The Tutelare Corporation	Rodney Reum	Principal Executive Officer
0001669191-22-000668	1	Orbital Assembly Corporation	Rhonda Stevenson	Principal Executive Officer
0001669191-22-000667	1	MAGFAST LLC	Seymour Segnit	Principal Executive Officer
0001669191-22-000663	1	Immortal Data Incorporated	Dale Amon	Principal Executive Officer
0001670254-22-000686	1	Synthesis School, Inc.	Chrisman Frank	Co-founder & Chief Executive Officer
0001930828-22-000001	1	Mirisata LLC	Alexander Lloyd Felsinger	President
0001665160-22-001857	1	Inviascook Inc.	Curtis Ceballos	CEO, President, and Director
0001665160-22-001856	1	Skullenwink LLC	Keith Chapman	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001746059-22-000244	1	New Eatonville, LLC	Harmony Edwards	Owner and Founder
0001746059-22-000243	1	ROLL THE VEG LLC	Anthony Lagrosa	Owner and Founder
0001757687-22-000001	1	Boichik Bagels LLC	Emily Winston	Owner
0001926872-22-000002	1	Three Sisters Artisanal Meats, LLC	/s/ Jaime Fernandez	Manager
0001665160-22-001855	1	ABH Holdco, Incorporated	Scott Hansen	CEO and Principal Financial Executive
0001590725-22-000002	1	Boomerang Bike CORP	/s/ Kevin Fahrner	CEO
0001665160-22-001853	1	J R Thermal, LLC	Oscar Martinez	CEO and Principal Accounting Officer
0001926429-22-000004	1	Henna Sooq, LLC	Dawn Carryl	President
0001669191-22-000661	1	Targeted Shopping Solutions, Inc.	James Mulford	Principal Executive Officer
0001665160-22-001850	1	Here Today Brewing, LLC	Christopher Elford	CEO and Manager
0001669191-22-000659	1	iatrixAir, Inc.	Joseph (Marc) McConnaughey	Principal Executive Officer
0001666102-22-000012	1	Fire Grounds Coffee Co LLC	Paul Clarke	CEO
0001878661-22-000003	1	South Shore Distilling LLC	Garry McCann	CFO
0001665160-22-001848	1	OOTify, Inc.	Ravi Sharma	CEO, Director, Principal Financial Officer
0001670254-22-000679	1	Freakin Fitness LLC	Storm Kaufman	CEO
0001670254-22-000681	1	TipGenie, Inc.	Elle Rustique, PhD	CEO & Founder
0001670254-22-000683	1	BTP Automation Inc.	Bruce Yoxsimer	CEO
0001669191-22-000656	1	Arkisys, Inc.	David Barnhart	Principal Executive Officer
0001746059-22-000242	1	Wicked BOLD LLC	Deric Cahill	Owner and CEO
0001665160-22-001846	1	Fan Rebellion, Inc.	Seth Yudof	CEO and Director
0001665160-22-001844	1	xCraft Enterprises, Inc.	JD Claridge	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001669191-22-000653	1	Kazoo LLC	Peter  Goodman	Principal Executive Officer
0001590725-22-000001	1	Boomerang Bike CORP	/s/ Kevin Fahrner	CEO
0001665160-22-001843	1	Whimstay, Inc.	Behshad Jamshahi	Director & CEO
0001665160-22-001842	1	Avawatz Company, Inc	Rajini Anachi	CEO and President
0001665160-22-001841	1	Pacific Integrated Energy, Inc.	Phil Layton	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-001840	1	BlackHeart Bike Co	Zachary Lambert	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-22-000241	1	Jitter N The Bug Corp	John Ayars	President
0001665160-22-001839	1	Bamboo Ecologic Corp	Russell Smith	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer
0001665160-22-001838	1	NearStar Fusion Inc.	Dr. F. Douglas Witherspoon	Chairman, President and Chief Scientist
0001781955-22-000010	1	Dome Audio Inc.	Ben White	Founder and CEO
0001669191-22-000650	1	Ubiquitous Marketplace System Inc.	Ho-Hyung (Luke) Lee	Principal Executive Officer
0001918985-22-000002	1	Curios, Inc.	Grant Powell	Chief Executive Officer
0001669191-22-000648	1	Ubiquitous Marketplace System Inc.	Ho-Hyung (Luke) Lee	Principal Executive Officer
0001644600-22-000094	1	Amnisia Spirits Inc	Jakub K. Koziol	CEO and Director
0001746059-22-000240	1	Hummingbird Mi Laboratories, LLC	Paul King MD	Owner and CEO
0001665160-22-001837	1	Hidrent Inc.	David Heimbuch	CEO, Director, President, Secretary and Treasurer
0001932786-22-000004	1	Kookie Box LLC	Tyrell Russell	President
0001925403-22-000006	1	Scrimmage Co.	Matt Dever	Founder and CEO
0001670254-22-000678	1	AnyFans Inc.	Josh Luke	Founder & CEO
0001665160-22-001835	1	MySureFit Inc.	Christian Ruth	Founder, CEO and Director
0001670254-22-000672	1	Mindwell Labs, Inc.	Sab Kanaujia	Co-Founder & CEO
0001670254-22-000676	1	BLAAMAZON LLC	Naikie Reeves	Founder / CEO
0001670254-22-000674	1	Joulez, Inc.	Micah Bergdale	CEO
0001665160-22-001834	1	Timeplast, Inc.	Manuel Rendon	CEO, CTO, Principal Accounting Officer, Director
0001665160-22-001833	1	Kettlebread Franchising Corporation	Edward J. Grimaldi	CEO
0001747584-22-000022	1	WeSolar Inc	Kristal Hansley	CEO
0001665160-22-001832	1	SCITECH DEVELOPMENT L.L.C.	Earl T. Holsapple, III	CEO, President, Manager and Co-founder
0001931426-22-000003	1	Shopjackie, LLC	Amber Duncan	President
0001665160-22-001829	1	Myaderm, Inc.	Eric Smart	CEO and Director
0001889396-22-000003	1	Cheesebutta, LLC	Michael Paul	Owner
0001665160-22-001828	1	Plover Animation Inc.	Jennifer Hotai Dale	CEO
0001665160-22-001825	1	AXXIOS HOME INC.	Mark Lyle	CEO and Director
0001669191-22-000642	1	Avadain, Inc.	Bradley Larschan	Principal Executive Officer
0001670254-22-000671	1	Bracketology.tv, Inc.	Jonah Fialkow	CEO
0001746059-22-000239	1	Tween the Tides, LLC	Bethany Gregory	Owner and Founder
0001746059-22-000238	1	Philly's on the Hill, LLC	Angela Morales	Owner
0001665160-22-001824	1	Statum Systems, Inc	Frederick Lizza	CEO and Director
0001669191-22-000640	1	KMX Technologies, LLC	Zachary Sadow	Principal Executive Officer
0001669191-22-000638	1	ScanHash LLC	Robert Waterman	Principal Executive Officer
0001915878-22-000002	1	Thomas&Wynter R&D, L.L.C.	Sherika Wynter	Chief Executive Officer
0001885382-22-000001	1	El Tamarindo Inc.	Jose Reyes	President & Owner
0001885382-22-000002	1	El Tamarindo Inc.	Jose Reyes	President & Owner
0001670254-22-000668	1	Fetch Delivery, Inc.	Gordon Schaeffer	CEO and Founder
0001931678-22-000006	1	Value Add Growth REIT III LLC	Alan Lewis	Chief Financial Officer
0001670254-22-000665	1	KettleSpace Inc	Nick Iovacchini	CEO & Co-Founder
0001670254-22-000669	1	Sidekick Mobile Technologies Inc	Chris Thompson	Co-founder & CEO
0001670254-22-000663	1	Smart & Sassy LLC	Abby Bartholomew	HBIC | CEO & Co-Founder
0001665160-22-001821	1	Apelab, Inc.	Emilie Joly	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-001820	1	StrideTech Medical, Inc.	George Douaire	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001933762-22-000001	1	Amphitrite Digital Inc	Scott Stawski	Chairman
0001665160-22-001818	1	Hidrent Inc.	David Heimbuch	Founder & CEO
0001665160-22-001816	1	Nimbus Engineering Inc.	William Diggins II	CEO
0001665160-22-001813	1	Bamboo Ecologic Corporation	Russell Smith	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer
0001665160-22-001810	1	AiViva Holding Limited	Diane Tang Liu	CEO, President and Director
0001665160-22-001809	1	Flash Scientific Technology Inc.	Jason Deese	CEO, Principal Executive Officer and Director
0001665160-22-001808	1	LEGACY CONCIERGE, LLC	Betsy L. Ehrenberg	President, CEO and Director
0001885073-22-000001	1	Pacific Northwest Rural Broadband Alliance, Ltd.	Michelle Thimesch	Attorney
0001886475-22-000004	1	Piggyback Network LLC	Donald Scott II	Co-Founder
0001670254-22-000661	1	Azure Ravens Entertainment LLC	Corbin Reeves	Founder & Creative Director
0001933912-22-000001	1	Knock House Productions LLC	Johnathan Laguerre	Chairman
0001665160-22-001807	1	HYLETE, Inc.	Adam Colton	CEO, CFO and Director
0001669191-22-000636	1	FinTron, Inc.	Wilder Rumpf	President and CEO
0001669191-22-000634	1	Tahiti's Breeze, Inc.	Adelinda  Bryant	Principal Executive Officer
0001669191-22-000633	1	RocketTrader Inc.	Matthew P. Jones	Principal Executive Officer
0001669191-22-000632	1	Nebulai Corp	Luis  Rios	Principal Executive Officer
0001665160-22-001804	1	Yerbae Brands Co.	Todd Gibson	CEO and Director
0001934034-22-000001	1	Cultural Kitchen Catering LLC	Annett Schultz	CEO
0001830549-22-000001	1	Nickelytics, Inc.	Judah Longgrear	CEO
0001905434-22-000002	1	Platform USA LLC	Adrian Washington	Managing Member, Platform USA Manager, LLC, the Manager
0001665160-22-001800	1	FattE PBC	Victoria Brunner	CEO
0001903596-22-000385	1	Drone Guarder, Inc.	Frank I Igwealor	Chief Executive Officer
0001670254-22-000660	1	Here Today Brewing, LLC	Chris Elford	CEO
0001746059-22-000237	1	PISTIL & POLLEN, LLC	Amy Dannemiller	Owner and CEO
0001665160-22-001797	1	Big Laugh Comedy Holdings Inc.	Brandon Lewin	CEO and Director
0001670254-22-000658	1	Flux Hybrids, Inc	Micah Ulrich	CEO
0001665160-22-001796	1	A Band Of Anglers, Inc.	Patrick Sebile	President and CEO, Principal Financial Officer and Principal Accounting Officer
0001665160-22-001793	1	Big Laugh Comedy Holdings Inc.	Brandon Lewin	CEO and Director
0001665160-22-001792	1	Trillion, LLC	Alexander Gomez	CEO, Member Manager
0001897616-22-000001	1	Fugitive Media Inc	/s/ Stacey Book	Chief Executive Officer
0001913453-22-000005	1	Roxi Fantasy Gaming LLC	Daniel Pitluk	CEO
0001719122-22-000005	1	Halo Lifestyle LLC	Anshuman Vohra	Founder & CEO
0001822801-22-000002	1	KhemoSafe Inc.	Louis M. Soto by Sean Fuellhart POA	CEO
0001930002-22-000002	1	Azure Printed Homes, Inc.	Ross Maguire	CEO and President
0001932786-22-000003	1	South Shore Distilling LLC	Garry McCann	CFO
0001932786-22-000002	1	Kookie Box LLC	Tyrell Russell	President
0001920911-22-000001	1	Growmotely, Inc.	Sarah Hawley	Chief Executive Officer
0001670254-22-000655	1	TransitNet LLC	Eric Jackson	CEO and Co-Founder
0001670254-22-000656	1	XENSE INC	Ying Zhao	CEO and Founder
0001670254-22-000654	1	Creator Films Inc	David D. Dietrich	Founder / President
0001746059-22-000236	1	Angle Tree Brewery, LLC	Timothy Auclair	Owner and CoFounder
0001915356-22-000001	1	StayFi Inc	Arthur Colker	Chief Executive Officer
0001746059-22-000235	1	Tallgrass Pictures LLC	Jeffrey Brown	Owner and CoFounder
0001916053-22-000001	1	Attn: Grace, LLC	Alexandra Fennell	Co-Chief Executive Officer
0001821982-22-000005	1	915 & Main, LLC	Matt McPheely	Manager
0001746059-22-000234	1	DC Cacau LLC	Matthew Dixon	Owner and CoFounder
0001746059-22-000233	1	Bourbon Room NH, LLC	David Richardson	Owner and Founder
0001746059-22-000232	1	Mexibbean, LLC	John Baker	Owner and Founder
0001746059-22-000231	1	Amber Kendall Consultants LLC	Aryn Pipkin	Owner and CoFounder
0001868902-22-000005	1	Flashpub, Inc	Nathan S Jacobs	CEO
0001421744-22-000003	1	Cytonics Corp	Gaetano Scuderi	Founder & Chairman of the Board
0001716974-22-000003	1	WitFoo, Inc.	Tim Bradford	CEO
0001665160-22-001791	1	HYLETE, Inc.	Adam Colton	CEO, CFO and Director
0001746059-22-000230	1	Tender Fire, LLC	Benjamin Crosky	Owner and Founder
0001930889-22-000003	1	TrialSite Inc.	Daniel O'Connor	Director and Officer
0001868902-22-000004	1	Flashpub, Inc	Nathan S Jacobs	CEO
0001931426-22-000001	1	Shopjackie, LLC	Amber Duncan	President
0001876863-22-000002	1	Grizzlies, LLC	Cash Caris	Co-Owner
0001746059-22-000229	1	Soturi Fitness & Nutrition LLC	Yu Ling Mark Davis	Owner and Manager
0001876863-22-000001	1	Grizzlies, LLC	Cash Caris	Co-Owner
0001746059-22-000228	1	Tallgrass Pictures LLC	Jeffrey Brown	Owner and Founder
0001931678-22-000003	1	Value Add Growth REIT III LLC	Alan Lewis	Chief Financial Officer
0001922407-22-000003	1	Mully Group, Inc.	Andrew Thomas Amato	Chief Executive Officer
0001928576-22-000003	1	Liquid Mining Inc	Richard Dwyer	Vice President
0001888739-22-000001	1	Blossoms Events & Catering LLC	Michelle Thimesch	Attorney
0001669191-22-000628	1	BrainLeap Technologies, Inc.	Jeffrey Coleman	Principal Executive Officer
0001746059-22-000227	1	PATOIS LLC	Christopher Russell	Owner and CoFounder
0001922306-22-000002	1	Redcrest Bainbridge LLC	Adam Volk	Managing Member
0001922407-22-000002	1	ALL3D, Inc.	Amra Tareen	Chief Executive Officer
0001670254-22-000650	1	Flower City Union Holdings Inc.	Mark Washo	Vice Chairman
0001670254-22-000649	1	Gilgal General, Inc.	Alexander Ampontuah	Founder/CEO
0001665160-22-001785	1	Kurt Charron	Kurt Charron	CEO
0001670254-22-000652	1	Acquire Invest, Inc.	Brian Harstine	Founder & CEO at Acquire Invest
0001665160-22-001788	1	Atmos Home Inc.	Mark Lyle	CEO
0001902674-22-000002	1	Viking Strength Supps, LLC	/s/ Nathaniel Korpusik	President
0001665160-22-001781	1	Puraclenz Holdings, Inc	Christopher Dooley	CEO, Co-Founder
0001665160-22-001779	1	OSM Shield, Inc	Mark S Walker	CEO
0001665160-22-001777	1	Puraclenz Holdings, Inc.	Christopher Dooley	CEO and Director
0001665160-22-001776	1	Potion Adaptogenic Brews, Inc.	Nicholas A. Williams	CEO
0001665160-22-001775	1	BLOCKCHAIN INSTITUTE OF TECHNOLOGY INC.	George Levy	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-22-000648	1	Real & Open Corporation d/b/a Tiro	Elliott Goodman	Co-Founder
0001855042-22-000002	1	Somos Health, Inc.	Federico von Son de Fernex	Chief Executive Officer
0001096906-22-001355	1	Trella Technologies Inc.	/s/ Aja N. Atwood	CEO, President, Treasurer, Secretary, Clerk
0001665160-22-001774	1	Spirit Hoods, Inc	Chase Hamilton	CEO, President, Treasurer, principal accounting officer, and Director
0001665160-22-001772	1	H. Mulligan Bespoke Libations Co.	Steve Luttman	CEO
0001665160-22-001771	1	Chemical Technologies, Inc.	Oleg Giiazov	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-001768	1	StorEn Technologies	Carlo Brovero	CEO, President, Chief Executive Officer, Treasurer, Principal Financial Officer and Principal Accounting Officer
0001665160-22-001766	1	StrideTech Medical, Inc.	George Douaire	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-001764	1	SAEBO Inc	Todd D. Wiebusch	Director
0001746059-22-000226	1	WereDough, LLC	Jessica McGuire	Owner and Founder
0001104659-22-068900	1	STARTENGINE CROWDFUNDING, INC.	/s/ Howard Marks	CEO
0001921426-22-000001	1	Steeped, Inc.	Josh Wilbur	Chief Executive Officer
0001871551-22-000002	1	Drink LMNT, Inc.	James Murphy	Chief Executive Officer
0001885290-22-000004	1	Herb & Olive, LLC	/s/ David Zimmerman	President / Founder
0001908197-22-000004	1	Join The Violution LLC	Patrik Caccianiga	Managing Member
0001793079-22-000011	1	PiQPiQ, Inc.	Edward Lerner	Chief Executive Officer
0001920014-22-000001	1	Noodlepig, LLC	Christopher Wessely	President
0001883032-22-000001	1	Inspire Yoga Franchisor, LLC	/s/ Adam J. Pilat	President
0001928576-22-000002	1	Liquid Mining Inc	Richard Dwyer	Vice President
0001932075-22-000003	1	Irie Diner LLLP	Peter Jackson	President
0001670254-22-000645	1	Peeridea, Inc.	Weiting Liu	Founder & CEO
0001665160-22-001757	1	Lightsense Technology, Inc.	Terje Skotheim	Chief Executive Officer
0001665160-22-001756	1	NearStar Fusion Inc.	Dr. F. Douglas Witherspoon	Chairman, President and Chief Scientist
0001828173-22-000006	1	ORION Electronics Co Inc.	Paul Perkins	CEO
