ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001665160-21-001716	1	Dude Apparel Inc.	Howie Busch	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001779569-21-000002	1	Aapoon, Inc	Srini Katta	President, CEO
0001665160-21-001713	1	Vxtra Health Plan, Inc.	Larry Hightower	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001711	1	Peerless Public Safety Solutions Incorporated	Jay Scales	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-000969	1	Mangled Mascots LLC	Keith  Gober	Principal Executive Officer
0001091818-21-000133	1	Reliant Service Inc	Sandra (Demeria) Brossart	President
0001669191-21-000966	1	Scenebot, Inc.	Stuart Alexander	Principal Executive Officer
0001665160-21-001709	1	Deuce Drone LLC	Rhett Ross	Principal Executive Officer
0001881328-21-000001	1	Pretzel Haus LLC	Gregory Mitchell	CEO
0001665160-21-001707	1	Earthwise Sorbents, Inc.	Jim Mullen	President and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001706	1	Zenus, Inc.	Panagiotis Moutafis, Ph.D.	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001644600-21-000103	1	Legion M Entertainment, Inc.	Paul Scanlan	Co-Founder, Chief Executive Officer, Chief Financial Officer and Treasurer
0001873727-21-000001	1	Stream Dx Inc	Brian Holt	Chief Executive Officer
0001669191-21-000963	1	HOPP Technologies, Inc.	Fabrice Allain	Principal Executive Officer
0001669191-21-000961	1	YEP, Inc.	Jimmy Ezzell	Principal Executive Officer
0001669191-21-000959	1	Adaptive Holdings, LLC	Kauffman Scott	Principal Executive Officer
0001752964-21-000002	1	Axle AI, Inc.	Samuel W. Bogoch	CEO
0001746059-21-000479	1	Tradesman Brewing Co. INC	Sara Gayle McConnell	VP Operations
0001746059-21-000478	1	Biscuit & Counter, LLC	Marlo Sandler	Owner and CoFounder
0001885068-21-000001	1	VTasteCakes LLC	Jasmyn Reddicks	President
0001885073-21-000001	1	Pacific Northwest Rural Broadband Alliance, Ltd.	Elvis Nuno	President
0001746059-21-000475	1	BrokenSpanish, LLC	James Martin	Chef/Owner
0001746059-21-000477	1	Philly's on the Hill, LLC	Angela Morales	Owner
0001670254-21-001087	1	Mercury Technologies, Inc.	Immad Akhund	CEO
0001858421-21-000005	1	Iris Social Stock App INC.	Brian Schardt	Chief Executive Officer
0001746059-21-000476	1	Mama's Best Bakery, LLC	Diana Blaylock	Owner and Founder
0001665160-21-001705	1	Honeybee Burger, Inc.	Adam Weiss	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001091818-21-000126	1	QUEST OIL CORP	/s/ Paul Malec	President
0001746059-21-000474	1	Game Over Bar & Arcade	Dominic Pirozzolo	Owner
0001665160-21-001704	1	Streamlytics, Inc.	Angela Benton	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000473	1	Mantis Management Group, LLC	Wendell Orphe	Owner and CoFounder
0001746059-21-000472	1	Casa W Distillery, LLC	Waldemar Caraballo Bauza	Owner and CoFounder
0001670254-21-001085	1	MotivateU, Inc	Jennifer Strout	CEO & Founder
0001746059-21-000471	1	Pura Vida Coffee Co LLC	Federico Ignacio Oreamuno	CEO
0001833112-21-000006	1	MicroSalt Inc.	/s/ Konrad Dabrowski	Treasurer, Secretary, and CFO
0001665160-21-001702	1	iNitrile, Inc.	Omri Shafran	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0000897069-21-000509	1	Amplio.ai, Inc.	/s/ Trung Tran	Director, Chief Executive Officer
0001746059-21-000470	1	Blue Marlin Bistro LLC	Quinn Bartlett	CEO
0001884060-21-000005	1	Secretos LLC	Felipe Crespo	Owner
0001837613-21-000006	1	PlayChannel Inc.	James Jones	CEO
0001665160-21-001701	1	Innovative Eyewear Inc	Harrison Gross	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001517990-21-000004	1	Maxwell Resources, Inc.	Troy Davis	CEO
0001884060-21-000004	1	CBC Southlake LLC	Shawn Kidwell	Co-Owner
0001884060-21-000003	1	CBC Southlake LLC	Shawn Kidwell	Co-owner
0001837613-21-000005	1	AI4Sec, Inc	Mauricio Rioseco	Director
0001746059-21-000469	1	Milkmen Holdings LLC	Christopher Brown	Owner and CoFounder
0001827389-21-000005	1	NODE40 Inc.	Perry Woodin	CEO
0001827389-21-000004	1	NODE40 Inc.	Perry Woodin	CEO
0001497130-21-000006	1	Nano Mobile Healthcare, Inc.	Frank Igwealor	CEO
0001884060-21-000002	1	CBC Southlake LLC	Shawn Kidwell	Co-Owner
0001017386-21-000429	1	Pegasus Tel, Inc.	/s/ Lorenzo Luciano Piceni	President
0001746059-21-000468	1	Filthy Filly's Enterprises	Colleen Marlett	Owner
0001665160-21-001700	1	Lolaark Vision Inc.	Emanuel Papadakis	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000467	1	Blue Earth Pizza Co LLC	John Fredericks	Owner and Founder
0001665160-21-001699	1	Hundy, Inc.	Peter Budlong	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001866215-21-000003	1	Prep to Your Door LLC	Faiez Rana	Chief Executive Officer
0001874824-21-000003	1	Steel House Cycle LLC	Alison Mears	President
0001736664-21-000025	1	Locking Line Barriers Corp	Joseph Daniluk by Sean Fuellhart POA	CEO
0001856715-21-000004	1	Rojo's Famous Inc.	Robert J. Selfridge	President & CEO
0001665160-21-001697	1	La Fayette Franchise, Inc.	Nicolas Billaud	Co-CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001082	1	YEPP ENTERPRISES INC	Adam Maltais	Co-Founder / CEO
0001665160-21-001694	1	ORBAI Technologies, Inc.	Brent Oster	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001693	1	Innovative Eyewear, Inc.	Harrison Gross	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000466	1	D Pizza Joint, LLC	Todd Stern	Owner and Founder
0001884217-21-000001	1	602 Hannah St LLC	Anthony J. Caiola	Managing Member
0001669191-21-000957	1	DeoBioSciences, Inc.	John  Adamson, Jr.,	Principal Executive Officer
0001746059-21-000465	1	Taest, LLC	Tae Kang	Owner
0001669191-21-000955	1	Canine Life Sciences Inc	Jeff Sutherland	Principal Executive Officer
0001746059-21-000464	1	Bar at 66 Greenpoint LLC	Ibraheem Abdul-Malik	Owner and Founder
0001834402-21-000007	1	AphriHelios Global LLC	Darin Hickman by Sean Fuellhart POA	CEO
0001669191-21-000953	1	Transparent Path spc	Eric Weaver	Principal Executive Officer
0001017386-21-000417	1	Reliant Service Inc.	Sandra (Demeria) Brossart	President
0001017386-21-000420	1	China Solar & Clean Energy Solutions, Inc.	Shelli Fields	President
0001665160-21-001691	1	Rap Plug Inc.	Branden Criss	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001689	1	Greenberry's Coffee Roasters Inc.	Sean Simmons	President, CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001688	1	Artisanal Distillates LLC	Daniel Mena	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001858449-21-000003	1	Mediloq, Inc.	Daniel Estoque	Founder and CEO
0001665160-21-001687	1	Whipr, Inc.	Luke Tipple	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000463	1	Hux Spirits LLC	Jamal Jackson	Owner and Operator
0001669191-21-000950	1	Guardian Athletics, Inc.	David Norris	Principal Executive Officer
0001669191-21-000948	1	Stomp Technique, Inc.	Hilary Joy  Diaz	Principal Executive Officer
0001669191-21-000946	1	OmniValley, Inc.	James Buchanan	Principal Executive Officer
0001669191-21-000944	1	LiveMasterminds.com LLC	Raju Panjwani	Principal Executive Officer
0001669191-21-000942	1	Katch Entertainment Inc.	Andrew   Tight	Principal Executive Officer
0001665160-21-001685	1	Eight Bridges Brewing, Inc.	George Beardsley	CEO, Principal Executive Officer and Director
0001674521-21-000002	1	GameTree PBC	John Uke	CEO
0001882521-21-000002	1	Secretos LLC	Felipe Crespo	President
0001665160-21-001684	1	Custom Social Inc.	Rolan Reichel	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001860502-21-000003	1	Actipulse Neuroscience, Inc.	Adrien Chatillon	Chief Executive Officer
0001665160-21-001683	1	Enginuity Power Systems, Inc.	Jacques Beaudry Losique	PRESIDENT, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001817343-21-000006	1	Desert Cannalytix Inc.	Malorie La Fuente by Sean Fuellhart POA	CEO
0001746059-21-000462	1	Lil Mama's Chicago Style Hoagy, LLC	Tiffany Pauldon	Owner and Founder
0001669191-21-000940	1	VUniverse, Inc.	Evelyn Watters	Principal Executive Officer
0001670254-21-001080	1	VirZOOM, Inc.	Eric Janszen	Co-founder and CEO
0001665160-21-001681	1	Pulse Protocol, Inc.	Robert Page	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000461	1	Ellett & Edmands LLC	John Ellett	Owner
0001746059-21-000460	1	Coquette LLC	Caitlin Olsen	Owner and Founder
0001802405-21-000008	1	Curastory Inc.	Tiffany Kelly	CEO & Director
0001670254-21-001077	1	MOBCRAFT BEER INC	Henry Schwartz	President & Founder
0001670254-21-001079	1	Brick Work LLC	Alexander Irvine	CEO
0001665160-21-001680	1	Liberty PlugIns, Inc.	Chris Outwater	CEO, Principal Executive Officer and Director
0001665160-21-001679	1	Liberty PlugIns, Inc.	Chris Outwater	CEO, Principal Executive Officer and Director
0001669191-21-000938	1	Launchspace Technologies Corporation	John Bauman	Principal Executive Officer
0001665160-21-001677	1	Love Sun Body, Inc.	Dr. Terry Zickerman	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-000935	1	Pink Panda Holdings, Inc	Patrick Adam Carlton	Principal Executive Officer
0001665160-21-001676	1	Rumble Motors, Inc.	Reza Khademi	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001883607-21-000001	1	College Pointe LLC	George Belham	President, Great American Holdings LLC
0001669191-21-000933	1	The Tutelare Corporation	Rodney Reum	Principal Executive Officer
0001864316-21-000001	1	Evolution Devices, Inc.	Pierluigi Mantovani	Chief Executive Officer
0001871266-21-000003	1	Mighty Monkey, LLC	Carolyn Potz	Chief Executive Officer
0001883302-21-000001	1	Sticky Fingers Sweets & Eats, Inc.	Doron Petersan	President and Owner
0001871266-21-000001	1	House of Bowr LLC	Parikshit Guhabiswas	Chief Executive Officer
0001882854-21-000003	1	The Cut Buddy LLC	Joshua Esnard	Founder and CEO
0001884060-21-000001	1	CBC Southlake LLC	Shawn Kidwell	Co-Owner
0001665160-21-001674	1	VizAeras Inc.	Carl Tautenhahn	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000459	1	Wild Fox Restaurant Group, LLC	Adam Dziki	Owner and CoFounder
0001746059-21-000458	1	Anas Norwegian Bakeri LLC	Anne-Marie Fanakra Godfrey	Owner and Founder
0001883343-21-000001	1	Chaia LLC	Bettina Stern	Principal and Co-Founder
0001670254-21-001076	1	Wefunder, Inc.	Nick Tommarello	Founder & CEO
0001774003-21-000002	1	Boon, Inc.	William McGuire	CEO
0001746059-21-000457	1	Grown by Green, LLC	Kaleb Green	Owner and CEO
0001746059-21-000456	1	Daiquiri Uncorked LLC	Krutar Patel	Member Manager
0001669191-21-000931	1	Laegacy Inc.	Alec Jansen	CEO
0001665160-21-001672	1	H. Mulligan Bespoke Libations Co.	Steven Luttmann	CEO/Director
0001017386-21-000407	1	Longwen Group Corp	/s/ Joseph C Passalaqua	President
0001670254-21-001071	1	VirZOOM, Inc.	Eric Janszen	Co-founder and CEO
0001817343-21-000005	1	Desert Cannalytix Inc.	Malorie La Fuente by Sean Fuellhart POA	CEO
0001665160-21-001670	1	Hacking Labs	Sean Hacking	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-000930	1	ACK Right Endeavors LLC	Jack McDaniel	Principal Executive Officer
0001669191-21-000928	1	TOP UNii, Inc	Dermell Brunson	Principal Executive Officer
0001669191-21-000926	1	Berylline Corporation	Dennis  Dresser	Principal Executive Officer
0001669191-21-000924	1	Brain Game LS Inc.	DWAYNE SAMUELS	Principal Executive Officer
0001665160-21-001668	1	H. Mulligan Bespoke Libations Co.	Steven Luttmann	CEO/Director
0001665160-21-001666	1	Hacking Labs	Sean Hacking	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001882217-21-000001	1	Prince's Subs LLC	Dannette Antes	Co-Owner
0001669191-21-000922	1	Hercules Electric Mobility, Inc	James Breyer	Principal Executive Officer
0001669191-21-000919	1	WWF Holdings, Inc.	Lonnie Johnson	Principal Executive Officer
0001670254-21-001064	1	Terraseed Inc.	Maria Cebrian	Co-Founder and CEO
0001670254-21-001061	1	Pocket Properties App Corp	Chris Rumper	CEO
0001670254-21-001058	1	Prewrite Inc.	Samuel Pro	CEO/CTO
0001665160-21-001663	1	StartEngine Capital LLC	Edward Vincent	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001055	1	DropKey, Inc.	Rockwell Scharer	Founder and Chief Executive Officer
0001665160-21-001665	1	AtomBeam Technologies Inc.	Charles Yeomans	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000455	1	5th Element Brewing, LLC	Kimberly DeStefano	Owner and CoFounder
0001665160-21-001662	1	ViscoSoft Group, LLC	Gabriel Dungan	Manger and Principal Financial Officer of the Issuer
0001665160-21-001660	1	Exovolar Industries Corp.	Guanhao Wu	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001080368-21-000033	1	Book & Main, Inc.	/s/Tracey Suppo	Chief Executive Officer, President and Director
0001665160-21-001657	1	NanoVMs, Inc.	Ian Eyberg	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000454	1	Greywood Group, LLP	Ashley Watson	Owner and CEO
0001669191-21-000916	1	Pink Panda Holdings, Inc	Patrick Adam Carlton	Principal Executive Officer
0001882997-21-000001	1	Maketto LLC	Erik Bruner-Yang	CEO & Owner
0001665160-21-001655	1	Better Family, Inc	Carman Cook	CEO, Principal Executive Officer and Director
0001878343-21-000002	1	Alpine X Inc.	John Emery	CEO
0001669191-21-000913	1	Issuer Pixel, Inc	David Baker	Principal Executive Officer
0001669191-21-000910	1	Aerospace Flight Technologies, LLC	Robert Feierbach	Principal Executive Officer
0001669191-21-000908	1	EDSO Inc.	Mr. Terry Marshall	Principal Executive Officer
0001491281-21-000001	1	DC Brau Brewing LLC	Brandon Skall	CEO
0001665160-21-001653	1	Tanoshi, Inc.	Brad Johnston	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000453	1	Sofusion Cafe, LLC	Denise Butts	Owner and Founder
0001746059-21-000452	1	Cheap Chick Trading LLC	Shannon Styes	Owner and Founder
0001746059-21-000451	1	Brothers Taphouse LLC	Steven Jacobs	Owner and Founder
0001746059-21-000450	1	Glove City Brewing Co LLC	Edward Sturgess Jr.	Founder and CEO
0001670254-21-001054	1	OurBanc Corporation	David Dwumah	Founder & CEO
0001879724-21-000005	1	Capsll, Inc	SAMIM SYED	CFO
0001669191-21-000905	1	Mariposa Technology, Inc./LA	Mickal Adler	Principal Executive Officer
0001852331-21-000003	1	Rollo Motion, Inc.	Ryan McLean	CEO
0001665160-21-001651	1	Thriviva, Inc.	Kenny Gregg	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001643014-21-000008	1	Baby Barista Company, Inc	CARA ARMSTRONG	CEO
0001670254-21-001050	1	Palm Energy Systems LLC	Rajiv Narain	Founder & CEO
0001665160-21-001649	1	Smart Tire Recycling, Inc.	Mendel Bassman	CEO and Co-Founder
0001670254-21-001052	1	Team Topia, Inc.	Mason Hale	Founder & CEO
0001670254-21-001047	1	Nicolette, Inc.	Phil Martie	CEO
0001875081-21-000002	1	Steel City Jet Ski Rentals LLC	Jacob Tovey	President
0001670254-21-001045	1	Urvin Finance, Inc.	Dave Lauer	CEO
0001879211-21-000001	1	Heglovich LLC	Jeff Heglie	Co-founder
0001747807-21-000003	1	Kicks Industries, Inc.	Tyler Stuart	CEO
0001746059-21-000449	1	Deep Sea Vegan, LLC	Kendall Duffie	CEO
0001670254-21-001042	1	Token Metrics Inc.	Ian Balina	Chief Executive Officer
0001746059-21-000448	1	Diem Orange LLC	Christopher Mitchem	Founder and CEO
0001774638-21-000005	1	First Crop Inc.	/s/ David Weir	President & CEO
0001670254-21-001039	1	NETZRO, SBC	Sue Marshall	Founder, CEO & CFO
0001670254-21-001041	1	THE SNIPER ENTERPRISE INC.	Donato De Martiis	Partner
0001746059-21-000447	1	Moxi On The Rocks LLC	Tomas Nenortas	Owner
0001871551-21-000002	1	Drink LMNT, Inc.	James Murphy	Chief Executive Officer
0001883032-21-000001	1	Inspire Yoga Franchisor, LLC	Adam J. Pilat	President
0001881991-21-000001	1	IPC Co-Op	George Beard	CFO
0001665160-21-001648	1	nVIAsoft Corporation	Bernard Garcia	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001796295-21-000002	1	Nuu Rez Inc	Noelle Randall by Sean Fuellhart POA	CEO
0001213900-21-048187	1	Fanalyze, Inc.	/s/ Juan Juan	CEO, Director
0001665160-21-001646	1	Quri Vodka, Inc.	Jonathan E. Tourgee	CEO, Principal Executive Officer and Director
0001882521-21-000001	1	Secretos LLC	Felipe Crespo	President
0001746059-21-000446	1	Moxi On The Rocks LLC	Tomas Nenortas	Owner
0001665160-21-001644	1	Daxbot Inc.	Jason Richards	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001875492-21-000001	1	Whitecap Enterprises ii, llc	/s/Jeffrey Shiring	Managing Member
0001835612-21-000005	1	LiveVested, LLC	William McGuire	CEO
0001635996-21-000002	1	Oak & Grist Distilling Co LLC	William Goldberg	CEO
0001876413-21-000005	1	ASSETCOIN CAPITAL FUND, LLC	Duane A. Quamina	Senior Managing Partner, President & CEO
0001850557-21-000007	1	CLOSEM, Inc.	Richard Miles by Sean Fuellhart POA	CEO
0001665160-21-001642	1	Supporteo Corp	Mykhailo Morozov	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001035	1	Card Blanch Inc.	Leonid Goriev	Founder & CEO
0001104659-21-115616	1	Blue World Voyages, LLC	/s/ Eugene Meehan	President
0001670254-21-001037	1	Card Blanch Inc.	Leonid Goriev	Founder & CEO
0001670254-21-001033	1	Card Blanch Inc.	Leonid Goriev	Founder & CEO
0001665160-21-001640	1	Flux Media, Inc.	Kayla Shelton	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001032	1	Elite Amateur Fight League, Inc.	Jesse Nunez	Founder / Executive Producer, Marine Corps Veteran
0001644600-21-000099	1	Cosmic Shielding Corp	Yanni Barghouty	Chief Executive Officer
0001665160-21-001639	1	SkillSoniq Inc.	Abby Verma	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001638	1	Tiki Inc./DE	Michael Audi	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-000902	1	Eco Allies Inc.	John Honour	Principal Executive Officer
0001669191-21-000898	1	Eco Allies Inc.	John Honour	Principal Executive Officer
0001213900-21-047921	1	Eysz, Inc.	/s/ Rachel Kuperman	Founder and Chief Executive Officer
0001669191-21-000895	1	FinTron LLC	Wilder Rumpf	Principal Executive Officer
0001665160-21-001636	1	Supporteo Corp	Mykhailo Morozov	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001796106-21-000002	1	Genius Juice, LLC	Alex Bayer	CEO
0001670254-21-001031	1	eMD Health Centers, Inc	Ejaz Haq	COO
0001670254-21-001030	1	SnapGoal Inc.	Mohamed Zaid	Founder and CEO
0001670254-21-001027	1	Fabulingua, Inc.	Mark Begert	CEO + Co-founder
0001733215-21-000006	1	Toast Beverages LLC	Brooks Addington	Sole Manager
0001670254-21-001022	1	Squarex, LLC	Hugh McTavish	Founder and CEO
0001670254-21-001029	1	Foodvine	Jordan Sakala	Founder/CEO
0001665160-21-001634	1	ZenSpace Inc	Mayank Agrawal	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001633	1	Eyedaptic, Inc.	Jay Cormier	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001632	1	Eli Electric Vehicles, Inc.	Binhan Li	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-000892	1	Stars On Board Technologies, Inc.	Ray Fares	Principal Executive Officer
0001669191-21-000890	1	BNNano, Inc.	Steve Wilcenski	Principal Executive Officer
0001669191-21-000888	1	Zelgor Inc	John Fanning Jr	Principal Executive Officer
0001669191-21-000886	1	Energy Exploration Technologies, Inc.	Teague Egan	Principal Executive Officer
0001669191-21-000884	1	GenesisAI Corporation	Archil Cheishvili	Principal Executive Officer
0001665160-21-001629	1	Conviction Fitness, Inc.	Ron L. Wilson, II	CEO, Principal Executive Officer and Director, Principal Financial Officer, and Principal Accounting Officer
0001669191-21-000882	1	Novart Digital, Inc.	Max Khan	CEO
0001665160-21-001628	1	Elemeno Health, Inc.	/s/Arup Roy-Berman	Director
0001669191-21-000881	1	FinTron LLC	Wilder Rumpf	Principal Executive Officer
0001666102-21-000018	1	INOUI LLC	Rosemary Warnes	Co-CEO
0001665160-21-001627	1	Big Derby Distilling Company	Jason Parker	President/Secretary
0001852878-21-000003	1	Terraformation Inc.	Yishan Wong	Chief Executive Officer
0001746059-21-000445	1	Select Goods LLC	Mirlene Hilaire	Owner and CEO
0001746059-21-000444	1	Kennys Restaurant & Bar LLC	Kenneth Walker	President
0001848773-21-000003	1	Cherry Block 3, LLC	Felix Florez II	Manager
0001666102-21-000017	1	SKYWIDE REAL ESTATE INTERNATIONAL LLC	Tianyuan Gu	Chairman
0001855932-21-000004	1	Rabbit Hole HTX LLC	William Daniel	Managing Member
0001746059-21-000443	1	De Carolis Brothers Cyclists LLC	Luca DeCarolis	Owner and Founder
0001874900-21-000001	1	PE Investment Group, LLC	Elvis Nguyen	Managing Member
0001833787-21-000002	1	TracFlo Inc	Khalid David	Director
0001872560-21-000004	1	RacerX, Inc	Avrum Mayman	Founder, CEO
0001670254-21-001020	1	Sirocco Energy Inc.	Anna Pryimak	COO
0001746059-21-000442	1	Drewrys Co	Francis Manzo	President
